country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
Bulgaria,1946,3400,YAKIMOVO 1946,1258,249,251,43.635,23.366,1258 silver coins: Vespasian - Trajan Decius (AD 249-251); silver w8: 1623.4-3383.4 g.,NA
UK,1956,1988,CODDENHAM 1956,2,72,72,52.134992,1.0816777,"2 aurei (Nero, Vespasian), in a refuse pit by the side of the old Roman road from Colchester to Norwich.",NA
Italy,1885,4682,PADENGHE SUL GARDA,15,518,527,45.506724,10.504373,"15 gold coins: 12 solidi, 3 tremisses: Leo I - Justin I (AD 518-524); gold w8: 57.9 g.",NA
Turkey,2010,20972,CYZICUS,196,335,337,40.387890641285,27.870384242307,196 nummi of Constantine I and its family (AD 335-337). Found within the temple of Hadrian.,NA
France,1907,3977,ANGLEFORT 1907,1424,270,275,45.89,5.807,"The hoard comprised a copper-alloy vessel containing approximately 1440 denarii and antoniniani (radiates). Of this total, 1424 were catalogued by Chanel. Silver: 1358 coins; Silver w8: 246.9-3528.5g","Musée de Bourg, France (the vessel)"
Tunisia,1890,5358,DAR-BEL-OUAR,1000,271,274,36.04,10.32,Around 1000 antoniniani found with a ceramic jug: Gallienus - Tetricus I (AD 271-274).,NA
Sri Lanka,1988,18507,TISSAMAHARAMA 2,10000,294,500,6.2831568111426,81.284837723271,"10000 nummi. According to Walburg: ""extremely doubtful"". ""No details are reported, and indeed no further mention has ever been made of this hoard since Bopearachchi’s short notice quoted above.",NA
France,1988,6972,PARIS 1988 - (QUARTIER VAL-DE-GRÂCE),650,268,270,48.844,2.341,"The hoard comprised 2 separate deposits. The first contained 28 sestertii, dupondii and asses from Trajan to Postumus. The second contained 622 radiates from Philip I to Victorinus with a tpq of AD 270. The circumstances of discovery means that a clear relationship between the 2 hoards cannot be established with any certainty.",NA
UK,2002,14670,SPRINGHEAD ROMAN TOWN 2002,2,-7,-6,51.415161,0.31384514,"A number of coin finds were made during controlled archaeological excavation by Wessex Archaeology at the RLE sites Springhead Roman Town (RLE Event Code ARC SPH00) and Springhead Nursery (ARC SHN02) as part of the programme of archaeological works undertaken in advance of the construction of the Channel Tunnel Rail Link (now known as HS1), between 2000 and 2003.",NA
Germany,1963,16633,SIGMARINGEN,44,222,228,48.090532,9.2257,"The coins (44 denarii, Vespasian - Severus Alexander) were discovered during excavation in room D of building I of a mansio close to Sigmaringen.",NA
Italy,2005,5398,CRUSTUMERIUM,26,283,283,42.009,12.521,26 antoniniani (radiates) found with traces of textile recipient: Aurelian - Carinus (AD 283-285).,Laboratory of Restoration of Soprintendenza Speciale per i Beni Archeologici di Roma (inv. nos. 508899-508924)
Romania,1985,16301,OARȚA DE SUS,307,161,180,47.468964,23.07889,307 denarii: Republic – Marcus Aurelius (AD 161-180).,"Muzeul Județean de Istorie și Arheologie Maramureș, Baia Mare, Romania"
Sweden,1861,4606,KYRKETORP,3,474,491,57.249153,17.057512,"Unknown number of solidi found on the same field, 2 coins of Theodosius II and 1 of Zeno are known; gold w8: 13.35 g.","Swedish History Museum, Stockholm (inv.nos. 2880, 2902, 2993)"
UK,1972,14752,COLCHESTER (INNER RELIEF ROAD SITE B),4,269,271,51.879045,0.88975324,"4 coins found on a terra sigillata dish as grave-goods with an inhumation on the Inner Relief Road site B, Colchester (St Johns Abbey). Found with a greyware jar.Further details of the grave in Crummy et al. 1993, 205ff record that this was a child's grave and also contained the cranium of a dog. The coins were in a leather pouch or purse and found stacked.",NA
Georgia,1938,18332,MTSKHETA – SAMTAVRO 1938 1,2,-27,14,41.850851728137,44.720816692139,2 denarii of Augustus found in a st1 burial (S-A) during the archaeological excavation of Samtavro cemetery by I. A. Dzhavakhishvili.,"National Museum of Georgia, Tbilisi"
Sweden,1887,15522,GYLE,2,141,161,57.426478,18.613831,"Grup of 2 denarii: Antoninus Pius, Antoninus Pius (Diva Faustina I); silver w8: 5.32 g.","Swedish History Museum, Stockholm (inv.no. 8217)"
Hungary,1889,12779,DÖBRÖKÖZ,12,364,375,46.422,18.249,12 nummi: House of Constantine (Helena) - Valens (AD 364-375).,"Hungarian National Museum, Budapest (inv.no. 133.1889)"
"Russia, Ukraine",1954,12856,KERCH 1954,79,257,257,45.357,36.468,"1 drachm of Caesarea in Cappadocia (Julia Domna) and 78 antoniniani (radiates) (Julia Maesa to Gallienus), found in the northwest-west suburb of Kerch. 71 of these were published by N. Kunina in 1962. To these, Golenko adds a further 8 antoniniani.",Museum of Kerch
Italy,1875,16189,PAGOGNA,35,138,161,46.07305,12.098898,"35 bronze coins: medallions and coins: Nero, Vespasian, Titus, Trajan, Hadrian, Antoninus Pius (AD 138-161).",NA
France,1821,6281,SAINT-GENIS-POUILLY,217,260,268,46.243,6.025,"The hoard comprised 216 coins (without doubt mostly denarii and antoniniani (radiates) and a range of silver vessels, gold and silver jewellery and a copper-alloy figurine. The earliest coin was an aureus of Galba and the latest were issues of Gallienus. The hoard was found close to a mill at a depth of 15 inches. Most of the hoard was acquired by the Musée de Genève. The aureus of Galba was stolen before 1903.",Musée de Genève
Germany,2007,17216,NEUBOURHEIM,3,200,400,50.91348,6.33448,The coins (3rd - 4th c. AD) were found during sharding in 2007; they were corroded together and not identifiable.,Museum Jülich
Austria,1981,4094,NAVIS-MÜHLEN,1772,287,288,47.1166,11.455,At least 1772 antoniniani (radiates) found with a copper alloy jug: Claudius II - Diocletian-Maximian I (AD 287-288).,"Tiroler Landesmuseum Ferdinandeum, Innsbruck, Austria"
France,1748,6976,PARIS XVIE (QUARTIER AUTEUIL) 1748,62,260,260,48.112,3.3,The hoard comprised a large ceramic vessel containing 62 sestertii of the first to third century AD.,NA
Bulgaria,1960,12105,BLATNITSA,56,211,217,42.3733,24.4046,Unknown number of denarii. 56 coins entered the museum collection in Plovdiv: Nero - Caracalla (AD 211-217).,"Museum of Archaeology, Plovdiv, Bulgaria; inv.no. 2590"
Portugal,2003,17891,LAMEIRA,25000,395,423,41.8921315511,-8.519222849899,20-25000 nummi found with a ceramic vessel. The latest coins belong to Honorius (AD 395-423).,"Ca.mara Municipal de Paredes de Coura (5,000 coins)"
Romania,2005,8201,CONSTANȚA 2005,14,222,235,44.175,28.657,"14 provincial bronze coins: 13 Tomis, 1 Marcianopolis (Moesia Inferior): Pertinax - Severus Alexander (AD 222-235)","Muzeul de Istorie Națională și Arheologie Constanța, Romania; Inv. nos. 78427-78440"
Belgium,1831,8225,ELLEZELLES,79,269,271,50.734,3.68,79 antoniniani (radiates): Philip I - Victorinus (AD 269-271).,NA
Egypt,1923,7994,QAW EL-KEBIR A157,2747,475,476,26.9,31.517,"2747 bronze coins, ranging from the 4th century BC (Neandria) to Basiliscus (AD 475-476), found in a small pot during the excavations lead by G. Brunton at Qaw el-Kebir, south of Asyut. Most of the coins were late Roman nummi, with some Ptolemaic and Alexandrian bronzes and coins from Aksum. 1264 coins were barbaric imitations or casts.",NA
Germany,1931,17016,KASTELL ZUGMANTEL TOR,14,139,161,50.18977,8.20364,"In 1931, 14 bronze coins (Domitian to Antoninus Pius) were found on the surface in front of the southern gate of the Roman fort, which were oxidised together in a clump. Some specimens show exposure to fire.",NA
Bulgaria,1964,2673,GRADESHNITSA 1964,764,103,111,43.4833595,23.4803562,764 denarii: Republic - Trajan (AD 103-111). Together were found 4 silver earrings and 3 silver bracelets found in a ceramic vessel.,"Regional History Museum Vratsa, Bulgaria; inv.nos M II 3331-4094 (764 coins)"
France,1970,17399,ANTIBES 1970 2,2280,316,317,43.5848,7.1243,"Probably circa 10000 nummi, only 2280 nummi were extracted from the bottom of the sea.",NA
Austria,1945,13275,WIEN - INNER CITY 1945,274,169,176,48.209,16.371,"274 coins: 75 sestertii, 117 dupondii, 74 asses, 7 dupondii/asses, 1 bronze medallion: Gaius - Marcus Aurelius (AD 169-176). Together with the coins were found: 2 silver pans, 1 silver plate, silver wire bracelet.",NA
Romania,1970,16287,BISTRIȚA,4,161,176,46.945957,26.295953,"Unknown originally number of coins, denarii and antoniniani (radiates). Among the coins were recognized those of Vespasian, Hadrian, Antoninus Pius, Marcus Aurelius (Faustina II).",NA
Bosnia and Herzegovina,1891,16638,SIKIRIĆ,866,253,253,44.133272,19.434148,866 bronze coins together with 4 billon coins ranging from Gordian to Hostilian.,"National Museum of Bosnia and Herzegovina, Sarajevo"
Portugal,1939,17736,SAROLA,115,307,337,41.627170313633,-8.3058953287181,115 nummi of Constantine I found with a ceramic vessel.,NA
Poland,1935,13403,BIŁGORAJ,200,186,187,50.540833,22.721944,Several hundred denarii found with an iron jar. Only 6 provided data on the issuers: Hadrian - Commodus.,"National Museum, Krakow, Poland (25 coins)"
Italy,1971,4536,AQUILEIA 1971,9,425,455,45.768,13.369,9 solidi: Honorius - Valentinian III (AD 426-455); gold w8: 40.05g.,NA
