author,published,title,original_text,modified_date,changes,month
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 15, 1910.","April 15, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 20, 1910.","April 20, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 22, 1910.","April 22, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 24, 1910.","April 24, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 3, 1910.","May 3, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 6, 1910.","May 6, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 16, 1910.","May 16, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 23, 1910.","May 23, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_June_ 7, 1910.","June 7, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_June_ 25, 1910.","June 25, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_July_ 16, 1910.","July 16, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 17, 1910.","August 17, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 25, 1910.","August 25, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 30, 1910.","August 30, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_September_ 6, 1910.","September 6, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_September_ 14, 1910.","September 14, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_October_ 3, 1910.","October 3, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_October_ 18, 1910.","October 18, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_November_ 7, 1910.","November 7, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_November_ 26, 1910.","November 26, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_December_ 2, 1910.","December 2, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_December_ 25, 1910,","December 25, 1910,",as in text,
"Clarke, Jay",1954,High Man,June 1954. Extensive research did not uncover any evidence that the U.S.,"June 1, 1954",as in text,
"Clarke, Jay",1954,High Man,April 3,"April 3, 1954",modified,
"Clarke, Jay",1954,High Man,April 11,"April 11, 1954",modified,
"Clarke, Jay",1954,High Man,April 16,"April 16, 1954",modified,
"Clarke, Jay",1954,High Man,VIA WU CABLES LONDON APR 24,"April 24, 1954",modified,
"Clarke, Jay",1954,High Man,April 25,"April 25, 1954",modified,
"Clarke, Jay",1954,High Man,May 1,"May 1, 1954",modified,
"Clarke, Jay",1954,High Man,May 3,"May 3, 1954",modified,
"Clarke, Jay",1954,High Man,June 5,"June 5, 1954",modified,
