creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"J.P. Brown, P.-L. Gatier",Kaperkoraon,"An ancient place, cited: BAtlas 68 C2 Kaperkoraon",near Mgara,300,640,35.767777,36.659561
E.N. Borza,Delisinci,"An ancient place, cited: BAtlas 50 A1 Delisinci","Delisinci, fortified settlement MAC",-30,640,41.795492,21.987365
"C. Foss, S. Mitchell",Idebessos,Idebessos was an ancient city of Lycia.,Kozağacı,-30,640,36.554976,30.202995
A.G. Poulter,Emporium Discoduraterae,"An ancient place, cited: BAtlas 22 C5 Emporium Discoduraterae",Gostilitsa BUL,-30,640,43.02356,25.368331
N. Purcell,Casilinum,"A settlement located in the border region between the ager Falernus and the ager Campanus, north of Capua.",Capua,-330,640,41.1034594,14.2170763
"Jr., F.H. Stanley, R.C. Knapp",(B)Aesuris/Esuris,"An ancient place, cited: BAtlas 26 C4 (B)Aesuris/Esuris",Castro Marim POR,-30,640,37.21845,-7.441717
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",*Thibitha/Thilbisine,"An ancient place, cited: BAtlas 89 C3 *Thibitha/Thilbisine",Tel Beşme,300,640,37.329794,40.25866
"C. Foss, G. Reger, S. Mitchell",Dios Hieron,"An ancient place, cited: BAtlas 56 G5 Dios Hieron",Birgi,-30,640,38.227646,28.083254
S.E. Kroll,Giaur,"An ancient place, cited: BAtlas 90 C4 Giaur","Giaur, near Takht-i Suleiman",300,640,36.717662,47.361799
"I.E.M. Edlund Berry, A.M. Small",(B)Aletium,"(B)Aletium (Alezio) was a Messapic center that had ties to the Iapyges, according to Pliny. Saracens destroyed the site ca. A.D. 1000.",Alezio,-750,640,40.062362,18.059097
T. Drew Bear,Brouzos,"An ancient place, cited: BAtlas 62 D4 Brouzos",Karasandıklı,-30,640,38.5299613333,30.1744786333
B. Isaac,Azotos Paralios,"An ancient place, cited: BAtlas 70 F2 Azotos Paralios",Ashdod Yam/Minet el Qal'a,-720,640,31.7834665,34.6220045
E.W.B. Fentress,Untitled,"An ancient place, cited: BAtlas 34 E2 unnamed feature ()",Barrington Atlas grid 34 E2,-30,640,35.903068,6.037329
"H.S. Sivan, R.W. Mathisen",Puy-de-Gaudy,"An ancient place, cited: BAtlas 14 G2 Puy-de-Gaudy","Puy-de-Gaudy, Cm. St-Feyre",-550,640,46.160305,1.897489
E. Bertrand,Col. Dea Vocontiorum,An Augustan colony in Gallia Narbonensis located in the valley of the Drôme river; an important cultic center of the Vocontii.,Die,-330,2100,44.752363,5.370412
"A. Bursche, L.F. Pitts",Metelin,"An ancient place, cited: BAtlas 13 I2 Metelin","Metelin, POL",300,640,50.749782,23.85935
"A. Bursche, L.F. Pitts",Zamość,"An ancient place, cited: BAtlas 13 I2 Zamość","Zamość, POL",300,640,50.723127,23.251993
R.B. Hitchner,Moknine,"An ancient place, cited: BAtlas 33 G1 Moknine",Moknine,-30,640,35.631407,10.900881
"J. Bennet, G. Reger",Leben,"An ancient place, cited: BAtlas 60 C3 Leben",Lentas,-330,640,34.933931,24.925981
"P. Kos, M. Šašel Kos",‘Mestrianis’,"An ancient place, cited: BAtlas 20 E3 ‘Mestrianis’",Zalaszentgrót HUN,-30,640,46.942773,17.071344
H. Bender,Plaňany,"An ancient place, cited: BAtlas 12 I2 Plaňany","Plaňany, CZE",-30,640,50.051161,15.029736
"E.M. Meyers, J.P. Brown",Kana,Kana is a site of Christian pilgrimage located in southern Lebanon.,Qana LEB,-30,2100,33.2088889,35.2994444
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Numantia,"An ancient place, cited: BAtlas 25 C4 Numantia",Cerro de la Muela (Garray),-330,2100,41.809388242,-2.44433338524
E. Bertrand,Lunna,"An ancient place, cited: BAtlas 17 D1 Lunna",near Belleville-sur-Saône,-30,640,46.094027,4.740069
R. Müller Wollermann,Panarachthis/Pinarachthis,"An ancient place, cited: BAtlas 75 E1 Panarachthis/Pinarachthis",Barnasht,-330,640,29.693885,31.246691
S. Mitchell,Mataza,"An ancient place, cited: BAtlas 63 F4 Mataza","Maziköy, formerly Madazi",300,640,38.4787355,34.754597
"M. Roaf, St J. Simpson",K081,"An ancient place, cited: BAtlas 91 F5 K081",K081,-750,640,32.574194,44.806782
"H.S. Sivan, R.W. Mathisen",Cabrianecum,"An ancient place, cited: BAtlas 14 G3 Cabrianecum",Chabrignac,300,640,45.316117,1.339832
J.J. Wilkes,Rabisha,"An ancient place, cited: BAtlas 21 E6 Rabisha","Rabisha, settlement and quarry BUL",-30,640,43.712389,22.634082
"I.E.M. Edlund Berry, A.M. Small",Altamura,"An ancient place, cited: BAtlas 45 E3 Altamura",Altamura,-750,640,40.830269,16.554519
"M. Roaf, St J. Simpson",Tulul al-Ukhaidhir/[Qasr Muqatil]?,"An ancient place, cited: BAtlas 91 E5 Tulul al-Ukhaidhir/[Qasr Muqatil]?",Tulul al-Ukhaidhir,300,640,32.44318,43.60235
R. Müller Wollermann,Temseu Skordon,"An ancient place, cited: BAtlas 75 D4 Temseu Skordon",Dimshaw,-30,640,28.023569,30.708324
"A. Hausleiter, M. Roaf, St J. Simpson, R. Wenke",U847,"An ancient place, cited: BAtlas 93 B1 U847","U847, IRQ",-30,640,32.23993,45.315696
"A. Hausleiter, E.J. Keall, M. Roaf",Qaleh-i Yazdigird,"An ancient place, cited: BAtlas 92 A2 Qaleh-i Yazdigird",Qaleh-i Yazdigird,-30,640,34.585756,45.996431
"E.J. Keall, M. Roaf",Qizil Qal'eh,"An ancient place, cited: BAtlas 96 C2 Qizil Qal'eh",Qizil Qal'eh,-550,640,37.256236,54.865115
J.H.F. Bloemers,Beilen,"An ancient place, cited: BAtlas 10 C4 Beilen","Beilen, GER",300,640,52.857888,6.515702
"C. Foss, G. Reger",Argos,"An ancient place, cited: BAtlas 61 E4 Argos","Stauros, on Nisyros GRE",-330,640,36.579408,27.13944
B. Isaac,Sykomazon,"An ancient place, cited: BAtlas 70 E3 Sykomazon",Khirbet Suq Mazen? GAZ,300,640,31.41288,34.372228
E.N. Borza,Gospodinci,"An ancient place, cited: BAtlas 51 B1 Gospodinci","Gospodinci, BUL",-30,640,41.650776,23.725966
"A. Hausleiter, M. Roaf, E.J. Keall",KS391,"An ancient place, cited: BAtlas 92 D4 KS391",KS391,300,640,32.347129,48.226407
"M. Šašel Kos, P. Kos",Iovia,"An ancient place, cited: BAtlas 20 D3 Iovia",Ludbreg CRO,-30,640,46.253769,16.61509
R.J.A. Wilson,Entella,"Entella was an ancient city in the interior of Sicily, situated on the left bank of the river Hypsas.",Rocca d’Entella,-750,2100,37.7739772,13.1249825
S. Mitchell,Borissos,"An ancient place, cited: BAtlas 63 E4 Borissos","perhaps Sofular, formerly Sorsovu",300,640,38.348831,34.442649
"I.E.M. Edlund Berry, A.M. Small",Neretum,An ancient settlement of the Messapii in Apulia captured by the Romans in 269 BC. The Trajanic extension of the Via Appia ran through the site.,Nardo,-750,2100,40.175928,18.030423
"C. Foss, G. Reger",Alabanda/Antiocheia Chrysaoron,Alabanda/Antiocheia Chrysaoron was an ancient city of Caria.,Araphisar,-550,640,37.596986,27.982969
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Pompelo,Cn. Pompeius Magnus is considered to have been the founder of Pompelo (modern Pamplona) while on campaign against Sertorius in 75 BC.,Pamplona,-330,2100,42.817991,-1.644224
"M. Šašel Kos, P. Kos",Argyruntum,"An ancient place, cited: BAtlas 20 C5 Argyruntum",Starigrad CRO,-330,640,44.295052,15.440271
"E.M. Meyers, J.P. Brown",Kefar Shuni,"An ancient place, cited: BAtlas 69 A4 Kefar Shuni",Shuni ISR,-30,640,32.531149,34.949037
H. Bender,Kleinlangheim,"An ancient place, cited: BAtlas 12 D3 Kleinlangheim",Kleinlangheim,-30,640,49.770684,10.286554
"C. Haselgrove, J. Kunow",Litanobriga?,"An ancient place, cited: BAtlas 11 C3 Litanobriga?",Thiverny/La Haute Pommeraie/St-Maximin,-30,2100,49.248168,2.430474
"C. Foss, S. Mitchell",Araxa,"An ancient place, cited: BAtlas 65 B4 Araxa",Ören,-330,640,36.7513153333,29.3837026667
"J.P. Brown, E.M. Meyers",Lebaba,"An ancient place, cited: BAtlas 69 D3 Lebaba",Dayr Ali SYR,300,640,33.280217,36.303296
H. Bender,Summus Vicus,"An ancient place, cited: BAtlas 19 C3 Summus Vicus",Sonico? ITL,-30,640,46.166421,10.353903
P.O. Spann,Caviclum?,"An ancient place, cited: BAtlas 27 B5 Caviclum?","Torrox, W Málaga",-30,640,36.758483,-3.952759
"M. Pearce, P. Tozzi",Fidentia,"Fidentia (modern Fidenza) began as a Roman castrum and in 41 BC it became a municipium. The settlement is located along the Via Aemilia, between Parma and Placentia.",Fidenza,-30,640,44.865109,10.061732
R.B. Hitchner,Ain-el-Djenane,"An ancient place, cited: BAtlas 32 B4 Ain-el-Djenane","Ain-el-Djenane, ALG",-30,640,36.454166,8.075846
S. Loseby,Carpentorate/*Forum Neronis,"An ancient place, cited: BAtlas 15 E1 Carpentorate/*Forum Neronis",Carpentras,-30,2100,44.052059,5.047556
P.O. Spann,Basti,"An ancient place, cited: BAtlas 27 C4 Basti",Baza,-330,640,37.5120166,-2.7325361
"P. Kos, M. Šašel Kos",Seregélyes,"An ancient place, cited: BAtlas 20 F2 Seregélyes","Seregélyes, HUN",-30,640,47.11159,18.578335
R.B. Hitchner,Henchir-Zelba,"An ancient place, cited: BAtlas 33 G2 Henchir-Zelba",Henchir-Zelba,-30,640,35.380928,10.930615
gmckee,Tel Erani,"One of the largest Early Bronze Age mounds in the southern Levant, located approximately 20 km east of Ashkelon. The site shows signs of habitation as early as the Chalcolithic Era, with a significant remains from the Bronze Age and additional remains from the Iron Age, Persian, Hellenistic, and Islamic periods.",NA,-10000,2100,31.6112331026,34.7853380292
D.J. Mattingly,Ampalaontes?,"An ancient place, cited: BAtlas 38 B2 Ampalaontes?",Gasr el-Arid,-30,640,31.913255,20.044533
E.W.B. Fentress,Tatilti?,"An ancient place, cited: BAtlas 34 C2 Tatilti?","Taraess, formerly Souk el Khemis",-30,640,36.019807,3.989498
"T. Wilfong, S.E. Sidebotham, J. Keenan",Diospolis Magna/Thebai,"Diospolis Magna/Thebai was known in ancient Egypt as Waset, ""City of the Sceptre"". The site was designated as a UNESCO World Heritage Site in 1979.",Karnak/Luxor,-2600000,2100,25.664781,32.631884
"A. Hausleiter, E.J. Keall, M. Roaf",Khurheh,"An ancient place, cited: BAtlas 92 F2 Khurheh",Khurheh,-330,640,34.070325,50.491639
E.W. Haley,Cauca,"An ancient place, cited: BAtlas 24 G3 Cauca",Coca,-750,640,41.218346,-4.519114
C. Foss,Modra,"An ancient place, cited: BAtlas 86 B3 Modra",Mudurnu,-30,640,40.488963,31.143478000000002
S. Loseby,Apta Iulia,"Once the most important town of the Gallic Vulgientes, Romans destroyed the site ca. 125 BC and Iulius Caesar re-founded it as Apta Iulia.",Apt,-30,640,43.876571,5.393684
"A. Bursche, L.F. Pitts",Bernhardsthal,"An ancient place, cited: BAtlas 13 B4 Bernhardsthal","Bernhardsthal, AUS",-30,640,48.692087,16.869225
E.W. Haley,Mirobriga,"A celtiberian and subsequent Roman settlement at modern Ciudad Rodrigo in Salamanca, Spain.",Ciudad Rodrigo,-330,640,40.597188,-6.52277
S. Mitchell,Lamos,"An ancient place, cited: BAtlas 66 A4 Lamos",above Adanda,-30,640,36.228448,32.455419
"C. Foss, G. Reger, S. Mitchell",Klazomenai (earlier),"The initial, mainland site of the city, located to the southwest of modern Urla Iskelesi in Turkey. Pausanias reports that the city relocated to an island in the Bay of Smyrna, for which see ""Klazomenai (later).""",SW Urla Iskelesi,-3000,640,38.3614575859,26.770567899
M.U. Erdosy,Kapuhenvala,"An ancient place, cited: BAtlas 5 inset Kapuhenvala","Kapuhenvala, SRI",300,640,8.022877,80.273603
M. Roaf,Karmana,"An ancient place, cited: BAtlas 3 G4 Karmana",IRN,-550,640,28.665408,57.743416
S. Mitchell,Olba,"An ancient place, cited: BAtlas 66 D3 Olba",Ura,-330,640,36.58519,33.956685
A.S. Esmonde Cleary,Derbentio,"An ancient place, cited: BAtlas 8 F2 Derbentio",Little Chester,300,640,52.93687,-1.47618
T.W. Potter,Manliana,"An ancient place, cited: BAtlas 30 D4 Manliana","Khemis Miliana, formerly Affreville",-30,640,36.26087,2.220412
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Salies-de-Bearn,"An ancient place, cited: BAtlas 25 E2 Salies-de-Bearn","Salies-de-Bearn, FRA",-30,640,43.472501,-0.92546
"J.P. Brown, P.-L. Gatier",Nikertai,"An ancient place, cited: BAtlas 68 C2 Nikertai",Deir es-Sharqi,300,640,35.638109,36.717242
J.J. Wilkes,Koprivnica,"An ancient place, cited: BAtlas 21 E5 Koprivnica","Koprivnica, YUG",-30,640,44.016204,22.356548
A. Bernand,Pharbaithos,"An ancient place, cited: BAtlas 74 F3 Pharbaithos",Horbeit,-750,640,30.734257,31.620556
D.J. Mattingly,Tacape,Tacape (modern Gabès) was a commercial city located on the Lesser Syrtis.,Gabes TUN,-330,640,33.88643,10.109445
"E.J. Keall, M. Roaf",[Sari(ya)]/Zadrakarta?,"An ancient place, cited: BAtlas 96 B3 [Sari(ya)]/Zadrakarta?",Sari,-330,640,36.561445,53.058903
S. Mitchell,Isaura Vetus/Isauropolis?,"An ancient settlement, modern Bozkır in Turkey.",Bozkır,-330,640,37.190126,32.24503
E.W. Haley,Saldania,"An ancient place, cited: BAtlas 24 G2 Saldania",Alto de la Morterona (Saldaña),-550,640,42.522247,-4.73616
E.W. Haley,Palantia,The chief town of the Vaccaei in the northern part of Hispania Tarraconensis.,Palencia,-30,2100,42.012482,-4.531184
"S.J. Keay, R.W. Mathisen, H.S. Sivan",El Molinillo,"An ancient place, cited: BAtlas 25 C4 El Molinillo","El Molinillo, Nepas",-330,640,41.526454,-2.399916
D.F. Graf,Wadi Nasb,"An ancient place, cited: BAtlas 76 C3 Wadi Nasb",Wadi Nasb,-330,640,29.057354,33.325467
E.N. Borza,Debren,"An ancient place, cited: BAtlas 51 B1 Debren","Debren, BUL",300,640,41.606136,23.850924
G.D. Woolf,Col. Iulia Equestris/Noviodunum,"An ancient place, cited: BAtlas 18 D3 Col. Iulia Equestris/Noviodunum",Nyon SWI,-330,2100,46.380843,6.238405
"I.E.M. Edlund Berry, A.M. Small",Aequum Tuticum/Equus Tuticus,Aequum Tuticum/Equus Tuticus was an ancient Oscan town. The settlement was located near the intersection of the Via Traiana and the Via Herculia in the territory of the Hirpini.,S. Eleuterio,-330,640,41.152484,15.087531
J.J. Wilkes,Veliko Orašje,"An ancient place, cited: BAtlas 21 D5 Veliko Orašje","Veliko Orašje, YUG",-30,640,44.379929,21.096381
P. Galliou,Portbail,"An ancient place, cited: BAtlas 7 E2 Portbail",Portbail,-30,640,49.334358,-1.699675
"Jr., F.H. Stanley, R.C. Knapp",Hispalis/Col. Romula,"Hispalis/Col. Romula (modern Seville, Spain).",Sevilla/Seville,-750,1453,37.382668,-5.996293
R.B. Hitchner,*Vazari,"An ancient place, cited: BAtlas 32 E3 *Vazari",Henchir-Bejar,-330,640,36.872048,9.579189
"J. Bennet, G. Reger",Leuke,"An ancient place, cited: BAtlas 60 F3 Leuke",Barrington Atlas grid 60 F3,-330,640,34.940988,26.131172
E.N. Borza,Batak,"An ancient place, cited: BAtlas 51 C1 Batak","Batak, BUL",-750,640,41.9016225,24.217454
A.G. Poulter,Vicus *Ulmetensium,"An ancient place, cited: BAtlas 22 F4 Vicus *Ulmetensium",Pantelimon de Sus,-30,640,44.547612196,28.3417314283
"M. Roaf, E.J. Keall",Tusa/Sousia,"An ancient place, cited: BAtlas 97 E3 Tusa/Sousia",Tus,-550,640,36.464709,59.540463
C. Foss,Lilaios,"An ancient place, cited: BAtlas 86 B2 Lilaios",E Akçakoca,-30,640,41.09037,31.186582
D.J. Mattingly,Paraetonium/Ammonia,The westernmost town of ancient Egypt.,Marsa Matruh,-750,640,31.350136,27.2368445
E.N. Borza,Paroikopolis/Parthikopolis,"An ancient place, cited: BAtlas 50 D1 Paroikopolis/Parthikopolis",Sandanski? BUL,-330,640,41.561119,23.277848
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Saibakh,"An ancient place, cited: BAtlas 89 D4 Saibakh","Saibakh, SYR",-30,640,36.678279,41.090014
"E.M. Meyers, J.P. Brown",Kaparasima,"An ancient place, cited: BAtlas 69 B4 Kaparasima",Kafr Sumei'? ISR,-30,640,32.964971,35.303053
B. Isaac,Lachish,"An ancient place, cited: BAtlas 70 F2 Lachish",el Qubeibe,-720,640,31.5655212,34.8491898
"J. Fossey, J. Morin",(Hypo)Chalkis,An ancient settlement on the Aetolian coast. The archaeological site of Chalkis is located immediately east of modern Kato Vasiliki in Western Greece.,Kato Vasiliki,-750,2100,38.354052,21.6313226
E.N. Borza,Gradec,"An ancient place, cited: BAtlas 50 B1 Gradec","Gradec, fortified settlement MAC",300,640,41.854513,22.488649
"M. Roaf, St J. Simpson",[Karkh Firuz]/‘Charcha’,"An ancient place, cited: BAtlas 91 E3 [Karkh Firuz]/‘Charcha’",Sheikh Wali,-30,640,34.358343,43.793097
E.N. Borza,Laki,"An ancient place, cited: BAtlas 50 C1 Laki","Laki, fortified settlement MAC",-30,640,41.782883,22.675209
S. Mitchell,Yarhisar,"An ancient place, cited: BAtlas 63 F4 Yarhisar",Yarhisar,-30,640,38.089168,34.71353
S.E. Kroll,Laclac Gaisi,"An ancient place, cited: BAtlas 90 B4 Laclac Gaisi","Laclac Gaisi, near Hoseyn Mame",300,640,36.740595,46.114411
"T. Sinclair, P.-L. Gatier",Katabolos/Moutloubake,"An ancient place, cited: BAtlas 67 B3 Katabolos/Moutloubake",Muttalip Höyüğü,-30,640,36.908101,35.9885745
"M. Šašel Kos, P. Kos",Corinium,"An ancient place, cited: BAtlas 20 C5 Corinium",Karin CRO,-30,640,44.104527,15.633504
"J. Fossey, J. Morin",Phalara,"An ancient place, cited: BAtlas 55 D3 Phalara",Paralos/Stylis,-550,640,38.9137916,22.62257245
"J.P. Brown, P.-L. Gatier",Khirbet et-Tin,"An ancient place, cited: BAtlas 68 C4 Khirbet et-Tin",Khirbet et-Tin,300,640,34.716028,36.569607
P.O. Spann,Iniesta,"An ancient place, cited: BAtlas 27 D2 Iniesta",Iniesta,-30,640,39.440732,-1.749431
"J.P. Brown, E.M. Meyers",Aphetatha?,"An ancient place, cited: BAtlas 69 E4 Aphetatha?",el-Afine SYR,-30,640,32.605012,36.566669
"H.S. Sivan, R.W. Mathisen",Royat,"An ancient place, cited: BAtlas 14 I3 Royat",Royat,-30,2100,45.764539,3.049775
"P. Kos, M. Šašel Kos",Páty,"An ancient place, cited: BAtlas 20 F2 Páty","Páty, HUN",-30,640,47.513512,18.824703
"C. Haselgrove, J. Kunow",Princastellum?,"An ancient place, cited: BAtlas 11 H3 Princastellum?",Bernkastel GER,300,640,49.9110990018,7.07466666187
"M. Pearce, R. Peretto, P. Tozzi",[(H)Eraclia],"An ancient place, cited: BAtlas 40 D1 [(H)Eraclia]",Cittanova,300,640,45.6377475,12.657285
C. Foss,Pharmakia/Therapeia,"An ancient place, cited: BAtlas 53 B2 Pharmakia/Therapeia",Tarabya,-30,640,41.133339,29.049999
S. Mitchell,Mallos/Antiochia ad Pyramum,Mallos/Antiochia ad Pyramum was an ancient coastal city of Cilicia.,near Kızıltâhta,-330,640,36.756188,35.4852
"E.M. Meyers, J.P. Brown",*Athela,"An ancient place, cited: BAtlas 69 E4 *Athela",'Atil SYR,-30,640,32.760967,36.58284
"P.-L. Gatier, T. Sinclair",*Kaprokera,"An ancient place, cited: BAtlas 67 D4 *Kaprokera",Burdj Heidar SYR,300,640,36.341664,36.903243
"M. Pearce, P. Tozzi",Segesta Tigulliorum,Coastal settlement of the Ligures Tigullii.,Sestri Levante,-30,640,44.273159,9.396776
D.J. Mattingly,Henchir Sidi Rjijila,"An ancient place, cited: BAtlas 35 C1 Henchir Sidi Rjijila","Henchir Sidi Rjijila, TUN",-30,640,33.147512,10.491646
"T. Sinclair, P.-L. Gatier",Mopsou(h)estia/Seleukeia pros to Pyramo,"Mopsou(h)estia/Seleukeia pros to Pyramo was an ancient settlement in Cilicia Pedias (now modern Yakapınar, Turkey).","Yakapınar, formerly Misis",-1000,2100,36.9580404953,35.6223738026
"St J. Simpson, F. Hiebert, P.L. Kohl",Kushmeikhan,"An ancient place, cited: BAtlas 98 C1 Kushmeikhan",Köne Kishman TKM,300,640,37.893745,62.247637
"P. Kos, M. Šašel Kos",Pomáz,"An ancient place, cited: BAtlas 20 G2 Pomáz","Pomáz, HUN",-30,640,47.647277,19.026958
"H.S. Sivan, R.W. Mathisen",*Nogeomagus,"An ancient place, cited: BAtlas 14 H2 *Nogeomagus",Flavigny,-30,640,46.965913,2.799842
C. Foss,Chrysopolis,"An ancient place, cited: BAtlas 53 B2 Chrysopolis",Üsküdar,-550,640,41.020639,29.012856
