country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
Ukraine,2016,20674,KYIV REGION 2016,291,180,192,50.1812553789,30.2157138996,"A hoard of 291 Roman imperial denarii: Hadrian – Commodus (AD 180-192) and their imitations was found by 2 treasure hunters in early June 2016 in the Kyiv region. Information about the find and photos of the coins were published by 1 of the finders on the Ukrainian treasure hunting forum Violity on June 21, 2016. The finder reported that the coins were collected from an area of 3 square meters. The first coins were found at a depth of 10-20 cm, although the pit for their search was dug about 1 m deep. Some coins have traces of bronze oxides. In general, the preservation of coins is good (weak wear). In August 2016, the entire hoard was sold at a Violity auction. The further fate of the coins is unknown.",Sold
Belgium,1802,8272,SINT-AMANDS,19,306,337,51.056,4.209,"19 coins: 17 antoniniani (radiates), 2 nummi: Gallienus - Constantine I (AD 306-337).",NA
Italy,1592,16170,SATURNIA,30,425,455,42.664214,11.505285,"30 gold coins and jewelry. Among issuers was recognized 1 of the Valentiniani, most likely, Valentinian III.","Museo Archeologico di Firenze, Italy (?)"
UK,1971,15151,EPPING UPLAND,12,10,40,51.680309,0.081421645,"The finder of the first coin, a stater of Cunobelin stated that the first coin had been found barely beneath the surface, in early 1971. On 27 January 1973 he and his detecting partner searched the same spot again, and found the 11 additional coins - another 7 staters of Cunobelin and 4 of Tasciovanos - up to 30 m apart and from just below the surface to about 25 cm deep. The site was said to have been disturbed by roadworks and/or the planting of a hedge, which may well have scattered the hoard.",British Museum (part); Museum of London (part)
Serbia,1963,2815,SREMSKA MITROVICA 1963,155,249,251,44.983,19.617,"155 bronze coins, official and provincial issues of Viminacium and Provincia Dacia: Antoninus Pius - Trajan Decius (AD 249-251).",NA
Switzerland,2012,9392,WEINFELDEN TG 2012,30,271,274,47.574,9.104,"Found during construction work, supervised by archaeologists. Among other coins ca. 30 poorly preserved radiates, probably a purse (?), mainly imitations of the Gallic Empire (Tetricus I), plus 1 Divo Claudio II (altar, cf. RIC V.1, p. 233, no 261 (bust K).","Amt für Archäologie Thurgau, Frauenfeld"
UK,1977,15406,WITCHAMPTON,15,-60,-20,50.853512,-2.0297812,"At least 16 coins, recorded over a period of several years, which might conceivably have originated in a hoard. No further information available",NA
Tunisia,1903,4544,CARTHAGE 1903,4,441,450,36.853,10.322,"Unknown circumstances of finding. 4 solidi: Honorius 1, Theodosius II 3 (AD 441-450); gold w8: 17.8g.","Musée National du Bardo, Tunis, Tunisia"
Israel,1935,7541,ST. STEPHEN'S GATE,160,68,69,31.781,35.237,"The hoard comprised 160(?) silver shekels, 89 of which were published. These coins date between 258 BC and AD 68/69.",Israel Antiquities Authority (IAA 54688-54697)
UK,1991,15317,SNETTISHAM P,8000,20,50,52.877233,0.49495961,"De Jersey (2015) gives a full account of this discovery and its implications. This was probably the largest Iron Age coin hoard found in Britain, but it was illegally detected and then dispersed, before a complete record could be made. The hoard appears to have been contained in a metal bowl and was associated with further gold coins, ingots and torc fragments buried above and below it. Estimates range from between 6000 and 8000 silver coins.",dispersed in trade
Germany,1880,17346,SCHLIEBEN,20,181,189,51.723205,13.381452,"A hoard of 20 denarii (Antoninus Pius - Commodus, but no details known for 12 coins) was found between 1880 and 1890 in a glass bowl, between the city and the railroad, directly southeast of the confluence of the Horst- and To10graben.",NA
Croatia,1944,2884,KURILOVEC,2000,259,259,45.7,16.07,"(5-6 kg) 2000 coins. Identified 341 silver coins: 1 denarius, 340 antoniniani (radiates): Severus Alexander - Valerian I (AD 259); silver w8: 2500.2 - 4759.1 g+.","Archeological Museum Zagreb (?980 coins); P. Broz collection Zagreb (83 coins), Croatia; dispersed - 1981"
Italy,1950,16206,NAVE,14,244,247,45.978,12.5036,The hoard includes 6 denari and 8 antoniniani (radiates) from Trajan to Philip I (AD 103-247) kept in a private collection.,Private collection
Algeria,1903,4876,CHERCHELL 1903,40,253,254,36.61,2.197,A possible hoard (or part of a hoard) of 40 sestertii from Trajan to Valerian I (AD 253-254)?,NA
Sweden,1870,15587,SINDARVE,1500,193,194,57.24719,18.401563,"Originally, 1500 denarii and a drachm found with a clay vessel. 1391 coins preserved: Nero - Septimius Severus (AD 193-194); silver w8: 3924.6 g. (1.391 coins).","Swedish History Museum, Stockholm (inv.nos. 4391, 4398, 4417)"
Netherlands,1986,10031,VECHTEN 1986,45,222,235,52.058,5.162,45 silver coins: Republic - Severus Alexander (AD 222-235).,Private collection
France,1861,3344,MORIENVAL 1861,1004,238,238,49.298,2.92,The hoard comprised 1002 denarii and 2 drachms from Nero to Gordian I. Hobbs estimates a silver w8 of between 1467.5g and 3140.8g.,NA
Italy,1904,3446,STELLATA,1800,238,244,44.9487,11.4223,Around 2500 silver coins found with a ceramic vessel. 1800 coins were recovered: Vespasian - Gordian III (AD 238-244); silver w8: 859.1-1804.1g.,NA
UK,1872,14825,BECCLES,19,274,282,52.4543,1.560318,"A small barbarous radiate hoard in the British Museum with the provenance ""Beccles, Lowestoft, 1872"". No further information.",NA
UK,2001,15397,WICKHAM 2001-10,12,-80,-60,50.895676,-1.1908874,"Since 2001 a number of die-linked Cheriton staters have appeared in the trade, reportedly from a hoard found near Wickham, north of Portsmouth. The total of coins in the find is unknown.",Dispersed through trade
France,1967,7235,ROUVROY-LÈS-MERLES,33,346,350,49.648,2.359,The hoard comprised 33 4th century nummi of the House of Constantine.,NA
France,1761,6049,SAINTES 1761,13,83,84,45.744,-0.624,"The hoard comprised a terracotta vessel filled with gold coins. Bourignon remarked that the earliest he saw were of Augustus and the latest of Domitian, although he was assured that there were also coins of Julius Caesar.",NA
UK,2008,15042,FILEY AREA I,85,395,402,54.159669,-0.36284507,75 siliquae and 10 nummi to AD 402.,East Riding Museums Service
Netherlands,2005,9936,LEIDEN 2005 1,2,119,120,52.1462,4.5147,"2 silver coins: Titus for Divus Vespasianus, Hadrian.",Private collection
Egypt,1902,7863,BATN IHRIT A84,20,222,235,29.333,30.568,20 Alexandrian bronzes found in ceramic vessel in the courtyard just in front of a door during excavations of a house. Ranking: Cleopatra VII - Severus Alexander (AD 222-235).,"Münzkabinett, Berlin (in 1912)"
Germany,1977,17030,DIEBURG 1977/8,5,152,153,49.89738,8.84613,"A cultic area with 2 temples was excavated southwest of the intersection of Groß-Umstädter straße/Aschaffenburger straße. 1 of the 2 temples had a quadratic cella, corresponding to the Gallo-Roman type. A small hoard of 5 bronze coins (Trajan to Antoninus Pius) and a complete set of cultic vessels was found in its immediate vicinity.",NA
UK,1997,15223,KIRMOND LE MIRE,43,30,50,53.411624,-0.22620915,"43 north-eastern silver Iron Age coins found in 1997, although it is unclear if more went unrecorded.",NA
France,1996,5929,LA CHAPELLE-DES-MARAIS,200,238,244,47.447403,-2.243362,"The hoard was found in a ceramic urn which had been placed in a rectangular cavity under a large flat st1. Within the urn, were 100 small gold Roman coins and 200 in silver and bronze, as well as some b1s. The hoard was found by a farmer when he lifted a large flat st1 in a field which was bothering him. The farmer sold the coins to a collector with the exception of 1 coin each in gold, silver and bronze.",NA
Austria,1904,4150,WIEN 1ST DISTRICT 1904,6,276,282,48.209,16.369,"6 antoniniani (radiates) found in a small ceramic vessel: Gallienus (sole) 2, Claudius II 2 Probus 2.",NA
Israel,1970,7636,YAFO 1970,12,383,395,32.049,34.758,The hoard comprised 12 nummi dated between AD 341-346 and AD 383-395.,Israel Antiquities Authority (IAA 47690-47701)
Israel,1951,7707,SUSITA,8,260,261,32.778,35.6602,The hoard comprised 8 antoniniani (radiates) of Quietus (AD 260-261).,Israel Antiquities Authority (IAA 2602-2608; 2618)
Italy,1985,13941,BOVA MARINA,3071,455,455,37.924827,15.947184,3071 bronze coins: Hellenistic - Valentinian III (AD 455).,"Museo Regionale di Messina, Italy"
France,1842,3678,ÉTAPLES 1842,3035,266,266,50.533651,1.633505,"The hoard comprised 2 vessels containing 3080 coins. Cousin mentions 3074 coins, but the list of reverses that he gives has a total of 3071 and the total by emperor is 3084. He also described reverse types but does not match them with their obverses. The last coins are 115 SAECVLI FELICITAS issues of Postumus (Elmer 593). It was found within 7 or 8 metres of Hoard ÉTAPLES 1840 1 during archaeological excavations directed by L. Cousin.",NA
Romania,2023,20602,MOARA VLĂSIEI,6,351,355,44.642417764708,26.222041615443,"6 silver coins found close to each other: 1 denarius, 1 antoninianus (radiate), 4 siliquae: Commodus (1), Gordian III (1), Constantius II (4).",NA
France,1801,4560,LIMOGES 1801,200,393,423,45.8305,1.2526,"Lafaurie dates the deposition of this hoard to the beginning of the fifth century, before the menace of the Vandals (letter of 28.06.1962). Circa 200 siliquae; Silver w8: c. 254.7-339.6 g. According to Kent: 'perhaps 'Vandal', probably Visigothic GLORIA'.",NA
UK,1999,15208,HEYBRIDGE 1999-2002,5,-20,10,51.740163,0.67806967,5 staters of Dubnovellaunos found in a radius of c.75 m on land near Maldon.,Colchester Museum
Spain,1966,17882,ESTEPONA,165000,393,423,36.425173254725,-5.1503238882916,50 kilos (circa 165000 coins) of nummi from Valentinian I/II to Honorius. Still unpublished.,NA
UK,1954,15177,GRIMSBY,6,-60,-50,53.553513,-0.099508488,"6 (or possibly more) Iron Age gold coins, found on the southern outskirts of Grimsby.",Lincoln Museum (part)
Germany,1925,19962,SIEGEN,4,313,317,50.881793124752,8.0200558664753,"Few coins found with a ceramic vessel. Unreliable information on the circumstances of discovery. The nummus of Licinius I was found later, in 1966.","Private collection, Siegen"
UK,1853,14595,WESTERGATE 1853,21,327,328,50.837068,-0.6806436,"There are 21 nummi of the House of Constantine in the British Museum with the provenance Westergate, Chichester (BM 18530706). Possibly related to the grave find from Westergate donated in 1853 (Pastscape 249071) but there is nothing in the acquisition information to connect the 2 finds.",NA
Ukraine,2018,18620,BURYAKOVE,52,193,194,49.7531,35.5489,52 denarii: Trajan - Septimius Severus (AD 193-194).,NA
Serbia,1966,8049,SREMSKA MITROVICA 1966 1,40,270,275,44.983,19.617,Around 40 antoniniani (radiates) of Aurelianus and Severina (AD 273-275); mint of Siscia. Unpublished.,Музеј Срема (Museum of Srem) - 1981
Italy,1863,17118,AQUILEIA 1863,31,425,455,45.768,13.369,"The con10t of the hoard is only briefly menti1d: 31 gold denominations dating to the reign of Honorius and Valentinian III, including coins of Galla Placidia and Licinia Eudoxia, now dispersed. The total gold w8 is unknown.",NA
UK,1879,41,ABERKENFIG,492,284,294,51.534957,-3.601748,"Around 500 radiates (Valerian I to Diocletian) found by a workman in a rock crevice inside a coal mine near Aberkenfig. The coins were apparently lying on a fragment of decayed cloth, suggesting a container. 3 different lists of this hoard exist, totalling c. 530, 500 and 492 coins. The list here follows the 1 given by Robertson, based on the 492 coins deposited at the National Museum Cardiff.",National Museum Cardiff
UK,1676,15409,WOODEATON 1676,2,10,40,51.795147,-1.2328972,Historic record of 2 gold Iron Age coins found at Woodeaton in 1676.,NA
Portugal,2016,17867,BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO,481,440,455,41.548314979461,-8.4261883955643,481 coins found together under a tile: Diocletian - Valentinian III (AD 440-455).,"Museu Pio XII, Braga, Portugal"
Italy,1929,13803,GONNOSCODINA,314,180,192,39.699425,8.836997,Hoard of 314 large Roman imperial bronze coins: Trajan - Commodus (AD 180-192).,"National Museum, Cagliari, Italy, in 1913"
Bulgaria,1972,10493,SNEZHINA 1972,12,244,249,43.1636,27.2651,42 provincial bronze coins found in a ceramic vessel. 12 have been examined: Caracalla - Philip I (AD 244-249).,NA
Switzerland,1965,6443,AIROLO TI - MADRANO 1965 / TOMB 2,27,179,179,46.526,8.628,"The hoard comprised 2 denarii (Trajan, Hadrian) and 25 aes coins ranging from Domitian Caesar to Faustina II. They were recovered during the excavation of a inhumation burial (tomb 2/1965) in the necropolis and were interpreted as the con10ts of a purse. 20 coins are preserved today, and reliable descriptions of the other 1s exist.","Ufficio dei beni culturali, Bellinzona (20 coins); lost (7 coins)"
France,1841,4423,HAUTOT-SUR-MER,98,395,410,49.9165004,1.0314083,"The hoard 'comprised 80 gold coins dating to the 4th or fifth centuries AD. A later find in 1861, apparently in the same spot, located another 18 solidi, mixed with Medieval florins' The coins were discovered on 2 occasions. In 1844 (or 1846) 80 gold coins were discovered after a landslide near the Customs post. In 1861, a further 18 solidi were found, apparently at the same spot. Gold w8: c.404.95g","Musée de Dieppe, France (three coins, stolenin 1904)"
UK,1934,548,MAIDEN CASTLE (TEMPLE),4,402,406,50.690706,-2.4685407,"A small hoard of 4 gold coins of Arcadius and Honorius found with a gold ring outside the east wall of the temple, during the excavation of the Romano-Celtic Temple inside the Iron Age hill fort of Maiden Castle.","Dorset County Museum, Taunton"
UK,1700,614,BENFLEET,1500,43,402,51.553803,0.5661193,"Urn containing 1500 Roman coins, found by a man ditching in a field. Undated.",NA
UK,2004,15251,NEAR SULHAMSTEAD,11,-60,-20,51.407535,-1.0956244,"A small hoard found early in 2004, with 2 Gallo-Belgic E staters and 4 British QB staters. 5 staters found in 2013-2014 are thought to be part of this hoard as well.",NA
France,1807,5970,FONTENAY-LE-COMTE 1807 2,300,-100,0,46.465972,-0.8065,The hoard comprised a black coarseware vessel containing several 100 electrum staters. A mention of a second discovery of 20 staters at the same site is probably an error. The hoard was found by a worker in a vineyard at the bottom of the garden of the ancient Commandery of Saint-Thomas.,NA
Cyprus,1949,18751,PLATANI,28,114,117,35.333577961841,33.751184871899,"28 bronze coins found near a skeleton: 27 provincial coins minted on Cyprus (uncertain mint under Augustus and Tiberius; Koinon of Cyprus for Claudius, Vespasian, and Trajan) and 1 sestertius of Trajan (AD 114-117).","Cyprus Museum, Nicosia (inv.nos: 1949/IV-7 /3(a-u); 1949/XI-4/I(a-g)"
France,1985,5483,SAINT-NOM-LA-BRETÈCHE,9,164,176,48.86,2.02,The hoard comprised 9 aurei from Antoninus Pius to Marcus Aurelius.,NA
North Macedonia,1950,9761,PETRALICE,377,294,310,42.206,22.331,377 nummi: Tetrarchy (AD 284-310).,Archaeological Museum of Macedonia
France,1843,7471,ROUSSILLON-EN-MORVAN,12,260,269,47.026,4.121,"The hoard comprised 12 antoniniani (radiates) from Gordian III, Philip I, Trebonianus Gallus, Volusian, Salonina, Saloninus and Postumus.",NA
Italy,1828,9700,POMPEII VIA DI MERCURIO C,2,1,79,40.751,14.484,1 uncertain Imperial denarius and 1 uncertain denarius found with skeletons and a gold necklace on the via di Mercurio.,NA
Austria,1914,13198,SAUERBRUNN,200,300,400,47.776,16.329,200 bronze coins found with a ceramic vessel. 1 nummus wasd seen in 1933 by Dr. F. Hantmann.,Lost
Greece,1962,6805,DELPHI (?),37,302,303,38.48,22.494,"A hoard (or part of a hoard?) of 37 4th century nummi, known through a lot of 29 nummi of the first Tetrarchy (art market, Athens) and 8 further nummi presenting the same patina, confiscated from a dealer in Delphi in 1962. Mints represented are mainly the 1s from Italy, which is curious for Greece and might be explained by the fact that this hoard could be a purse loss of an Italian visiting Greece.",Ephorate of Delphi (part)
Netherlands,2000,10049,WIJNALDUM 2000,2,176,181,53.1953,5.4608,"2 denarii found in mound: Antoninus Pius, Marcus Aurelius/Faustina II (Diva).",Private collection
Turkey,2019,20974,PARIUM 2019 ACROPOLIS,475,408,423,40.427,27.0649,"A Late Roman hoard of 475 coins, found during the excavations of the inner wall of the acropolis. It comprised 1 Hellenistic coin (Phalasarna), 1 antoninianus of Aurelian, a Gallic Empire imitation and 472 nummi (up to Theodosius II).",NA
Bulgaria,1985,10127,SUHACHE 1985,1606,201,293,43.3169587,24.0067262,"1606 silver coins: 604 denarii, 1002 antoniniani of the 1st-3rd centuries AD.",NA
Romania,1875,18693,DENTA,50,426,430,45.3556,21.2347,"Around a skeleton, orientated eastwards, 'a large number' of Roman coins - estimated to 50 pieces: Jovian - Valentinian III (AD 426-430). The majority belonged to Valentinian I, Valens and Gratian. Most of the coins were sold in Vrsac (Serbia) and Timisoara (Romania). 23 coins entered the Ormos Zsigmond collection, which was later transferred to the National Museum of Banat. 2 solidi of Valentinian I minted in Treveri are still kept in the collection of the museum.","Muzeul Național al Banatului, Timișoara, Romania (inv.no. 59-60)"
France,1804,6284,SAINT-VULBAS 1804-1807,350,305,310,45.832,5.29,The hoard comprised 'middle bronzes' (nummi or folles) dating from Diocletian to Constantine I. The number of coins in the hoard has been estimated at between 150 (Chapuis) and 350 (Riboud). The majority were acquired by Chapuis.,NA
Belgium,1939,3353,NAMUR 1939,7,253,268,50.466,4.869,"7 silver coins: 6 denarii, 1 antoninianus (radiate): Republic - Valerianus/Gallienus (Salonina) (AD 253-268); silver w8: 11.8-22.8 g.","Musée Archéologique de Namur, Belgium (7 coins)"
Greece,1975,6738,THEBES,25,144,144,38.319,23.318,"The hoard comprised 25 coins (23 sestertii, 1 dupondius and 1 Provincial bronze of Trajan of the Koinon of Cyprus), ranging from Titus to Antoninus Pius.",Thebes Museum
UK,1837,1172,RIBCHESTER 1837,5,141,161,53.810102,-2.5329994,"5, or possibly up to 8 aurei, from Nero to Diva Faustina I (AD 161). 5 aurei are listed here, and the other 3 1s (Bland/Loriot 343-5) are listed separately as single gold finds.","Harris Museum, Preston (part); Blackburn museum (2 coins)"
Germany,1860,2934,DAMBACH 1860,7,203,217,49.09372,10.56739,"Around 1860 a forest warden delivered, among other coins, 6 denarii that lay in rolls, stuck together in a bundle. 7 denarii, ranging from Septimius Severus to Caracalla, were listed among the single finds made in Dambach in 1901 and could be identical with the find made ca. 1860.",NA
UK,1974,14894,CADEBY 1974,8,180,192,53.494143,-1.2176636,Hoard of 11 sestertii found adjacent to the large Cadeby hoard.,NA
Bulgaria,1967,12055,PLOVDIV 1967 B,5,249,251,42.149,24.737,5 antoniniani of Trajan Decius (AD 249-251).,"Museum of Archaeology, Plovdiv, Bulgaria; inv. no. 2475"
Ukraine,2020,20651,POLTAVA REGION 2020,12,180,192,49.7208122793,33.7496120281,"A small hoard of 12 Roman Imperial denarii: Trajan - Commodus (AD 180-192) was discovered by a treasure hunter in early summer 2020. According to the finder the coins were found in a “small area” and represent “the con10ts of a purse”. The further fate of the coins is unknown: Trajan (1), Antoninus Pius (4), Marcus Aurelius (4), Commodus (1), unknown (2).",NA
