country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Ukraine,2016,20685,CHERKASY REGION 2016?,21,180,192,49.2575505642,31.3370139893,"A small hoard of 21 Roman imperial denarii (from Domitian to Commodus) and three bronze artefacts was found by a treasure hunter in March 2016 somewhere in Central Ukraine, probably in Cherkassy region. On March 10, 2016, on the Ukrainian treasure hunting forum Violity was published information about the hoard and a photo of the coins and items from it (the finder identified the deposit as a “purse of denarii”). There is no information about the conditions of the find. The coins have heavy wear, one of the coins has strong oxide traces. The bronze items are rectangular in shape and are most likely belt plate: two measure 4.5x0.7cm and one (with six rivets) measures 4.3x1.3cm. In March 2016 the hoard was sold at the Violity auction, and the further fate of the coins is unknown.",Sold,II century
Germany,1854,17333,NIEMEGK,74,119,122,52.07122,12.693924,"A hoard of 74 denarii (Republic- Hadrian), found in 1854 approx. 1 km north of the place, 100 m from the street next to Dahnsdorf behind a hill in a ravine.",NA,II century
Italy,1875,16189,PAGOGNA,35,138,161,46.07305,12.098898,"35 bronze coins: medallions and coins: Nero, Vespasian, Titus, Trajan, Hadrian, Antoninus Pius (AD 138-161).",NA,II century
Germany,1912,16710,MÜHLACKER-DÜRRMENZ,22,161,180,48.949104,8.850427,"The 22 coins (sestertii, Trajan - Marcus Aurelius) are the remnants derived from a hoard of at least five pounds from a meadow (Eckenweiher) where Roman villas have been found. The find is labelled as 'Kollektivfund' in FMRD.",NA,II century
Poland,2015,13436,INOWROCŁAW - SURROUNDINGS 2015 A,18,193,194,52.795833,18.261111,18 denarii of which two imitations (one hybrid) found as a lump: Trajan - Septimius Severus (AD 193-194). The imitation denarii were struck with the same dies as other two denarii found in Ukraine (Dymowski 2017),Private collection,II century
Spain,2000,17564,BAETULO,33,125,128,41.452387974632,2.2470209493459,33 bronze coins found together in one insula of the former Roman city of Baetulo.,"Museo de Badalona, Spain",II century
"Scotland, United Kingdom",1781,1131,CARSTAIRS,100,138,180,55.6814,-3.6836,"A hoard of about a 100 Roman bronze coins, found on the estate of Carstairs house (= Monteith House). Nero, Trajan, Faustina, Germanicus, M. Aurelius, M. Antoninus are mentioned. To this hoard belonged 13 coins presented to the Society of Antiquaries of Scotland in 1781 (Trajan, Hadrian, the Empress Faustina, and Germanicus, are mentioned; the coin with Germanicus probably refers to an emperor Germanicus in its titles, e.g. Nero, Domitian or Trajan). No coins from this hoard have been located in NMAS, Edinburgh, or in Hunterian Museum, Glasgow. There is, however, in the University archives a letter from Mr. W. Fullerton, Carstairs House, dated 20 Oct. 1781, to Dr. A. Stevenson stating: ""I send you a small box containing a dozen or more bronze medals intended for the College. About a hundred or more of them were found together by some workmen in repairing a road to a miln near this place [i.e. Carstairs House]. {...} They are cheifly [sic] Trajans Hadrian Antoninus Pius two or three Faustinas and one Marcus Aurelius Caesar and several others which from the inscription being much worn out their age cannot be so easily ascertained tho' on comparing them with Vallaint's [Vaillant's] Numismata they seem to be of Domitian. The place where they were found is about a quarter of a mile from an old Roman encampment or station [i.e. the Roman fort at Castledykes] of which part of the vallum remains still partly intire.""",NA,II century
"England, United Kingdom",1976,1264,LONDONTHORPE,420,153,161,52.922199,-0.60328385,"A hoard of 420 denarii, ranging from Mark Antony to Antoninus Pius, found near Alma Wood, Londonthorpe, together with fragments of the base of a small grey flagon which judging from its size and the marks of corrosion on the inside had originally contained the whole hoard. –A.J. White, in Lincs. Hist. and Arch., 12 (1977), 81; 13 (1978), 85",British Museum (part); Lincoln City and County Museum (part); Belton Trust (part); rest returned to finder,II century
Croatia,1946,16174,KOČINJE BRDO,229,158,161,43.586223,16.561332,"A hoard of around 270 copper coinage, only 229 were recovered and identified: Vespasian - Antoninus Pius (AD 158-161).","Archaeological Museum, Split, Croatia; partly dispersed",II century
Spain,1898,17600,IDIAZÁBAL,6,180,192,43.007653709291,-2.2352347084565,"Six coins found while extracting stone: Antoninus Pius 2, Faustina I 1, Commodus, 1 uncertain. No further information.",NA,II century
France,1988,7063,PÉCY,1133,188,189,48.656,3.078,"The hoard comprised a total of 1,133 coins, including 1,031 sestertii, 68 dupondii, 26 asses, 3 dupondii or asses and 5 imitations: Gaius - Commodus (AD 188-189). They were found during the excavation of building C in a Gallo-Roman vicus.","Cabinet des médailles, Paris, France",II century
Serbia,1955,2782,NEMENIKUĆE,474,161,168,44.491243,20.574302,(c. 3000-3500) 474 denarii: Mark Antony - Marcus Aurelius (AD 168),"Narional Museum Belgrade, Serbia",II century
Romania,1951,16348,RACOVA-CHETRIȘ,300,195,195,46.467162,26.990903,"300 denarii, found with a ceramic vessel 237 coins were recovered: Otho – Septimius Severus (AD 195).","History Museum, Piatra Neamț, Romania (227 coins); National History Museum, Bucharest, Romania (10 coins; inv.no. 361)",II century
Bulgaria,1974,2685,PLEVEN 1974,3040,161,180,43.417,24.607,(3043) denarii: Nero - Marcus Aurelius (AD 161-180),"Regional History Museum, Pleven, Bulgaria; inv. nos. 1453 1-349; 1466 1-8; 1468 1-25; 1470 1-352",II century
France,1978,5484,SEYSSEL 1978-1980,188,177,186,45.95,5.85,"188 bronze coins fund in a ceramic vessel: 151 sestertii, 16 dupondii, 4 dupondii/asses, 17 asses: Domitian - Marcus Aurelius (AD 177).",NA,II century
Israel,1961,8463,CAVE OF HORROR,4,132,136,31.42981099715,35.347862539594,Four coins of Bar Kochba (AD 132-136).,NA,II century
"Scotland, United Kingdom",2016,18592,CREETOWN,14,117,138,54.9015,-4.3799,14 denarii: Domitian 3; Nerva 3; Trajan 6; uncertain (Domitian or Trajan) 1; Hadrian 1 (AD 117-138).,NA,II century
Romania,1933,16270,STRUNGA 1933,25,180,192,47.164718,26.957596,"Unknown originally number of denarii. 25 coins were seen: Nero – Commodus (AD 180-192). Possible, part of the hoards with Strunga I and III.","National History Museum, Bucharest, Romania (inv.no. 265/1933)",II century
Bulgaria,1957,2672,ALTIMIR,11,105,105,43.5252,23.809,11 denarii: Republic - Trajan (AD 105).,NA,II century
Poland,1920,16241,ZARZECZE,120,161,180,50.524565,22.205134,"Hoard of 120 denarii. Among issuers, Trajan and Marcus Aurelius. No further details.",NA,II century
Georgia,1946,16042,MTSKHETA – BAGINETI 1946 2,8,138,161,41.838785,44.709436,"Four gold coins found in a stone sarcophagus during excavations: Vespasian, Titus, Hadrian 2. Together were found four denarii: Augustus, Trajan, Hadrian, Faustina I. Together were found gold and silver jewellery, vessels, glass objects.","National Museum of Georgia, Tbilisi",II century
Netherlands,2017,17468,BERLICUM 2017,109,162,163,51.66915,5.397665,"109 coins: 105 bronze coins, 4 silver denarii: Republic - Marcus Aurelius (AD 162-163). Also part of the deposit were the head of a hair pin and a ring. Considered as a votive offering.",NA,II century
Sweden,1898,15593,EJMUNDS,14,189,189,57.445989,18.267775,"Originally, 78 denarii, 14 preserved: Antoninus Pius - Commodus (AD 189); silver weight: 36.63 g. (14 coins).","Swedish History Museum, Stockholm (inv.no. 10704)",II century
Germany,1897,16592,KARLSRUHE-DURLACH,16,169,189,49.002115,8.463753,"The 16 coins listed here (14 sestertii and two dupondii, ranging from Trajan to Marcus Aurelius) were found in the area of the Dampfziegelei in 1897 and 1898. All coins have the same patina and corrosion, so it could be a hoard. Further particulars about the circumstances of the find are undetermined.",NA,II century
Latvia,1888,15431,CESVAINE,2,138,161,56.967965,26.308625,Possibble hoard of unknown number of silver and bronze coins found within a cemetery. The only preserved coins are two denarii of Hadrian and Antoninus Pius.,"Coin Room, National History Museum of Latvia, Riga (inv.nos. LNVM NUM - CVVM 120210: 1-2",II century
Romania,1973,16266,DERSCA,51,119,122,47.990615,26.212278,"51 denarii: 16 republican, 35 imperial: Republic - Hadrian (AD 119-122). Together was found a Dacian silver bracelet.","Town Museum of Botoșani, Romania (inv.no. 1231)",II century
Netherlands,1839,9850,BALLOO,350,180,180,53.0095,6.6636,Around 350 denarii found in Duurzerdiep near Balloo. Only 85 denarii are known: Nero - Commodus (AD 180).,"Drents Museum, Assen (84 coins), RMO, Leiden (4 coins), KPK, Leiden (1 coin); most disappeared PMD 84 coins; RMO 1 coin; [KPK 4 coins]; PMD: 80 coins: 58 in collection van der Feltz, 3 bought in 1871, 4 bought in 1873, 3 bought in 1881, 12 in the Frisian",II century
"England, United Kingdom",1963,14899,DONCASTER BOWERS FOLD,41,117,138,53.520589,-1.1417622,"About 40 AR denarii found during construction of Bowers Fold redevelopment in 1963. The hoard was unreported and dispersed, two coins of Hadrian bought by Doncaster Museum.",NA,II century
Ukraine,1953,18197,NOVOGRAD-VOLYNSKI,96,193,193,50.589725657311,27.62864356025,Hoard of unknown original number of coins found with a ceramic jug. 96 denarii: Trajan - Clodius Albinus (AD 193).,"Museum of History, Kyiv, Russia (50 coins; inv.nos. AR/9256-9304); Local History Museum, Chernovitsy, Ukraine (46 coins)",II century
Romania,1935,5267,SASCUT,1000,186,191,46.207,27.101,"Over 1,000 denarii: Nero - Commodus (AD 186-191).","Museum of Bucharest, Romania",II century
Czech Republic,1932,15964,MUŠOV,7,197,197,48.788311,16.680009,Seven denarii found under a pile of Roman bricks: Trajan – Septimius Severus (AD 197).,NA,II century
"Scotland, United Kingdom",1842,1134,SHOTTS,300,177,192,55.8201295,-3.797864,"Several hundreds coins (principally of Nerva, Trajan, Hadrian, Antoninus Pius, and Faustina), found in 1842, while removing some sods from the surface of a piece of moss land. Three publications (see under references) list groups of coins belonging to this hoard. Some coins had marks indicating that the hoard had been buried in a bag of coarse cloth. One further denarius of Trajan in HCC, p. 34, no. 207, Glasgow.",Airdrie Museum (part); Glasgow (part).,II century
Germany,1953,16554,GROßWALLSTADT,3,158,159,49.878935,9.152934,"Three Roman bronze coins (Trajan - Marcus Aurelius Caesar) were found together in a field, inside an old foundation wall.",NA,II century
India,1904,18362,ONGOLE,2,125,127,15.506,80.049,Two aurei were found on the banks of the Paleru river.,"Madras Museum, Chennai",II century
Bulgaria,1947,10303,ALFATAR 1947,52,138,161,43.9459,27.2859,Unknown number of denarii. V. Haralanov studied 52 pieces: Hadrian - Antoninus Pius (AD 138-161).,NA,II century
Denmark,1782,13707,RÅMOSEN,428,160,181,55.5022,11.3516,"Råmosen, the numerically largest denarii hoard in Denmark, was found in 1782. The hoard consists of 428 denarii. There are two lists of coins for the hoard; one lists the end coin as a Marcus Aurelius, but there are contemporary letters mentioning coins with a portrait of Crispina.",NA,II century
Ukraine,1942,2975,LUKOSHCHINO,1000,193,196,49.489816919667,34.589097179753,"Hoard of around 1,000 silver coins: 999 denarii, 1 drachm: Nero - Septimius Severus (Julia Domna) (AD 193-211).","Poltava Local History Museum (954 specimens; inv.nos. 4919-4920, 5090)",II century
"Scotland, United Kingdom",2009,623,KIRKTON BARNS,16,161,163,56.425909172862,-2.8947765594082,16 denarii found by metal detecting: Vespasian - Marcus Aurelius (AD 161-163).,"East Fife Museums, St. Andrews, United Kingdom (5 coins)",II century
"England, United Kingdom",1888,2341,WANBOROUGH(?),22,138,192,51.536552,-1.7130393,"A concealed hoard of 22 aurei of 'Nero, Hadrian and the Antonines' found c. 1888. It is believed that the hoard was from Wanborough / Durocornovium, but this is not certain.",NA,II century
Bulgaria,1964,2673,GRADESHNITSA 1964,764,103,111,43.4833595,23.4803562,764 denarii: Republic - Trajan (AD 103-111). Together were found four silver earrings and 3 silver bracelets found in a ceramic vessel.,"Regional History Museum Vratsa, Bulgaria; inv.nos M II 3331-4094 (764 coins)",II century
Belgium,1630,8398,KORTRIJK 1630,2,161,180,50.8278,3.2649,"Some coins, unknown denomination, of Nerva, Trajan and Marcus Aurelius",NA,II century
"England, United Kingdom",2010,516,GUSSAGE ALL SAINTS I,59,159,161,50.907470000000004,-1.9871484,58 denarii to Antoninus Pius (plus a probably unrelated IA stater) (not connected with the siliqua hoard from same parish),NA,II century
Egypt,1968,7787,EL-MANSHAH A45,102,149,150,26.475,31.8,102 billon Alexandrian tetradrachms found during excavations in the foundation of a house: Claudius I (Messalina) - Antoninus Pius (AD 149-150).,"The Egyptian National Museum, Cairo (inv.nos. 4/4/1968)",II century
Spain,1982,13020,AMPURIAS - FORUM,4,117,138,42.1325,3.1174,Four asses found during the excavations. To be checked whether were found together.,NA,II century
Sweden,1873,15467,DJUPBRUNNS,212,194,195,57.480762,18.335052,"212 denarii found with a box: Nero - Septimius Severus (Cludius Albinus Caesar) (AD 194-195). Together were found 1 bronze box, 2 gold bracteates, 1 spiral rod and 1 gilt silver ring.","Swedish History Museum, Stockholm (inv.nos. 5204 coins; 4877 objects)",II century
Spain,1817,12887,CONSTANTINA,47,145,161,37.872594742108,-5.6191516440164,Hoard of 47 Roman aurei documented in the archives of the Real Academia de la Historia - Antonio Delgado Fund: Nero - Antoninus Pius for Faustina II (AD 145-161).,Lost,II century
Sweden,1858,15625,BOMUNDS I BURGEN,60,161,180,57.226578,18.574083,60 denarii: Galba/Vespasian - Marcus Aurelius (AD 161-180).,Lost,II century
Belgium,1850,6178,WORTEGEM,28,138,161,50.853,3.513,28 sestertii: Hadrian - Antoninus Pius (AD 138-161).,"Collection E.C. Lefèvre, Brugge, Belgium, in 1851 (28 coins)",II century
Austria,1955,6168,OSTRIACH,50,169,169,46.664,13.976,50 denarii found in the debris from a house foundation: Mark Antony - Marcus Aurelius (AD 169).,"Kärntner Landsmannschaft, Klagenfurt, Austria (46 coins); private collection (2 coins), lost (unknown number)",II century
France,1879,5700,NOTRE-DAME-DE-BLIQUETUIT,32,161,180,49.496075,0.755175,"Found close to the Brotonne forest on the property of Thouzé, which was once part of the park of the Château de la Mailleraye, demolished in 1857. The hoard was found under a tree.",NA,II century
Poland,2005,13441,JERZMANOWICE 2005,8,194,194,50.21139,19.746061,"Over 112 denarii found on the top soil scattered. Only 8 coins could be described: Vespasian, Trajan (Marciana), Hadrian (Sabina), Hadrian (Aelius), Marcus Aurelius (Lucilla), Commodus, Commodus (Crispina), Spetimius Severus (AD 194). Circa 25 m from Jerzmanowice 2006 hoard. Most likely one owner.",NA,II century
Spain,1960,12882,RABAL,86,119,120,41.847676366576,-7.4403051936419,Unknown originally number of coins. 86 bronze coins: Tiberius - Hadrian (AD 119-120).,"Museo Arqueológico Provincial de Orense, Spain; private collections of M. Taborda and X. Taborda",II century
Sweden,1884,15612,GOTLAND 1884 - UNKNOWN FINDSPOT,14,177,177,57.506233,18.450171,14 denarii: Domitian - Marcus Aurelius (Commodus Augustus) (AD 177); silver weight: 38.41 g.,"Swedish History Museum, Stockholm (inv.no. 1092)",II century
Libya,1934,5470,CYRENE AGORÀ 1934,1305,103,112,32.8188,21.8588,"The hoard originally comprised 1,305 Greek/Roman imperial/Roman provincial silver and bronze coins together with gold and silver ancient jewellery. Nowadays 1043 bronze coins and two couple gold earrings are kept in the Archaeological Museum of Shahat. According to the 1934 find report, the missing silver part featured 32 Greek silver coins (280-50 BC, including 16 coins from the Achaean League and four Rhodian drachms), 39 Roman imperial denarii and quinarii (Otho-Trajan, AD 69-116, mint of Rome) and 45 Roman provincial drachms and hemidrachms struck under Trajan (RPC III, 1-3, AD 100). These, as well as 89 sestertii, 77 dupondii, and 128 asses, were probably made in Rome for circulation in Cyrenaica.","Shahat, Archaeological Museum, Libya",II century
Poland,1926,13529,TUREK - SURROUNDINGS,600,180,192,52.017532,18.494011,Around 600 denarii of which only 17 provide information on issuers: Vespasian - Commodus (AD 180-192).,"Archaeological Museum, Łodz, Poland (3 coins)",II century
Sweden,1876,15626,SALLMUNDS,2,161,180,57.416847,18.513649,"Two denarii: Antoninus I (Faustina I), Marcus Aurelius.","Gotlands Museum, Visby, Sweden (inv.no. 1446)",II century
France,1929,7072,VARENNES-SUR-SEINE,20,161,161,48.376,2.929,NA,NA,II century
"England, United Kingdom",1837,1172,RIBCHESTER 1837,5,141,161,53.810102,-2.5329994,"5, or possibly up to 8 aurei, from Nero to Diva Faustina I (AD 161). 5 aurei are listed here, and the other 3 ones (Bland/Loriot 343-5) are listed separately as single gold finds.","Harris Museum, Preston (part); Blackburn museum (2 coins)",II century
"Israel, Palestinian Territories",1965,8464,IDNA 1965,100,132,135,31.557,34.979,"""About 100 tetradrachms and denarii together with a few dozen Roman coins (the latest being a fresh Hadrianic denarius...)"" (Mildenberg 1984, 55).",NA,II century
Spain,1910,12895,BEHOBIA,14,164,169,43.343,-1.762,"14 bronze coins: 10 dupondii, 4 asses: Tiberius - Marcus Aurelius (Lucilla) (AD 164-169).",NA,II century
Romania,2001,9616,SILISTRA-OSTROV 2,4,143,144,44.113,27.317,4 asses found during excavations: Trajan - Antoninus Pius (AD 143-144).,"Muzeul Dunării de Jos, Călărași, Romania; inv.nos. 45373-45376",II century
Germany,1978,8870,AUGSBURG 1978,52,164,164,48.371,10.898,"52 aurei ranging from Nero (AD 63/66) to Marcus Aurelius (AD 164), found at the Stephansgasse, in the foundations of a stone building. This hoard could be connected with the Marcomannic wars.",NA,II century
France,1891,5815,VALLETOT,200,138,161,49.364116,0.624134,"The hoard comprised approximately 200 'small Roman bronzes' of the Antonine period, most of which were well preserved. Unfortunately, an acid bath rendered them indecipherable.",NA,II century
Netherlands,2004,9994,RAALTE 2004 2,7,176,176,52.383,6.272,"7 denarii, ending with Marcus Aurelius AD 176. No further information.",NA,II century
Ukraine,1894,18294,KOVTUNY,104,180,192,49.761418986678,32.06343989676,Hoard of 104 denarii (317.79g): Trajan - Commodus (AD 180-192). There is no information on the no. of coins per issuer.,NA,II century
Romania,1956,2615,LUJERDIU,278,194,195,46.9831,23.7274,278 denarii found with an small amphora: Trajan - Septimius Severus (AD 194-195).,"National History Museum of Transylvania, Cluj-Napoca; Town Museum Gherla (20 coins), Romania",II century
Spain,1981,12878,LA BÓVEDA,12,125,127,38.321,-6.775,12 denarii found with a ceramic vessel: Vespasian - Hadrian (AD 125-127).,NA,II century
Germany,1857,16560,AUGSBURG 1857/8,11,117,138,48.370833,10.892948,In 1857/8 at least 11 denarii ranging from Vespasian to Hadrian were found during building work in the basement of a house.,NA,II century
Romania,1900,2609,BARBURA,80,165,165,46.005,22.9,80 denarii from Mark Anthony to Marcus Aurelius with a tpq of AD 165.,NA,II century
Denmark,1906,13126,TESTRUP TEGLVÆRK,9,191,191,56.067,10.134,Eight denarii found at Testrup Teglværk with fragments of a clay pot. One additional denarius was found nearby also with fragments from a clay pot. The finds may represent a series of sacrifices.,National Museum of Denmark,II century
Germany,1977,18670,DORMAGEN 1977,10,161,162,51.09683,6.83167,10 denarii (Vespasian - Marcus Aurelius) found corroded together with a bronze fibula and a clasp. They might have been contained in a purse.,NA,II century
Belgium,1802,8536,TERALFENE,2,138,161,50.892,4.099,"2 aurei: Nero, Antoninus Pius .",NA,II century
Poland,1910,16213,KOPKI,2,119,122,50.409357,22.305585,"Hoard of unknown number of denarii. Only two pieces are known: Trajan, Hadrian.",NA,II century
Poland,1874,13507,SIEDLIMOWO,142,161,180,52.488185,18.224161,Around 142 denarii: Vespasian - Marcus Aurelius (AD 161-180).,"Friends of Science Society, Poznań, Poland (143 coins)",II century
Poland,1957,16211,JĘDRZEJÓW - SURROUNDINGS,13,177,178,50.641988,20.305877,13 denarii from a discovery in the surroundings of the city: Vespasian - Marcus Aurelius (AD 177-178).,NA,II century
Israel,1984,8162,SHA'AR HA'AMAKIM,13,123,123,32.723,35.111,The hoard comprised 13 silver coins dated between AD 62/3 and AD 123.,Israel Antiquities Authority (114988-114997; 115347-48; 115354),II century
Belgium,1806,6117,AERDRYCKE,5,145,160,51.119186,3.089995,Some aurei. Only five are presented from Nero to Antoninus Pius (Marcus Aurelius Caesar).,NA,II century
Poland,1935,13403,BIŁGORAJ,200,186,187,50.540833,22.721944,Several hundred denarii found with an iron jar. Only six provided data on the issuers: Hadrian - Commodus.,"National Museum, Krakow, Poland (25 coins)",II century
Poland,1940,13452,KOŃCZYCE MAŁE,6,166,166,49.8506,18.6305,6 denarii found on the construction site: Vitellius - Marcus Aurelius (AD 166).,"Town Museum, Cieszyn, Poland",II century
Czech Republic,1892,15859,KLUK,49,161,180,49.903,15.3246,"Circa 50 denarii, kept in a belt? 49 documented: Galba – Marcus Aurelius (Faustina II/Diva Faustina II) (AD 161-180).","National Museum, Prague, (inv.nos. H5-27.066–27.073); Museum of Poděbrady (inv.nos. 15.566–15.574, 15.576–15.577, 15.579–15.591) (inv.nos. 15.575, 15.578 were stolen), Czech Republic. Some of the coins are missing today.",II century
France,1778,9717,SAINT-BARTHÉLEMY 1778,36,117,138,47.748,6.586,The hoard comprised Roman gold and silver coins: Galba - Hadrian (AD 117-138).,NA,II century
Spain,1800,12874,ALAQUÀS,33,103,111,39.452,-0.471,"Originally, 47 coins. 33 denarii were described: Vitellius - Trajan (AD 103-111).",Lost,II century
Italy,1903,13873,MONTE CUORE,272,119,122,45.683015,8.767807,272 coins found with a ceramic vessel: Claudius I - Hadrian (AD 119-122).,NA,II century
Albania,1941,9351,DURRËS 1941,3901,170,175,41.325,19.456,"This hoard was found in three ceramic pots and contained more than 4000 silver coins from which H. Ceka has published a total of about 3900 Roman Imperial coins in 1958. According to the publication of the hoard, which refers to the inquiry held by the Albanian Institutions at the time of the discovery, the hoard was constituted by silver coins and gold jewelry (rings, necklaces) but the latter was dispersed immediately after the discovery. Also, more than 100 coins were dispersed after the discovery. The coins are mostly Denarius dating from Nero to Marcus Aurelius (54-175 AD). Based on the numismatic data (there is no archaeological excavation that can help at the precision of the hoard's burying date), it should have been buried around or short after 170 AD.","The hoard is actually part of the collection of the Coin Cabinet, Institute of Archaeology, Albania",II century
Romania,1964,2590,DROBETA-TURNU SEVERIN 1964,7,132,134,44.63,22.674,"7 aurei: 6 Hadrian, 1 Sabina (AD 132-134)","Museum of Iron Gates Region Drobeta-Turnu Severin, Romania",II century
"England, United Kingdom",1878,2165,SOUTH SHIELDS 1878,132,191,192,54.996285,-1.4388217,"A hoard of 10 aurei and 120+ denarii, found in 1878 near the Roman fort. The closure date of this hoard is AD 192. However the penultimate coin is an issue of 185 and a seven year gap between the terminal issues is unusual. In the event the hoard is listed as closing with RIC 241, with the caveat that the last coin may be a site find rather than a hoard item (P.J. Casey).",NA,II century
Portugal,1936,17584,VALE DE SAN PEDRO,70,117,138,41.9061,-7.8977,70 denarii found with a ceramic vessel: Augustus - Hadrian.,NA,II century
"Scotland, United Kingdom",1803,1135,STRATHAVEN,400,172,192,55.62441,-4.16187,"A hoard of about 400 Roman silver coins, found at Torfoot, 7 miles south-west of Strathaven, in a glass bottle, while cleaning a drain. Coins of Trajan, Antoninus Pius, Faustina, wife of Antoninus, Crispina, wife of Commodus, and various other Emperors and Empresses, &c., all in good preservation, are mentioned. About fifty of the coins were so much verdigreated and adhering together, that they were broken with a hammer by a rude and unskillful hand, in order to separate them. J. Lindsay, View of the Coinage of Scotland (1845), 265, added Hadrian, Marcus, Caesar, Pompey and Crassus to the list of emperors etc. represented. The three last names may have been due to a misunderstanding of the legends on some coins. True Republican den. would be unusual in a hoard as late as the reign of Commodus.",NA,II century
Poland,1906,5251,ŁĘGOWO,215,166,166,52.789444,17.169444,215 denarii: Nero to Marcus Aurelius (AD 166).,"Museum, Poznań, Poland (in 1914).",II century
Poland,1885,16240,WOJCIESZKÓW,2,161,180,51.771032,22.31074,"Unknown number of denarii. Only two of them are known: Hadrian, Marcus Aurelius for Lucilla (AD 161-180).",NA,II century
Austria,1989,5433,WIEN - RENNWEG 1989,1268,136,138,48.193,16.392,"1,268 coins: 7 aurei, 1,261 denarii: Republic - Hadrian (AD 136-138). Total weight: 4,023.93g.","Historischen Museum der Stadt Wien (Karlsplatz), Austria",II century
"England, United Kingdom",1980,14892,CADEBY 1980,11,180,192,53.485253,-1.2328974,Eight sestertii found in Pot Ridings Wood.,NA,II century
"England, United Kingdom",1977,2353,WALTHAM ST. LAWRENCE,198,141,161,51.48616,-0.83482841,"The hoard of 175 gold and silver Iron Age coins, and 23 Roman denarii, ranging from from c. 50 BC to the latter half of the second century AD, uncovered on a field at Waltham St. Lawrence.",British Museum (part),II century
Germany,1853,17179,KLEINWÖRDEN,3,176,180,53.66137,9.25811,In 1853 not far from the Oste river during earthworks three bronze coins (Marcus Aurelius) were found at a depth of 10 feet. Pit holes and other remains indicate a settlement.,NA,II century
