lat,long,year_of_discovery,country,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,summary,disposition
46.1456329,2.405714,1783,France,3881,SANNAT 1783,300,253,268,"The hoard was discovered during antiquarian exploration of a Gallo-Roman site. It appeared to have been originally stored in a cabinet measuring 6 feet square and comprised more than 300 base-silver coins. According to the finder, villagers who knew the findspot continued to find coins in abundance there. 300 silver coins: Severus Alexander - Valerian I and Gallienus/Gallienus (sole) (AD 253-268); silver weight: 76.1-710.8+g.",NA
50.514,4.01,1784,Belgium,3189,CASTEAU 1784 1,600,253,260,(6-700) 23 coins silver coins: Marcus Aurelius - Valerian I (AD 253-260).,"Collection marquis of Chasteler, in 1784"
50.776,1.833,1785,France,5599,BOURSIN,600,-27,500,"The hoard comprised between 500 and 600 Roman coins. The coins were bought by M. de Bois-Robert, a collector from Montreuil at the end of the 18th century or the beginning of the 19th.",M. de Bois-Robert
50.819,3.258,1786,Belgium,6161,KORTRIJK 1786,32,161,180,(32) 2 denarii: Marcus Aurelius (AD 161-180),NA
51.849,5.86,1787,Netherlands,9964,NIJMEGEN 1787?,15,270,270,15 probably antoniniani (radiates). According to NUMIS they are dated around AD 270. No further information.,KPK
54.136057529706,19.493158775512,1788,Poland,18733,CZECHOWO,2,430,440,"Two solidi, one of Theodosius II minted in Rome (AD 430-440).",NA
49.294,2.444,1789,France,7221,LAIGNEVILLE,11,260,269,The hoard was enclosed or set within a square-cut stone and comprised 11 antoniniani (radiates) from Valerian I and Gallienus to Postumus (including E.384 and E.385).,Musée de Beauvais
51.368728,-0.10514146,1790,UK,747,CROYDON 1790,2,367,375,"2 solidi (Valentinian I), found in the neighbourhood of Croydon.",NA
50.468045388375,7.4725760085976,1791,Germany,20560,NIEDERBIEBER 1791-1815,256,259,259,"This find can only be traced on paper, as it is only available as a manuscript by Christian Friedrich Hoffmann. It is stated that Hoffmann led excavations in the fort in the years 1791, 1800, 1804 and 1813-1815. His extensive manuscript was found in the Princely Wied archive in Neuwied in 1811. In 1991 the content was revised in Frankfurt am Main. Hoffmann describes 256 coins that are said to have been found “in a yellow metal chalice”. Thanks to Hoffmann's detailed description, almost all coins could be assigned. These are 213 denarii and 43 antoniniani (radiate). Most date from the reigns of Septimius Severus, Elagabalus, and Severus Alexander. The final coin, minted in AD 259.",NA
51.480666,4.957669,1792,Netherlands,9840,ALPHEN,6,275,270,6 uncertain imperial coins (Vespasian-Aurelian).,Private collection
52.059298,0.47828932,1793,UK,612,STURMER,30,393,402,"A small urn found by a workman stubbing gravel. It contained 30 coins of the Lower Empire, one gold and twenty-nine silver, in very fine preservation.",NA
51.674349,-0.77215784,1795,UK,62,HUGHENDEN 1795,24,138,180,Hughenden - Upon Piggott Common: 24 Roman coins (copper) discovered 1795 in throwing up a bankan earthen vessel about 18 inches below the surface.,NA
51.601173,-0.65862043,1797,UK,48,BEACONSFIELD,65,161,180,"65 Roman silver coins found a small urn or earthern vessel, while removing the root of a tree near the house of Mr. Burke, at Beaconsfield. The coins ranged from Vespasian to Faustina.",NA
48.01,0.1924,1798,France,3310,LE MANS 1798,174,253,268,"The hoard comprised a ceramic vessel containing 460 silver coins. Auvray mentions Gordian III, Philip, Trajan Decius, Volusian, Trebonianus Gallus and Valerian. In 1834, Pesche compiled a more complete catalogue. His source (although he does not acknowledge it) appears to be a manuscript held by the Sociétè d'Agriculture which describes Roman coins found in the city of Le Mans and its environs. Pesche adds to his catalogue coins of Marcus Aurelius, Faustina II, Lucius Verus, Lucilla and Pupienus. It is not clear whether these coins are part of the hoard. Silver: c.460 (1, 173) coins; silver weight: c. 576.7-1295.1g.",Prior Saint-Victeur
48.193,16.392,1799,Austria,8185,WIEN - RENNWEG 1799,279,161,180,"A hoard of 298 aurei dating from Nero to Lucius Verus was discovered in Vienna in 1799 during the construction of the Wiener Neustadt Canal. Of the 298 aurei, 24 were stolen and 274 initially were recovered. There is information for 279 coins: Nero - Marcus Aurelius (AD 161-180). The average weight of the coins was 6.3g.","Münzkabinett, Kunsthistorischen Museum, Vienna, Austria (191 coins)"
