author,published,title,original_text,modified_date,changes,month
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 22_nd_.","Sunday, August 22nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 23_rd_.","Monday, August 23rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 24_th._","Tuesday, August 24th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 25_th._","Wednesday, August 25th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 26_th._","Thursday, August 26th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 27_th._","Friday, August 27th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 28_th._","Saturday, August 28th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 29_th._","Sunday, August 29th., 1909",modified,
"Baring, Maurice",1921,Passing By,_August_ 30_th._,"August 30th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 30_th_.","Monday, August 30th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 31_st_.","Tuesday, August 31st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, September_ 1_st_.","Wednesday, September 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, September_ 2_nd_.","Thursday, September 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, September_ 3_rd_.","Friday, September 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, September_ 4_th._","Saturday, September 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, September_ 5_th._","Sunday, September 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, September_ 5_th._","Sunday, September 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, September_ 6_th._","Monday, September 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, September_ 7_th._","Tuesday, September 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, September_ 8_th_.","Wednesday, September 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, September_ 9_th._","Thursday, September 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, September_ 10_th._","Friday, September 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, September_ 11_th._","Saturday, September 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, September_ 12_th._","Sunday, September 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, September_ 13_th._","Monday, September 13th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, September_ 14_th._","Tuesday, September 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, September_ 15_th._","Wednesday, September 15th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, September_ 16_th._","Thursday, September 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, September_ 17_th._","Friday, September 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, September_ 18_th._","Saturday, September 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 3_rd. Gray's Inn_.","Sunday, October 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 4_th._","Monday, October 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 5_th._","Tuesday, October 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, October_ 6_th_.","Wednesday, October 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, October_ 7_th._","Thursday, October 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, October_ 8_th._","Friday, October 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 9_th. Wraxted Priory, Oxfordshire_.","Saturday, October 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 10_th._","Sunday, October 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 11_th._","Monday, October 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 11_th._","Monday, October 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 12_th._","Tuesday, October 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, October_ 13_th._","Wednesday, October 13th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, October_ 14_th._","Thursday, October 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, October_ 15_th._","Friday, October 15th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 16_th._","Saturday, October 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 17_th._","Sunday, October 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 17_th._","Sunday, October 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 18_th._","Monday, October 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 19_th._","Tuesday, October 19th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, October_ 20_th_.","Wednesday, October 20th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, October_ 21_st._","Thursday, October 21st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, October_ 22_nd_.","Friday, October 22nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 23_rd_.","Saturday, October 23rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 24_th._","Sunday, October 24th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 25_th._","Monday, October 25th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 26_th._","Tuesday, October 26th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, October_ 27_th._","Wednesday, October 27th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, October_ 28_th._","Thursday, October 28th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, October_ 29_th_.","Friday, October 29th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 30_th._","Saturday, October 30th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 31_st_.","Sunday, October 31st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, November_ 1_st_.","Monday, November 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, November_ 1_st. Gray's Inn_.","Monday, November 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, November_ 2_nd_.","Tuesday, November 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, December_ 21_st_.","Tuesday, December 21st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, December_ 23_rd_.","Thursday, December 23rd., 1909",modified,
"Baring, Maurice",1921,Passing By,_Christmas Day_.,"December 25th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, December_ 28_th_.","Tuesday, December 28th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, January_ 8_th_, 1910.","Saturday, January 8th, 1910.",as in text,
"Baring, Maurice",1921,Passing By,"_Saturday, January_ 1_st_, 1910.","Saturday, January 1st, 1910.",as in text,
"Baring, Maurice",1921,Passing By,"_Wednesday, January_ 11_th._","Wednesday, January 11th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, February_ 15_th_, 1910.","Tuesday, February 15th, 1910.",as in text,
"Baring, Maurice",1921,Passing By,"_Wednesday, February_ 16_th_.","Wednesday, February 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, February_ 21_st_.","Monday, February 21st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, February_ 26_th._","Saturday, February 26th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, February_ 27_th. Rosedale_.","Sunday, February 27th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 1_st_.","Tuesday, March 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, February_ 28_th._","Monday, February 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 1_st_.","Tuesday, March 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 2_nd_.","Wednesday, March 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 3_rd_.","Thursday, March 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 4_th._","Friday, March 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 5_th._","Saturday, March 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 6_th._","Sunday, March 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 7_th._","Monday, March 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 8_th._","Tuesday, March 8th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 9_th._","Wednesday, March 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 10_th._","Thursday, March 10th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 11_th._","Friday, March 11th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 12_th._","Saturday, March 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 13_th._","Sunday, March 13th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 14_th._","Monday, March 14th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 14_th_","Monday, March 14th, 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 15_th._","Tuesday, March 15th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 16_th._","Wednesday, March 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 17_th._","Thursday, March 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 18_th._","Friday, March 18th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 19_th. Paris._","Saturday, March 19th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 20_th._","Sunday, March 20th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 21_st. Florence. Villa Fersen._","Monday, March 21st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 22_nd_.","Tuesday, March 22nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 23_rd_.","Wednesday, March 23rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 24_th._","Thursday, March 24th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday (Good Friday), March_ 25_th._","Friday (Good Friday), March 25th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 26_th._","Saturday, March 26th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Easter Monday, March_ 28_th._","Easter Monday, March 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday (Easter Monday), March_ 28_th._","Monday (Easter Monday), March 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 29_th._","Tuesday, March 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 30_th._","Wednesday, March 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 31_st_.","Thursday, March 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, April_ 1_st_.","Friday, April 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, April_ 2_nd_.","Saturday, April 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, April_ 6_th_.","Wednesday, April 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, April_ 4_th. London_.","Monday, April 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, April_ 5_th._","Tuesday, April 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 7_th._","Thursday, April 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 14_th._","Thursday, April 14th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, April_ 20_th._","Wednesday, April 20th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 28_th._","Thursday, April 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, April_ 29_th._","Friday, April 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, April_ 30_th._","Saturday, April 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 1_st_.","Sunday, May 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 2_nd_.","Monday, May 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 2_nd_.","Monday, May 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 3_rd_.","Tuesday, May 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 4_th._","Wednesday, May 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 5_th._","Thursday, May 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 6_th._","Friday, May 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 7_th._","Saturday, May 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 8_th_.","Sunday, May 8th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 9_th._","Monday, May 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 9_th_.","Monday, May 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 10_th._","Tuesday, May 10th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday,_ May 11_th._","Wednesday, May 11th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 12_th._","Thursday, May 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 13_th._","Friday, May 13th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 14_th. Rosedale_.","Saturday, May 14th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 15_th. Rosedale._","Sunday, May 15th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 16_th._","Monday, May 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 16_th._","Monday, May 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 17_th._","Tuesday, May 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 18_th._","Wednesday, May 18th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 19_th._","Thursday, May 19th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 20_th._","Friday, May 20th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 21st.","Saturday, May 21st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 22_nd_.","Sunday, May 22nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 23_rd_.","Monday, May 23rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 24_th._","Tuesday, May 24th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 25_th._","Wednesday, May 25th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 26_th._","Thursday, May 26th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 27_th._","Friday, May 27th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 28_th._","Saturday, May 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 29_th._","Sunday, May 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 30_th_.","Monday, May 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 30_th._","Monday, May 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 31_st_.","Tuesday, May 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 1_st_.","Wednesday, June 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 2_nd_.","Thursday, June 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, July_ 3_rd_.","Friday, July 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 4_th._","Saturday, June 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, June_ 5_th_.","Sunday, June 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 6_th._","Monday, June 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 6_th._","Monday, June 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 7_th._","Tuesday, June 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 8_th._","Wednesday, June 8th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 9_th._","Thursday, June 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 10_th_.","Friday, June 10th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 11_th._","Saturday, June 11th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, June_ 12_th._","Sunday, June 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 13_th._","Monday, June 13th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 12_th._","Tuesday, June 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 15_th_.","Wednesday, June 15th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 16_th._","Thursday, June 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 17_th_.","Friday, June 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 18_th._","Saturday, June 18th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, June_ 19_th_.","Sunday, June 19th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 20_th._","Monday, June 20th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 21_st_.","Tuesday, June 21st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 22_nd_.","Wednesday, June 22nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 23_rd_.","Thursday, June 23rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 24_th_.","Friday, June 24th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 25_th._","Saturday, June 25th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, June_ 26_th_.","Sunday, June 26th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 27_th_.","Monday, June 27th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 28_th._","Tuesday, June 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 29_th._","Wednesday, June 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 30_th._","Thursday, June 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, July_ 1_st_.","Friday, July 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, July_ 30_th. Grey Farm, Carbis Bay._","Saturday, July 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, July_ 31_st_.","Sunday, July 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 1_st_.","Monday, August 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 2_nd_.","Tuesday, August 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 3_rd_.","Wednesday, August 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 4_th._","Thursday, August 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 5_th._","Friday, August 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 6_th._","Saturday, August 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 7_th._","Sunday, August 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 8_th._","Monday, August 8th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 9_th._","Tuesday, August 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 10_th_.","Wednesday, August 10th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 10_th_.","Wednesday, August 10th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 11_th._","Thursday, August 11th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 12_th._","Friday, August 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 13_th._","Saturday, August 13th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 14_th._","Sunday, August 14th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 15_th_.","Monday, August 15th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 16_th_.","Tuesday, August 16th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 17_th._","Wednesday, August 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 18_th._","Thursday, August 18th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 19_th._","Friday, August 19th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 20_th._","Saturday, August 20th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 21_st_.","Sunday, August 21st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 22_nd_.","Monday, August 22nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 23_rd_.","Tuesday, August 23rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 24_th._","Wednesday, August 24th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 25_th._","Thursday, August 25th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 25_th._","Thursday, August 25th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 26_th._","Friday, August 26th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 27_th._","Saturday, August 27th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 28_th._","Sunday, August 28th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 29_th._","Monday, August 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 30_th._","Tuesday, August 30th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 31_st_.","Wednesday, August 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, September_ 1_st_.","Thursday, September 1st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, September_ 2_nd_.","Friday, September 2nd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, September_ 3_rd_.","Saturday, September 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, September_ 4_th_.","Sunday, September 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, September_ 5_th._","Monday, September 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, September_ 6_th._","Tuesday, September 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, September_ 7_th._","Wednesday, September 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 3_rd. London, Gray's Inn_.","Monday, October 3rd., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 4_th._","Tuesday, October 4th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, October_ 5_th_.","Wednesday, October 5th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, October_ 6_th_.","Thursday, October 6th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Friday, October_ 7_th._","Friday, October 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 8_th._","Saturday, October 8th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 9_th._","Sunday, October 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 9_th._","Sunday, October 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 17_th._","Monday, October 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, November_ 7_th._","Monday, November 7th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, November_ 9_th._","Wednesday, November 9th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, November_ 19_th._","Saturday, November 19th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, December_ 12_th._","Monday, December 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 17_th._","Monday, October 17th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 31_st_.","Monday, October 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,_November_ 14_th._,"November 14th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, November_ 29_th_.","Tuesday, November 29th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, December_ 12_th._","Monday, December 12th., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, December_ 31_st_.","Saturday, December 31st., 1910",modified,
"Baring, Maurice",1921,Passing By,"_Monday, January_ 2_nd_, 1911.","Monday, January 2nd, 1911.",as in text,
"Baring, Maurice",1921,Passing By,"_Tuesday, January_ 3_rd_.","Tuesday, January 3rd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, April_ 12_th._","Tuesday, April 12th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, April_ 13_th_.","Wednesday, April 13th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, April_ 16_th._","Saturday, April 16th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 1_st_.","Monday, May 1st., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 4_th._","Thursday, May 4th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 5_th._","Friday, May 5th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 8_th._","Monday, May 8th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 10_th_.","Wednesday, May 10th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 13_th._","Saturday, May 13th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 15_th._","Monday, May 15th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 20_th._","Saturday, May 20th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 10_th._","Saturday, June 10th., 1911",modified,
