country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Romania,2011,18541,OCHENI,53,163,164,46.284380619197,27.231187704232,53 denarii: Republic - Marcus Aurelius (AD 161-180). Circumstances of discovery are unknown.,"Museum complex ”Iulian Antonescu”, Bacău, Romania (inv.no. 36.172-36.224)",II century
Serbia,1955,2782,NEMENIKUĆE,474,161,168,44.491243,20.574302,(c. 3000-3500) 474 denarii: Mark Antony - Marcus Aurelius (AD 168),"Narional Museum Belgrade, Serbia",II century
Sweden,1928,15526,GANDARVE 1928-1931,37,192,192,57.1954,18.3953,"37 denarii part of a hoard found on the same field like GANDARVE 1927 and 1928, now, in a private collection: Vespasian (Domitian Caesar) - Commodus (AD 192); silver weight: 101.03 g.","Private collection Axel O. Larsson, Stockholm",II century
Germany,1900,16538,SAMENHEIM,100,145,147,49.05285,10.746608,"A Roman coin hoard of 80-100 denarii was unearthed in Samenheim. The precise find location and circumstances are not further ascertainable. The bulk of the find is lost. Only 20 denarii, ranging from Nero to Hadrian, now part of a private collection, are preserved. It is possible that these 20 coins may represent the full chronological coverage of the original find.",NA,II century
Austria,1993,13264,LAURIACUM 1993,8,159,160,48.221,14.474,"8 coins: 7 denarii, 1 sestertius found in a destruction layer caused by fire: Vitellius - Antoninus Pius (AD 159-160).",NA,II century
Tunisia,1893,5377,SOUSSE 1893,1006,161,180,35.825,10.638,"Hoard of 1000 denarii of the Antonines and 6 aurei of Faustina I, Marcus Aurelius and Faustina II.",NA,II century
France,1908,7204,CLERMONT,400,192,192,49.376,2.414,"The hoard comprised a broken ceramic vessel containing 400 sestertii, dupondii and asses from Vespasian to Commodus. Most were very worn.",NA,II century
Ukraine,2016,20674,KYIV REGION 2016,291,180,192,50.1812553789,30.2157138996,"A hoard of 291 Roman imperial denarii: Hadrian – Commodus (AD 180-192) and their imitations was found by two treasure hunters in early June 2016 in the Kyiv region. Information about the find and photos of the coins were published by one of the finders on the Ukrainian treasure hunting forum Violity on June 21, 2016. The finder reported that the coins were collected from an area of 3 square meters. The first coins were found at a depth of 10-20 cm, although the pit for their search was dug about 1 m deep. Some coins have traces of bronze oxides. In general, the preservation of coins is good (weak wear). In August 2016, the entire hoard was sold at a Violity auction. The further fate of the coins is unknown.",Sold,II century
Belgium,1921,8222,CORTIL-NOIRMONT 1921,9,117,138,50.581,4.643,"9 coins: 1 aureus, 3 denarii, 1 sestertius, 4 asses: Galba - Hadrian (AD 117-138)","Archaeological Museum, Namur, Belgium",II century
Netherlands,2017,12636,HAPS 2017,32,197,198,51.69,5.861,"32 coins: 1 republican denarius, 31 bronze coins: Augustus - Septimius Severus (AD 197-198).",NA,II century
Croatia,1946,16174,KOČINJE BRDO,229,158,161,43.586223,16.561332,"A hoard of around 270 copper coinage, only 229 were recovered and identified: Vespasian - Antoninus Pius (AD 158-161).","Archaeological Museum, Split, Croatia; partly dispersed",II century
Poland,1818,13532,WALINNA,5,138,180,51.829167,22.988611,"Unknown number of denarii. There is information on four coins: Hadrian, Antoninus Pius, Marcus Aurelius (Caesar), Faustina I/II (AD 138-180).",Lost,II century
Belgium,1990,9241,ASSE 1990-2000,76,177,178,50.909,4.201,76 gold coins found in the nineties: Nero - Marcus Aurelius (AD,NA,II century
France,1983,7066,RAMPILLON 1983 2,65,180,192,48.55,3.067,The hoard comprised 65 sestertii from Domitian to Commodus (AD 180-192). All the coins were very worn. Fragments of a ceramic vessel were found in association with the coins suggesting it was originally placed inside a pot.,NA,II century
"Scotland, United Kingdom",1993,1765,INCHYRA,8,177,178,56.367926,-3.324166,"8 denarii, ranging from Vitellius to Marcus Aurelius, found on the north bank of the Tay at Inchyra, east of Perth.",Perth Museum & Art Gallery,II century
"England, United Kingdom",1885,1545,BRIXWORTH,25,180,183,52.322984,-0.90101141,"A hoard of denarii found at Brixworth, in 1892. It is complete except for one denarius of Antoninus Pius of uncertain reverse. Coins range from Vespasian to Crispina.",NA,II century
France,1847,7260,VILLESELVE,8,192,192,49.691,3.111,"The hoard comprised a double deposit within a single room of a building. In one corner of the room, there were four coins, including one of Marcus Aurelius, 1 of Lucilla and 2 of Commodus. In the opposite corner, there was an identical deposit.",NA,II century
Belgium,1844,8303,WULVERGEM,270,180,192,50.76,2.852,"270 coins. Only 10 sestertii are known: Trajan, - Commodus (AD 180-192).","Collection vicar Verstraete, Kortrijk, Belgium (c. 155 coins), in 1846; collection .C. Lefèvre,Brugge, Belgium (10 coins), in 1846",II century
Ukraine,1935,18258,STOYANOVSKA,18,180,192,50.065053547244,25.354970819182,A hoard of unknown originally number of coins. 18 denarii were documented: Trajan - Commodus (AD 180-192).,"Archaeological Museum, Lodz, Poland",II century
Switzerland,1965,6440,AIROLO TI - MADRANO 1965 / TOMB 1,8,161,161,46.526,8.628,"The hoard comprised 1 denarius (Diva Faustina I) and 8-9 aes coins ranging fro Hadrian to Faustina II. They were recovered during the excavation of a inhumation burial (tomb 1/1965) in the necropolis and were interpreted as the contents of a purse. Only 5 coins are preserved today, but descriptions of the other ones exist.","Ufficio dei beni culturali, Bellinzona (5 coins); lost (4-5 coins)",II century
Austria,1915,6152,ERLAUF,64,161,180,48.184375922476,15.184988407286,64 denarii from Vespasian to Marcus Aurelius (AD 161-180).,NA,II century
Egypt,1891,7788,LOWER EGYPT A46,650,149,150,29.3056,30.7617,"Some 650 provincial bronze coins of Alexandria: Trajan, Hadrian, Antoninus Pius (AD 149-150). 'Intact hoard belonging to ""qualche officina monetaria"".",NA,II century
Egypt,1933,7793,KOM AUSHIM A51,55,154,155,29.52008,30.90229,55 billon drachms of Alexandria: Hadrian - Antoninus Pius (AD 154-155) found at floor level in a room during excavations of a house.,NA,II century
Romania,1971,2605,DIVICIORII MARI,27,161,175,46.988,24.072,Unknown originally number of denarii. 27 coins are known at the moment: Republic - M. Aurelius (AD 161-175).,NA,II century
France,1806,5935,GUÉRANDE 1806,77,117,138,47.33,-2.43,Unknown number of coins. 46 coins of Nerva and 31 of Hadrian were in possession of the antiquarian Fornier.,NA,II century
Bulgaria,1928,10081,MAKRESH,90,161,180,43.7644,22.6439,"(90) 27 denarii: 7 republican, 20 imperial: Republic - Marcus Aurelius (AD 161-180). Found in a ceramic vessel.",NA,II century
Ukraine,2015,20684,KOBLEVE,86,180,192,46.6387092301,31.2115764259,"A hoard of 86 Roman imperial denarii (from Vespasian to Commodus) was discovered by a treasure hunter in 2015 or 2016. Information about the find and photos of the coins were published on 10 February 2016 on the treasure hunter forum Violity, but without specifying the exact location of the find. However, on May 25, 2017 on the YouTube channel “Poisk klada Alexander & Co” there was information about the location of the find, as well as photos of the coins previously published on Violity. There is no information about the conditions of the hoard discovery. The coins are of average preservation. In February 2016, the hoard was sold in one lot at Violity auction, the further fate of the coins is unknown.",Sold,II century
Poland,2015,13436,INOWROCŁAW - SURROUNDINGS 2015 A,18,193,194,52.795833,18.261111,18 denarii of which two imitations (one hybrid) found as a lump: Trajan - Septimius Severus (AD 193-194). The imitation denarii were struck with the same dies as other two denarii found in Ukraine (Dymowski 2017),Private collection,II century
Portugal,1990,12892,SÃO MAMEDE,5,145,160,39.325185334933,-9.1786920878927,Unknown originally number of coins. Only five denarii are known: Tiberius - Antoninus Pius (Marcus Aurelius Caesar) (AD 145-160).,NA,II century
Germany,1857,16560,AUGSBURG 1857/8,11,117,138,48.370833,10.892948,In 1857/8 at least 11 denarii ranging from Vespasian to Hadrian were found during building work in the basement of a house.,NA,II century
"England, United Kingdom",1837,1592,THORNGRAFTON,63,119,128,54.988101,-2.3453403,"Arm purse containing 63 coins (3 aurei and 60 denarii), ranging from the late Republic to Hadrian, found while quarrying stones. Each of the gold coins was wrapped up in a separate piece of greenish leather or vellum, which was still quite tough and strong.","Clayton Memorial Museum, Chesters (purse). The coins are said to have been given to the Blackgate Museum, Newcastle, but have not been located there",II century
Poland,2005,13683,ŁANIEWO,2,185,185,54.098294,20.446941,"Two denarii found on a field: Antoninus Pius, Commodus (AD 185).",Private collection,II century
Ukraine,2021,20703,ZHYTOMYR REGION?,50,180,192,50.217031567,28.5974447394,"A hoard of at least 50 Roman Imperial denarii and a silver and gold buckle were discovered by a treasure hunter no later than 2021, probably in Zhytomyr region. Information about the hoard and general photo of the coins with the buckle were published in one of the groups on Facebook, dedicated to treasure hunting on November 1, 2021. One of the group members (Vasyl Ugrynchuk of Volodarsk in Zhitomyr region) reported that the hoard was discovered by his acquaintances (possibly also from Zhytomyr region). On the photo denarii of Trajan, Hadrian, Antoninus Pius, Marcus Aurelius, Commodus can be recognized. The buckle is quite massive (ca. 5-7 cm), on the clip there is a gold plate with ornamentation. The further fate of the hoard is unknown.",NA,II century
"England, United Kingdom",1977,2353,WALTHAM ST. LAWRENCE,198,141,161,51.48616,-0.83482841,"The hoard of 175 gold and silver Iron Age coins, and 23 Roman denarii, ranging from from c. 50 BC to the latter half of the second century AD, uncovered on a field at Waltham St. Lawrence.",British Museum (part),II century
Austria,1964,13144,DORNHOF,79,134,138,46.774,14.331,"79 coins: 6 denarii, 45 sestertii, 16 dupondii, 12 asses found with shreds from the ceramic vessel: Galba - Hadrian (AD 117-138).","Kärnten Landesmuseum, Klagenfurt, Austria",II century
Poland,1875,16201,MACIEJOWICE,32,193,193,52.046747,22.575385,Unknown original number of denarii. 32 denarii have been studied: Vespasian - Septimius Severus (AD 193).,NA,II century
Romania,1948,16315,COSTEȘTI,171,180,192,47.235022,26.932095,"Hoard of 171 denarii, only 139 were recorded: Nero – Commodus (AD 180-192).","Museum Complex Iași, Romania (121 coins); National History Museum, Bucharest, Romania (50 coins)",II century
Romania,1970,16294,DAVIDENI,26,169,170,47.12489,26.598978,Unknown originally number of coins. 26 denarii are known at the moment: Nero – Marcus Aurelius (AD 169-170).,"Town museum, Piatra Neamț, Romania",II century
Spain,1997,12897,ALORIA A,16,162,163,42.996,-2.982,16 sestertii found stuck together in a Roman edifice: Vespasian - Marcus Aurelius (AD162-163).,"Museo de Arqueología de Álava, Spain",II century
Egypt,1900,7801,DIMAI A59,41,164,165,29.535987260319,30.668637885638,41 Alexandrian bronze coins: Trajan - Marcus Aurelius (Faustina II) (AD 164-165). Found during excavations .,"Exhibited in London 1902, now in Toronto. Detailed list in Oxford",II century
Ukraine,1952,2998,POGORELOYE,450,194,195,48.632949622777,29.956543778457,"Hoard of 450 denarii found with a ceramic vessel covered by another pot: Vespasian - Septimius Severus (Clodius Albinus Caesar) (AD 194-195). Weight: 983 g. According to Kropotkin, the hoard ends with the coin of Clodius Albinus as all the coins of Septimius Severus are issues of AD 193-194.","Local History Museum, Uman, Ukraine (inv. nos. 1675/2760 et 2355/3440)",II century
Sweden,1928,15527,GANDARVE 1928 2,14,161,176,57.1958,18.3913,"14 denarii part of a hoard found on the same field like GANDARVE 1927, 1928, 1928-1931: Vespasian (Domitian Caesar) - Marcus Aurelius (Faustina II) (AD 161-175); silver weight: 22.67 g (8 coins).","Gotlands Fornsal, Visby, Finland (8 coins)",II century
Sweden,1887,15522,GYLE,2,141,161,57.426478,18.613831,"Grup of two denarii: Antoninus Pius, Antoninus Pius (Diva Faustina I); silver weight: 5.32 g.","Swedish History Museum, Stockholm (inv.no. 8217)",II century
Romania,1992,16346,MIRCEȘTI,918,193,194,47.065591,26.84568,"918 silver coins found with a ceramic vessel: 916 denarii, 1 drachm, 1mitation denarius: Nero – Septimius Severus (AD 193-194).","Museum Complex Iași, Romania (inv.no. Tz/XXV/1-917 (15219)",II century
Czech Republic,1881,15961,POŠTORNÁ,4,141,160,48.74849,16.869859,"4 denarii: Vitellius, Nerva, Trajan, Antoninus Pius (Diva Faustina I) (AD 141-160).",NA,II century
"Israel, Palestinian Territories",1978,8501,EL FAWAR,2500,132,136,31.478,35.066,The hoard comprised around 500 tetradrachms and at least 2000 denarii from the Second Jewish Revolt (AD 132-136).,NA,II century
"Wales, United Kingdom",2000,2192,MONKNASH,103,143,144,51.416449,-3.554541,"103 denarii (Nero to Antoninus Pius) found near a large stone building and a series of ditches identified by a geophysical survey in 1999 and described as a farmhouse. The site has turned up building debris, pottery, and a series of other metal finds, including at least 46 other denarii that might have come from the coin hoard (Treasure report SS 91 69).",National Museum Cardiff,II century
Germany,1950,6948,GAUTING 1950/51,12,134,138,48.06,11.3758,A hoard of 12 denarii (Vespasian - Hadrian) was found during the archaeological excavation of a building thought to be a granary and comprised of thirteen Denarii coins.,NA,II century
Greece,2006,6902,PELLA WEST CEMETERY 2006 (KER. 23),2,147,161,40.763,22.526,"A hoard of two Antonine sestertii and several items of gold jewellery, found in grave 23 in the western cemetery of Pella.",NA,II century
Poland,2006,13657,GDAŃSK CHEŁM,2,161,161,54.339952,18.619396,"Two denarii found on a field by chance: Antoninus Pius, Marcus Aurelius for Antoninus Pius (Divus).",Private collection,II century
Bulgaria,1910,2677,LESITCHERI,31,117,138,43.217349,25.424239,"31 bronze coins: 22 sestertii, 9 dupondii: Trajan - Hadrian",NA,II century
"England, United Kingdom",2010,516,GUSSAGE ALL SAINTS I,59,159,161,50.907470000000004,-1.9871484,58 denarii to Antoninus Pius (plus a probably unrelated IA stater) (not connected with the siliqua hoard from same parish),NA,II century
"Israel, Palestinian Territories",1995,8172,KHIRBET BADD 'ISA 1995-1997 A,44,117,138,31.931,35.042,The hoard comprised 44 coins dated between the 4th-3rd century BCE and the reign of Hadrian (AD 117-138).,NA,II century
Bulgaria,1954,10075,GRADETS 1954,25,138,161,44.030527,22.7499,(25) 15 denarii: Nero - Antoninus Pius (AD 138-161).,"Regional History Museum Vidin, Bulgaria; inv. no. 426",II century
Germany,1892,5239,MIDDELS-OSTERLOOG,80,140,143,53.539,7.636,The hoard of 79 denarii (one Republican denarius; imperial coins range from Nero to Antoninus Pius) and one Lycian drachm was found in 1882 during plowing of a court at Middels-Osterloog. The coins lay in a container.,NA,II century
Germany,1700,19960,BUDBERG,4,186,189,51.564748414111,7.8758489427609,Uncertain whether the coins were found together or single finds. Only four coins were provided with some information.,Dispersed,II century
Poland,1909,13513,SOPOT,81,161,176,54.441944,18.559722,81 denarii found with a ceramic vessel while building a new house: Otho - Marcus Aurelius (Faustina II) (AD 161-180).,"National Museum of Gdańsk, Poland",II century
Spain,1900,12889,LA POLONIA,30,140,144,37.7036,-4.5002,30 denarii: Augustus - Antoninus Pius (AD 140-144). Found near the Roman villa.,NA,II century
Romania,2004,2588,ILIŞUA,33,125,128,47.211,24.096,33 denarii: Republic - Hadrian (AD 125-128),"County Museum of Bistrița-Năsăud, Bistrița, Romania; Inv.no. MB 20918-20950",II century
Spain,2017,17578,CÁCERES,7,117,138,39.4684222137,-6.3795481480827,Seven aurei: Vespasian - Hadrian. No further information.,NA,II century
Egypt,1934,7779,EL HÎBA A37,214,127,128,28.774,30.922,The hoard comprised 214 Alexandrian tetradrachms from Claudius I to Hadrian. They were found under a floor surface during the excavation of a Late Roman house.,"Museum, Firenze, Italy",II century
Romania,1974,6156,HERTIOANA DE JOS,76,179,179,46.639,27.026,76 denarii found with a ceramic vessel: Otho - Marcus Aurelius (AD 179).,County Museum Bacău,II century
Slovenia,1969,8960,CELJE 1969,21,134,138,46.229,15.266,"(21) 19 bronze coins: 11 sestertii, 7 dupondii, 1 as: Trajan - Hadrian (AD 134-138).","Pokrajinski muzej, Celje, Slovenia (19 coins)",II century
Bulgaria,1980,10256,KOSHARNA 1,1000,138,161,43.8828,26.2975,1000 denarii found in a ceramic vessel - metal detecting - in an ancient building. The latest coins belong to Antoninus Pius.,NA,II century
Slovenia,1989,9045,CELJE 4,9,134,138,46.229,15.266,"9 coins: 5 denarii, 4 sestertii: Vespasian - Hadrian (AD 134-138).","Narodni muzej, Numizmatični cabinet, Ljubljana, Slovenia",II century
Ukraine,1954,18247,KRYACHKOVKA 1957,31,187,188,50.298376682126,32.310455579327,31 denarii found in a silo at the site of the Cherniakyv Culture: Vespasian - Commodus (AD 180-192). Together were found two silver loops.,"Institute of Archaeology of the Academy of Sciences, Kyiv, Ukraine (11 coins, 1 loop); School museum, Davydovka, Ukraine",II century
Romania,2023,20555,GÂRCINA 2023 A,190,117,138,46.975111874256,26.362806809081,Hoard of 190 denarii found with ceramic vessel: Republic (?) - Hadrian.,NA,II century
Croatia,1937,16156,ČITLUK,108,179,180,43.7421,16.6542,"102 sestertii, 5 dupondii and 1 as ranging from Domitian to Marcus Aurelius (AD 179-180). Hoard was originally larger.","Sink, Franciskan monastery; dispersed",II century
Germany,1937,16564,FAIMINGEN 1937,9,180,183,48.561842,10.407796,"In 1937 a small hoard of 9 sestertii (Trajan - Commodus) was found in the north of Faimingen in the foundation walls of a Roman building, between the Roman road and the contemporary road.",Museum Dilligen,II century
Germany,1978,17028,PFUNGSTADT,8,103,111,49.79474,8.55554,"A Roman arm purse was found on a field, southwest of Hahn (today in the district of Pfungstadt), in the vicinity of the Hofgut Grabenbruch. The purse contained 8 Roman denarii, ranging from Galba to Trajan.",NA,II century
Sweden,1869,15613,GOTLAND 1869 - UNKNOWN FINDSPOT,22,194,194,57.506233,18.450162,22 denarii: Trajan - Septimius Severus (AD 194).,"Swedish History Museum, Stockholm (inv.no. 1092)",II century
Poland,2009,13511,SŁOCHY ANNOPOLSKIE,53,134,138,52.394772,22.834857,"Around 70-80 denarii, 53 were recovered: Republic - Hadrian (AD 117-138).",NA,II century
France,1881,7128,AUTUN 1881,9,138,161,46.959,4.298,"The hoard comprised 9 aurei found near the 'Caserne' of Autun. The aurei dated from Vespasian to Faustina I, and may be just a small part of a more important hoard.",NA,II century
Romania,2006,17404,SARMIZEGETUSA 2006,177,116,116,45.512809,22.781739,"177 denarii with portraits of emperors from Vespasian to Trajan and two denarii of Mark Antony's 'legionary' series. The denarii were found with a ceramic vessel. The metal analyses, fresh minting loo-alike state of preservation for the large majority of the coins as well as the overweight for most of the coins reveal a 'hoard' of ancient counterfeited coins. The dating of coin type is based on the genuine prototype, otherwise, it looks that they were all minted in/after AD 116.","Museum of National Union, alba Iulia, Romania",II century
"England, United Kingdom",1980,14589,BULLOCK DOWN (SITE 16),8,180,183,50.742389,0.22381763,"2nd century. Hoard of 8 coins recovered with a frag. of a bronze vessel, possibly its original container. The coins all exclusively 2nd C terminating with issue of Crispina (AD 177-183), though hoard may have been deposited in 3rd C AD.Rudling, D. 1982. The Romano-British farm on Bullock Down. In P. Drewett (ed.) The Archaeology of Bullock Down, Eastbourne, East Sussex.",NA,II century
Germany,1884,17186,HALSMÜHLEN,3,161,175,52.949537,9.2356,"Three denarii (Nerva - Faustina II), found with others on a field in Halsmühlen.",NA,II century
Lebanon,1959,7615,BEQQA?,96,132,136,33.846,35.902,The hoard comprised 96 bronze coins from the Bar Kokhba Revolt (AD 132-135/6).,NA,II century
Spain,1987,17566,VILLA DE LA FUENTE DE LAS PULGUINAS,5,138,161,38.246600042631,-1.4216046991858,"Five bronze coins found one next to the other: as Republic, 3 asses Hadrian, 1 dupondius Antoninus Pius.","Museo de Siyâsa, Cieza, Spain",II century
Belgium,1909,17417,MEUX-SAINT-DENIS,59,190,191,50.542388,4.791821,"Unknown originally number of coins. 59 bronze coins are known: 51 sestertii, 9 dupondii: Trajan - Commodus (AD 190-191).",Finder's collection,II century
"England, United Kingdom",1971,14872,LINCOLN 1971-2,3,141,161,53.227196,-0.548438,"West Parade site Area III, Roman interval tower. In late Roman period, interval tower became derelict, & much of upper part prob. demolished/ robbed. Lower part of tower infilled with demolition debris, incl. ceramic tile frags. & mortar, animal bone waste from food consumption, & bird & animal skeletons, incl. ravens & dogs, frogs & toads, & remains of owl pellets. 3 silver denarii in fine condition also found amongst demolition debris, of Trajan, Hadrian & Faustina, minted in early to mid 2nd C. before tower even built; & it is likely that they were hidden & subsequently lost, poss. as part of a larger hoard, whilst tower was still in use.Gilmour, B. 1999. Excavations. In C. Colyer, B.J.J. Gilmour & B. Jones The Defences of the Lower City. Excavations at The Park and West Parade 1970-2 and a Discussion of Other Sites Excavated up to 1994. The Archaeology of Lincoln VIII-2. CBA Res. Report 114, pp. 191.",NA,II century
Germany,1869,17335,BUCHOW-KARPZOW,5,144,161,52.515025,12.935064,"Five denarii (Vespasian - Antoninus Pius), found while digging for peat in the vicinity of the Buchow-Karpzow estate, probably only part of a larger find.",NA,II century
Sweden,1935,15468,MULDE,50,192,192,57.3615,18.2095,50 denarii: Nero - Commodus (AD 192); silver weight: 137.84 g.,"Gotlands Museum, Visby, Sweden (inv.no. 8729)",II century
Spain,1996,12885,ALORIA B,30,147,148,42.996,-2.982,30 sestertii found stuck together in a Roman edifice: Vespasian - Marcus Aurelius (AD162-163).,"Museo de Arqueología de Álava, Spain",II century
Ukraine,1941,2955,KALANTAYEVO,1200,193,194,49.056324342006,32.894888371677,Galba to Severus. The number of coins in the hoard is estimated and falls somewhere between 1200 and 1500 denarii and 1 drachm of Amisus for Hadrian. Found with a ceramic vessel and few silver ingots.,Odessa Archaeological Museum (64 denarii; 1 drachm of Amisus),II century
Germany,1978,8870,AUGSBURG 1978,52,164,164,48.371,10.898,"52 aurei ranging from Nero (AD 63/66) to Marcus Aurelius (AD 164), found at the Stephansgasse, in the foundations of a stone building. This hoard could be connected with the Marcomannic wars.",NA,II century
