creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"C. Foss, G. Reger",Leros,"An ancient place, cited: BAtlas 61 D3 Leros",on Leros GRE,-750,640,37.158037,26.854663
T.B. Mitford,Charax?,"An ancient place, cited: BAtlas 64 H1 Charax?","Bozoğlak, formerly Ihtik",-30,640,39.622921,38.801937
W.V. Harris,Anguillara,"An ancient place, cited: BAtlas 42 C4 Anguillara",Anguillara,-30,640,42.092645,12.269891
G. Wagner,Hatteiyet Zakaran,"An ancient place, cited: BAtlas 79 D4 Hatteiyet Zakaran",Hatteiyet Zakaran,-30,640,24.756376,30.509094
G. Wagner,*Kalamon,"An ancient place, cited: BAtlas 79 inset *Kalamon",Qalamun,-30,2100,25.548988,28.907661
E.W.B. Fentress,Lambafundi,"An ancient place, cited: BAtlas 34 E2 Lambafundi",Henchir Touchine,-30,640,35.481197,6.465983
R.B. Hitchner,Sicilibba,"An ancient place, cited: BAtlas 32 E3 Sicilibba",Bordj Alaouine,-330,640,36.68588,9.873597
"M. Šašel Kos, P. Kos",Mutila,"An ancient place, cited: BAtlas 20 A5 Mutila",Medulin CRO,-330,640,44.8219,13.936563
"L. Quilici, S. Quilici Gigli",Gabii,"An ancient Latin city located on the line of the Republican Via Praenestina connecting Rome to Praeneste. Gabii is allied to Rome from an early date and flourished during the archaic period, declining by the time of Augustus.",Castiglione,-750,2099,41.887373,12.719727
R.B. Hitchner,Ksar Tyr,"An ancient place, cited: BAtlas 32 E3 Ksar Tyr",Ksar Tyr,-30,640,36.5998265,9.798231
H. Bender,Tasg(a)etium,A fort and vicus located on the Rhine near the southwest end of Lake Constance. A military outpost was created here in the early first century. The site was likely abandoned at the beginning of the fifth century.,Stein am Rhein SWI,-30,2100,47.659282,8.860196
E.W. Haley,Dactionum,"An ancient place, cited: BAtlas 24 D2 Dactionum",Monforte de Lemos,-30,640,42.518433,-7.510725
D.J. Mattingly,Digdida Selorum,"An ancient place, cited: BAtlas 37 D2 Digdida Selorum",Wadi el-Harriga,-30,640,30.69797,18.16671
"J.P. Brown, E.M. Meyers",Sandala,"An ancient place, cited: BAtlas 69 B4 Sandala","Sandala, ISR",300,640,32.523226,35.323017
J.J. Wilkes,S(...),"An ancient place, cited: BAtlas 21 B6 S(...)",Komino YUG,-30,640,43.477006,19.031361
R. Müller Wollermann,Bousiris,"An ancient place, cited: BAtlas 75 E2 Bousiris",Abu Sir el-Meleq,-330,640,29.250259,31.086541
S.T. Parker,Umm el-Walid,"An ancient place, cited: BAtlas 71 B2 Umm el-Walid",Umm el-Walid,-30,640,31.6414765,35.8924595
R.J.A. Wilson,Punta Castelluzzo,"An ancient place, cited: BAtlas 47 G4 Punta Castelluzzo","Punta Castelluzzo, village settlement",-750,640,37.308261,15.126728
G.D. Woolf,Mathay,"An ancient place, cited: BAtlas 18 D2 Mathay",Mathay,-330,640,47.437005,6.786054
"A. Bursche, R. Warner",Eketorp,"An ancient place, cited: BAtlas 2 G2 Eketorp","Eketorp, SWE",300,640,56.295573,16.486275
"P. Kos, M. Šašel Kos",Oneum,"An ancient place, cited: BAtlas 20 D6 Oneum",Omiš CRO,-30,640,43.444003,16.692144
jbecker,Monemvasia,A Medieval refuge settlement founded ca. AD 583 that developed into an important center from the tenth century onward.,NA,300,1453,36.6867762,23.051898
J.J. Wilkes,Diabolis,"An ancient place, cited: BAtlas 49 C3 Diabolis",Zvezde? ALB,-30,640,40.719894,20.88809
T.W. Potter,Bida,"An ancient place, cited: BAtlas 30 H3 Bida",Djemaa Saharidj,-30,640,36.6821605,4.285625
C. Foss,Mantineion,"An ancient place, cited: BAtlas 86 C3 Mantineion",near Ada Köy,-30,640,40.8073395,32.019212
"J.P. Brown, E.M. Meyers",*Tharba,"An ancient place, cited: BAtlas 69 E4 *Tharba",Tarba SYR,-30,640,32.800561,36.771243
J.J. Wilkes,Horreum Margi,"An ancient place, cited: BAtlas 21 D6 Horreum Margi",Ćuprija YUG,-30,640,43.927174,21.3836
"M. Roaf, St J. Simpson",Tell Abu Jelamid,"An ancient place, cited: BAtlas 91 F4 Tell Abu Jelamid",Tell Abu Jelamid,300,640,33.921328,44.475704
"H.S. Sivan, R.W. Mathisen",Crovio,"An ancient place, cited: BAtlas 14 E1 Crovio",Crû?,300,640,47.251557,-0.219138
G.D. Woolf,Castrum Divionense,"An ancient place, cited: BAtlas 18 C2 Castrum Divionense",Dijon,-30,2100,47.327186,5.044076
"M. Roaf, St J. Simpson",Idu/Diacira/Hit,"An Old Babylonian site in Iraq's Al Anbar province, Hit was renowned in antiquity for its bitumen springs.",Hit,-2000,2000,33.6436,42.8215
G.D. Woolf,Dammartin,"An ancient place, cited: BAtlas 18 C2 Dammartin",Dammartin,-30,640,47.978574,5.575782
P.O. Spann,Iniesta,"An ancient place, cited: BAtlas 27 D2 Iniesta",Iniesta,-30,640,39.440732,-1.749431
"E.M. Meyers, J.P. Brown",Canatha/*Gabinia/*Septimia,"The Hellenistic-Roman city of Cantha, now Qanawat in Syria, is located in the Hauran region. While it likely has earlier phases, perhaps as the Kenath of the Hebrew Bible, it is first mentioned during the reign of Herod the Great. Septimius Severus bestowed colonial status upon the city.",el-Qanawat SYR,-330,640,32.754205,36.6183555
J.J. Wilkes,Remesiana,"An ancient place, cited: BAtlas 21 E6 Remesiana",Bela Palanka YUG,-30,640,43.214499000000004,22.293498
A. Bernand,Isieion,"An ancient place, cited: BAtlas 74 E3 Isieion",Barrington Atlas grid 74 E3,-750,640,31.03333,31.283332
"C. Haselgrove, J. Kunow",Gallo-Roman vicus at Pierrefonds,"An extensive (50+ hectares) ancient settlement located in the modern French commune of Pierrefonds, lying between Pierrefonds itself and Mont Berny to the northeast. Variously referred to in the modern literature as ""Pierrefonds"", ""La Ville des Gaules"", ""Mont Berny"", or ""Saint-Étienne-Roilaye"" (another nearby modern town), the ancient name of the vicus is unknown.","Pierrefonds, St-Etienne-Roilaye/Le Mont Berny/La Ville des Gaules",-30,2099,49.36046665,2.9900466
H. Bender,Dobřichov,"An ancient place, cited: BAtlas 12 I2 Dobřichov","Dobřichov, CZE",-30,640,50.079289,15.032019
"M. Roaf, St J. Simpson",Vologesias?,"An ancient place, cited: BAtlas 91 F4 Vologesias?",Abu Halafiya,-330,640,33.0856885,44.3495085
T. Drew Bear,Yakakayı Yaylası,"An ancient place, cited: BAtlas 62 E2 Yakakayı Yaylası",Yakakayı Yaylası,-30,640,39.809118,30.780067
D.J. Mattingly,Zuila,"An ancient place, cited: BAtlas 36 E5 Zuila",Zuila,-30,640,26.159645,15.136895
R.B. Hitchner,Henchir-Ksar-Ghazelli,"An ancient place, cited: BAtlas 32 C4 Henchir-Ksar-Ghazelli",Henchir-Ksar-Ghazelli,-30,640,36.383377,8.59501
"C. Foss, G. Reger",Thyaira,"An ancient place, cited: BAtlas 61 F1 Thyaira",Tire,-30,640,38.085927,27.744117
J.H.F. Bloemers,Velp,"An ancient place, cited: BAtlas 10 B5 Velp",Velp,300,640,51.994623,5.975467
D.J. Mattingly,Jabiat Escout,"An ancient place, cited: BAtlas 37 B1 Jabiat Escout",Jabiat Escout,-30,640,31.206644,16.76236
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Tell al-Baye'a,"An ancient place, cited: BAtlas 89 F4 Tell al-Baye'a","Tell al-Baye'a, IRQ",300,640,36.191029,43.066222
David Braund,Bugaz,"An ancient place, cited: BAtlas 87 L2 Bugaz","Bugaz, RUS",-550,640,45.114089,36.861334
"C. Haselgrove, J. Kunow",Decem Pagi,"An ancient place, cited: BAtlas 11 G4 Decem Pagi",Tarquimpol,-30,2100,48.78451,6.75762
"J. Fossey, J. Morin",Gomphoi,"An ancient place, cited: BAtlas 55 B2 Gomphoi",Mouzaki,-550,640,39.436045,21.676806
C. Foss,Malos,"An ancient place, cited: BAtlas 86 D3 Malos",Kalecik,-30,640,40.126533,33.34095
C. Foss,Ziporea,"An ancient place, cited: BAtlas 86 D2 Ziporea",Karafasıl,-30,640,41.5715265,33.1191805
M. Drew Bear,Antinoopolis,"An ancient city in Egypt established by Hadrian in A.D. 122 in honor of Antinous. The city stood on the east bank of the Nile, opposite Hermopolis.",Sheik Ibada,-30,640,27.8105625,30.8810025
"M. Pearce, P. Tozzi",Sebuinus Vicus,"An ancient place, cited: BAtlas 39 D2 Sebuinus Vicus",Angera,-30,640,45.774415,8.571296
R.B. Hitchner,Djilma,"An ancient place, cited: BAtlas 33 D2 Djilma",Djilma,-30,640,35.2700015,9.420438
D.J. Mattingly,Euphranta/Macomades,"An ancient place, cited: BAtlas 37 B1 Euphranta/Macomades","Sirte, Marsa Zaafran",-330,640,31.205047,16.588337
"A. Hausleiter, M. Roaf, St J. Simpson, R. Wenke",Veh-az-Amid-Kavad/[Arragan],"An ancient place, cited: BAtlas 93 G3 Veh-az-Amid-Kavad/[Arragan]",5-7 miles NE Behbahan in area known as Argun,300,640,30.662826,50.309141
D. Rupp,Keryn(e)ia/Keraunia,"An ancient place, cited: BAtlas 72 C2 Keryn(e)ia/Keraunia",Kyrenia,-750,640,35.337334,33.321417
R.B. Hitchner,Henchir-Serama,"An ancient place, cited: BAtlas 33 D1 Henchir-Serama",Henchir-Serama,-30,640,36.017122,9.339792
"J.P. Brown, P.-L. Gatier",Tell Soukas/Pelleta?,"An ancient place, cited: BAtlas 68 A3 Tell Soukas/Pelleta?",Tell Soukas,-750,640,35.298878,35.925913
"J. Fossey, J. Morin",Donakon?,"An ancient place, cited: BAtlas 55 E4 Donakon?",Tateza,-550,640,38.272393,23.101469
"C. Haselgrove, J. Kunow",Altrier,"An ancient place, cited: BAtlas 11 G3 Altrier","Altrier, LUX",-30,2100,49.750289,6.327856
"C. Foss, S. Mitchell, G. Reger",*Parsada,"An ancient place, cited: BAtlas 56 F5 *Parsada",Parsa,300,640,38.393106,27.638875
"J.P. Brown, E.M. Meyers",Alexandroschene,"An ancient place, cited: BAtlas 69 B3 Alexandroschene",İskanderun LEB,300,640,33.155659,35.171988
"S.J. Keay, R.W. Mathisen, H.S. Sivan",Torre Gachero,"An ancient place, cited: BAtlas 25 F5 Torre Gachero","Torre Gachero, Valderrobres",-550,640,40.87548,0.155717
"J.P. Brown, E.M. Meyers",Khirbet Umm 'Ulleiqa,"An ancient place, cited: BAtlas 69 A5 Khirbet Umm 'Ulleiqa","Khirbet Umm 'Ulleiqa, ISR",300,640,32.227566,34.883868
"E.M. Meyers, J.P. Brown",Bar'am,"An ancient place, cited: BAtlas 69 B3 Bar'am","Bar'am, ISR",-30,640,33.045138,35.414807
R.B. Hitchner,Henchir-Snobbeur,"An ancient place, cited: BAtlas 32 E4 Henchir-Snobbeur",Henchir-Snobbeur,-30,640,36.442544,9.690507
"T. Sinclair, P.-L. Gatier",Mopsou(h)estia/Seleukeia pros to Pyramo,"Mopsou(h)estia/Seleukeia pros to Pyramo was an ancient settlement in Cilicia Pedias (now modern Yakapınar, Turkey).","Yakapınar, formerly Misis",-1000,2100,36.9580404953,35.6223738026
G. Wagner,Kysis,"An ancient place, cited: BAtlas 79 D4 Kysis",Douch,-30,2100,24.5804419305,30.7165764541
T. Drew Bear,Appia,"An ancient place, cited: BAtlas 62 C3 Appia","Pınarcık, formerly Abia, Abiye",-330,640,39.0245954,29.9834497
E.W.B. Fentress,Sigus,"An ancient place, cited: BAtlas 31 F4 Sigus",Sigus,-330,640,36.122312,6.78528
"J. Fossey, J. Morin",Palaiokhori,"An ancient place, cited: BAtlas 55 E3 Palaiokhori","Palaiokhori, Rovies",-750,640,38.827897,23.230678
"I.E.M. Edlund Berry, A.M. Small",Carmeia,"An ancient place, cited: BAtlas 45 C2 Carmeia",S. Lorenzo in Carmignano?,300,640,41.432799,15.595272
"I.E.M. Edlund Berry, A.M. Small",*Azetium,"An ancient place, cited: BAtlas 45 F2 *Azetium",Rutigliano/Castiello,-750,640,41.009167,17.005771
T. Drew Bear,Hierapolis/Koçhisar,"Hierapolis in Phrygia, now Koçhisar, Sandıklı, was was part of the Phrygian Pentapolis.",Koçhisar,-30,640,38.461767,30.197699
sarcanon,Adel,Site of a small Romano-British settlement,NA,-30,640,53.865843,-1.579512
T.W. Potter,Tikoubaine,"An ancient place, cited: BAtlas 30 H3 Tikoubaine",Tikoubaine,-30,640,36.766398,4.175252
R.J.A. Wilson,Hybla Heraia,"Hybla Heraia (modern Ragusa) was an indigenous center of ancient Sicily that came into contact with Greek and, later, Roman and Byzantine cultures.",Ragusa Ibla,-750,2100,36.9266329,14.7472493
"C. Foss, G. Reger, S. Mitchell",Daldis (*Phlabiokaisareia),"An ancient place, cited: BAtlas 56 G4 Daldis (*Phlabiokaisareia)",Nardi,-30,640,38.668404,28.142602
B. Isaac,Akraba,"An ancient place, cited: BAtlas 70 G1 Akraba",'Aqrabah WBK,-330,640,32.127218,35.342849
"J. Fossey, J. Morin",Phytaion,"An ancient place, cited: BAtlas 55 B4 Phytaion",Palaiokhori,-330,640,38.490175,21.612658
"I.E.M. Edlund Berry, A.M. Small",Calle,"An ancient place, cited: BAtlas 45 D3 Calle",Calle,-30,640,40.683925,16.133766
"S.J. Keay, R.W. Mathisen, H.S. Sivan",Caesada?,"An ancient place, cited: BAtlas 25 B5 Caesada?",Espinosa de Henares,-30,640,40.90396,-3.073496
"E.M. Meyers, J.P. Brown",Philippopolis,"An ancient place, cited: BAtlas 69 E4 Philippopolis",Shahba SYR,-30,640,32.853765,36.627525
A.G. Poulter,Diocletianopolis,"An ancient place, cited: BAtlas 22 B6 Diocletianopolis",Hisar BUL,-30,640,42.503218,24.7077165
"I.E.M. Edlund Berry, A.M. Small",Natiolum,"An ancient place, cited: BAtlas 45 E2 Natiolum",Giovinazzo,-330,640,41.187539,16.672566
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Tolosa,Tolosa (modern Toulouse) was a city of Gallia Narbonensis and the metropolis of the Volcae Tectosages.,Toulouse FRA,-330,2100,43.604175,1.443246
E.W.B. Fentress,Sapadenses,"An ancient place, cited: BAtlas 31 C4 Sapadenses",Ain Timeridjine,-30,640,36.356127,5.427363
B. Isaac,Bethaphou/Boutaphion,"An ancient place, cited: BAtlas 70 E3 Bethaphou/Boutaphion",near esh Sheikh Zuweid EGY,-30,640,31.233921,34.090986
E. Bertrand,Brigantio,"An ancient place, cited: BAtlas 17 H4 Brigantio",Briançon,-30,640,44.896886,6.633951
N. Purcell,Venafrum,Venafrum was an ancient town of Campania.,Venafro,-330,2100,41.484488,14.046066
"J. Fossey, J. Morin",Phylake,"A city in Achaea Phthiotis, the mythical home of Protesilaos. It had been absorbed into Thebai Phthiotides by the 3rd century BC.",Persouphli/Dervesi,-750,640,39.289349,22.762367
D.J. Mattingly,Cyrene,"An ancient Greek city founded in eastern Libya ca. 630 B.C., Cyrene later became part of the Roman empire (ca. 74 B.C.). The site was added to the UNESCO World Heritage List in 1982.","Ain Shahat, Grennah",-750,2100,32.8200266273,21.8565385134
C. Foss,Poleatikon,"An ancient place, cited: BAtlas 53 B3 Poleatikon",Bostancı,300,640,40.956377,29.088941
"R.W. Mathisen, H.S. Sivan",Gabillou,"An ancient place, cited: BAtlas 14 G3 Gabillou",Gabillou,-30,640,45.206301,1.034547
David Braund,Podazovskoye,"An ancient place, cited: BAtlas 84 E1 Podazovskoye","Podazovskoye, near Rostov",-30,640,47.101812,39.428664
"J. Kunow, C. Haselgrove",Florenville-Chameleux,"An ancient place, cited: BAtlas 11 F3 Florenville-Chameleux",Florenville-Chameleux,-30,2100,49.674111,5.312541
S. Mitchell,Ariaramneia/[Rodandos],"An ancient place, cited: BAtlas 66 G1 Ariaramneia/[Rodandos]","Çamlıca, formerly Faraşa",-330,640,37.909324225,35.482917575
"C. Haselgrove, J. Kunow",Cocheren-Le Hérapel,"An ancient place, cited: BAtlas 11 G3 Cocheren-Le Hérapel",Cocheren-Le Hérapel,-30,640,49.153225,6.860749
C. Foss,Paulines,"An ancient place, cited: BAtlas 53 A2 Paulines",outside Blachernai walls,300,640,41.04052,28.941721
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Darucinte/Tareina?/Horonon?,"An ancient place, cited: BAtlas 89 C1 Darucinte/Tareina?/Horonon?",Karakulak,-30,640,39.947208,40.047249
D. Rupp,(Nea) Paphos,"The legendary birthplace of the goddess Aphrodite, (Nea) Paphos has been a center of activity since the Final Bronze Age when Mycenaeans honored the goddess there. The site was listed on the UNESCO World Heritage List in 1980.",Kato Paphos,-550,640,34.757212,32.406593
"E.M. Meyers, J.P. Brown",Adra(h)a,"An ancient place, cited: BAtlas 69 D4 Adra(h)a",Dar'a SYR,-30,640,32.6125013659,36.0996623149
R.B. Hitchner,Horrea Caelia,"An ancient place, cited: BAtlas 32 G4 Horrea Caelia",Hergla,-30,640,36.030099,10.507908
"C. Foss, S. Mitchell",Lagbe,"An ancient place, cited: BAtlas 65 C3 Lagbe",Alifahrettin Yaylası,-330,640,37.142961,29.924947
T.W. Potter,Sufasar,"An ancient place, cited: BAtlas 30 E4 Sufasar","Amoura, formerly Dollfusville",-30,640,36.19245,2.51327
R.B. Hitchner,Biha Bilta,"An ancient place, cited: BAtlas 32 E3 Biha Bilta",Henchir-Behaia,-330,640,36.925886,9.58426
E.W.B. Fentress,Vahartanenses,"An ancient place, cited: BAtlas 31 D3 Vahartanenses",Mechta Skaif,-30,640,36.550096,5.983386
D.J. Mattingly,Corniclanum,"An ancient place, cited: BAtlas 38 B3 Corniclanum",Agedabia,-30,640,30.757464,20.2217705
R.B. Hitchner,Bordj-el-Menzel,"An ancient place, cited: BAtlas 33 F1 Bordj-el-Menzel",Bordj-el-Menzel,-30,640,36.014647,10.371348
R.B. Hitchner,Gales,"An ancient place, cited: BAtlas 32 E4 Gales",Djebel Mansour,-330,640,36.266625,9.69998
S. Mitchell,Pyrgoi,"An ancient place, cited: BAtlas 66 B2 Pyrgoi","Kazımkarabekir, formerly Gaferiyat",300,640,37.227855,32.957135
T.W. Potter,Guetna,"An ancient place, cited: BAtlas 29 E1 Guetna",Guetna,-30,640,35.392496,-0.057595
B. Isaac,Moza/Ammaous/Kolonia,"An ancient place, cited: BAtlas 70 G2 Moza/Ammaous/Kolonia",Qaluniya,-330,640,31.79224,35.167596
"M. Pearce, R. Peretto, P. Tozzi",Forum Livii,A town of Gallia Cispadana located on the right bank of the Montone river.,Forlì,-30,2100,44.221277,12.042702
R.B. Hitchner,Abbir Cella(e),"An ancient place, cited: BAtlas 32 E4 Abbir Cella(e)",Henchir-en-Naâm,-330,640,36.466607,9.844189
D.J. Mattingly,Goddua,"An ancient place, cited: BAtlas 36 D5 Goddua",Goddua,-30,640,26.498927,14.346274
J.J. Wilkes,Drinum Fl.,"An ancient place, cited: BAtlas 21 B5 Drinum Fl.",Brodac BOS,-30,640,44.863592,19.281148
J.J. Wilkes,Stojnik,"An ancient place, cited: BAtlas 21 C5 Stojnik","Stojnik, mining settlement, castrum YUG",-30,640,44.507562,20.499254
W.V. Harris,Cliternia,A city of the Aequiculi located in the valley of the Salto river.,Capradosso,-30,640,42.314542,13.041311
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Shno,"An ancient place, cited: BAtlas 89 H3 Shno",Ushnu IRN,300,640,37.047159,45.089711
"C. Foss, G. Reger, S. Mitchell",Aureliane,"An ancient place, cited: BAtlas 56 E2 Aureliane",Havran (Freneli),300,640,39.544815,27.104783
A.G. Poulter,Emporium Discoduraterae,"An ancient place, cited: BAtlas 22 C5 Emporium Discoduraterae",Gostilitsa BUL,-30,640,43.02356,25.368331
"J. Kunow, C. Haselgrove",Noviomagus/Nemetae,"An ancient place, cited: BAtlas 11 I3 Noviomagus/Nemetae",Speyer GER,-30,640,49.3172545,8.436718
A. Bernand,Menouthis,Ancient Menouthis was sacred to both Isis and Serapis. Its ruins are now submerged.,Abukir area,-750,640,31.315612,30.058059
"J.P. Brown, E.M. Meyers",Ramat Yishay,"An ancient place, cited: BAtlas 69 B4 Ramat Yishay","Ramat Yishay, ISR",300,640,32.703652,35.175681
S. Mitchell,Aulai?,"An ancient place, cited: BAtlas 66 F3 Aulai?",Karaduvar,300,640,36.811081,34.701983
"T. Wilfong, S.E. Sidebotham, J. Keenan",Krokodilopolis/Terkythis,"An ancient place, cited: BAtlas 80 A2 Krokodilopolis/Terkythis",Rizeiqat,-750,640,25.5524075,32.4392095
"C. Haselgrove, J. Kunow",Cuignières,"An ancient place, cited: BAtlas 11 C3 Cuignières",Cuignières,-30,640,49.452718,2.472995
R.B. Hitchner,Moknine,"An ancient place, cited: BAtlas 33 G1 Moknine",Moknine,-30,640,35.631407,10.900881
"R. Warner, A. Bursche",Mrzezino,"An ancient place, cited: BAtlas 2 G3 Mrzezino","Mrzezino, formerly Bresin POL",300,640,54.652959,18.429722
W.V. Harris,Amiternum,"Amiternum was an ancient settlement of the Sabines that Rome captured in 293 BC. The settlement was situated at the intersection of four Roman roads: the Via Caecilia, the Via Claudia Nova, and the two branches of the Via Salaria. The historian Sallust was born at Amiternum in 86 B.C.",S. Vittorino,-330,640,42.4004668176,13.3062214469
C. Foss,Neapolis/Comarodes?,"An ancient place, cited: BAtlas 53 B2 Neapolis/Comarodes?",Yeni Köy,-30,640,41.12194,29.059723
S. Mitchell,[Korama],"An ancient place, cited: BAtlas 63 G4 [Korama]",Gereme Yayla,300,640,38.463376,35.2661605
B. Isaac,Thamara?,"An ancient place, cited: BAtlas 70 G4 Thamara?",En Hazeva/Ein el Husb,-30,640,30.815741,35.2376225
