country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Austria,1799,8185,WIEN - RENNWEG 1799,279,161,180,48.193,16.392,"A hoard of 298 aurei dating from Nero to Lucius Verus was discovered in Vienna in 1799 during the construction of the Wiener Neustadt Canal. Of the 298 aurei, 24 were stolen and 274 initially were recovered. There is information for 279 coins: Nero - Marcus Aurelius (AD 161-180). The average weight of the coins was 6.3g.","Münzkabinett, Kunsthistorischen Museum, Vienna, Austria (191 coins)",II century
Romania,2023,20555,GÂRCINA 2023 A,190,117,138,46.975111874256,26.362806809081,Hoard of 190 denarii found with ceramic vessel: Republic (?) - Hadrian.,NA,II century
Ukraine,2020,18627,KHMELIVKA,63,194,195,51.249944599302,27.680927316092,63 denarii found by metal detecting: Vespasian - Septimius Severus (AD 194-195).,"Sold; Local museum Olevsk, Ukraine (3 coins)",II century
Latvia,1888,15431,CESVAINE,2,138,161,56.967965,26.308625,Possibble hoard of unknown number of silver and bronze coins found within a cemetery. The only preserved coins are two denarii of Hadrian and Antoninus Pius.,"Coin Room, National History Museum of Latvia, Riga (inv.nos. LNVM NUM - CVVM 120210: 1-2",II century
"Scotland, United Kingdom",1781,1131,CARSTAIRS,100,138,180,55.6814,-3.6836,"A hoard of about a 100 Roman bronze coins, found on the estate of Carstairs house (= Monteith House). Nero, Trajan, Faustina, Germanicus, M. Aurelius, M. Antoninus are mentioned. To this hoard belonged 13 coins presented to the Society of Antiquaries of Scotland in 1781 (Trajan, Hadrian, the Empress Faustina, and Germanicus, are mentioned; the coin with Germanicus probably refers to an emperor Germanicus in its titles, e.g. Nero, Domitian or Trajan). No coins from this hoard have been located in NMAS, Edinburgh, or in Hunterian Museum, Glasgow. There is, however, in the University archives a letter from Mr. W. Fullerton, Carstairs House, dated 20 Oct. 1781, to Dr. A. Stevenson stating: ""I send you a small box containing a dozen or more bronze medals intended for the College. About a hundred or more of them were found together by some workmen in repairing a road to a miln near this place [i.e. Carstairs House]. {...} They are cheifly [sic] Trajans Hadrian Antoninus Pius two or three Faustinas and one Marcus Aurelius Caesar and several others which from the inscription being much worn out their age cannot be so easily ascertained tho' on comparing them with Vallaint's [Vaillant's] Numismata they seem to be of Domitian. The place where they were found is about a quarter of a mile from an old Roman encampment or station [i.e. the Roman fort at Castledykes] of which part of the vallum remains still partly intire.""",NA,II century
India,2020,19939,RATLAM,17,194,194,23.330942153044,75.036606873163,"Hoard of 17 aurei. Only two are known: Pertinax, Septimius Severus.",NA,II century
Poland,2006,13657,GDAŃSK CHEŁM,2,161,161,54.339952,18.619396,"Two denarii found on a field by chance: Antoninus Pius, Marcus Aurelius for Antoninus Pius (Divus).",Private collection,II century
"Scotland, United Kingdom",1842,1134,SHOTTS,300,177,192,55.8201295,-3.797864,"Several hundreds coins (principally of Nerva, Trajan, Hadrian, Antoninus Pius, and Faustina), found in 1842, while removing some sods from the surface of a piece of moss land. Three publications (see under references) list groups of coins belonging to this hoard. Some coins had marks indicating that the hoard had been buried in a bag of coarse cloth. One further denarius of Trajan in HCC, p. 34, no. 207, Glasgow.",Airdrie Museum (part); Glasgow (part).,II century
France,1830,7249,BEAUVAIS,15,192,192,49.43,2.081,The hoard comprised 15 copper-alloy coins from Hadrian to Commodus and we found next to a skeleton.,NA,II century
Hungary,1802,7487,SZÉKESFEHÉRVÁR 1802,3,145,161,47.186,18.422,"3 coins, unknown denomination: Trajan, Hadrian and Marcus Aurelius (Caesar) (AD 145-161).",NA,II century
"England, United Kingdom",1877,533,HANDLEY,639,194,196,50.961423,-2.0156118,"A hoard of ca. 639 Roman denarii, found in a 'crock' at Upwood Farm, near Handley, while digging up an allotment garden in 1877. A list of 571 coins (by emperor only, see NC 1950, pp. 311-312) was made by Dr. Blackmore who himself received 464 coins of the hoard. His list is as follows: Marcus Antonius 20, Nero 2, Galba 2, Otho 4, Vitellius 3, Vespasian 60, Titus 5, Domitian 31, Nerva 19, Trajan 55, Hadrian 78, Sabina 4, Aelius 4. Pius 79, Faustian I 44, Marcus Aurelius 63, Faustian II 23, Verus 14, Lucilla 13, Commodus 36, Crispina 5, Didius Iulianus 1, Severus 1, and Domna 1. What remains of these 464 coins is now preserved in the Dorchester Museum, but only 440 coins were catalogued by Roberston (NC 1950). These are all denarii (Mark Antony - Julia Domna), except for one Lycian drachm of Trajan.","County Museum, Dorchester (part)",II century
Bulgaria,1990,2686,GIGEN 1990,30,161,180,43.708,24.466,(ca.30) 12 sestertii and dupondii: Trajan - Marcus Aurelius (AD 161-180).,"Regional History Museum, Pleven, Bulgaria; auxiliary fund, inv.no. 693",II century
Ukraine,1900,18169,BOGDANOVKA,770,138,161,49.297048303565,29.200379539719,"770 denarii found with a ceramic vessel. Among issuers: Trajan, Hadrian, Antoninus Pius.",NA,II century
Germany,1842,17204,WESERMÜNDUNG 1842,6,117,138,53.5366,8.5669,"Six denarii (Domitian - Hadrian), found in the estuary of the River Weser in 1842.",NA,II century
"England, United Kingdom",2011,2066,CHARLWOOD,23,141,161,51.164247,-0.25656181,"2 Iron Age gold quarter-staters, 18 denarii and 1 quinarius to Antoninus Pius and 6 copper-alloy votive objects.",NA,II century
Germany,1922,15416,BERNBEUREN,54,183,192,47.74637,10.75871,Coin hoard consisting of 54 Roman sestertii (Domitian - Commodus) was discovered in 1922 while excavating an old lime tree. The coins were stratified in three layered rolls. They have been lost.,NA,II century
Romania,1970,16294,DAVIDENI,26,169,170,47.12489,26.598978,Unknown originally number of coins. 26 denarii are known at the moment: Nero – Marcus Aurelius (AD 169-170).,"Town museum, Piatra Neamț, Romania",II century
France,1803,5584,WALLERS 1803,15,138,161,50.3734,3.3913,15 of the sestertii from a larger hoard were identified by S. Bottin. The hoard was originally located in Bellaing in error.,Mayor Moreau,II century
"England, United Kingdom",1795,62,HUGHENDEN 1795,24,138,180,51.674349,-0.77215784,Hughenden - Upon Piggott Common: 24 Roman coins (copper) discovered 1795 in throwing up a bankan earthen vessel about 18 inches below the surface.,NA,II century
France,1821,5486,CAILLY,29,181,182,49.5792,1.2308,"The hoard comprised '27 aurei of Vespasian to Commodus along with some silver denarii.' The gold coins were distributed amongst the family of the landowner. Although 9 of the aurei were given to the Musée de Rouen by M. Esnault, these were later stolen.","Musée de Rouen, France (9 coins. stolen)",II century
"Israel, Palestinian Territories",1967,8466,IDNA 1967,25,132,136,31.557,34.979,"25 coins? ""Medium-sized hoard. Allegedly Bar Kokhba silver and bronze together with Syrian tetradrachms and Roman denarii"" (Mildenberg 1984, 56).",Dispersed,II century
Israel,1973,8189,BEIT MIRSIM,385,132,136,31.454,34.912,"The hoard comprised a mixed hoard of gold, silver, and bronze deposited in relation to the Second Jewish Revolt (AD 132-136).",NA,II century
Armenia,1955,17473,GAṘNI [ԳԱՌՆԻ] 1955,48,185,191,40.1195,44.723,"A hoard of 48 denarii, ranging from Vespasian to Commodus, discovered in the fortress of Gaṙni in 1955.",History Museum of Armenia,II century
Poland,1933,13471,MALKOWICE,134,193,194,50.173747,20.603933,Around 300 denarii possible found with a leather bag. 134 coins provide information on the issuers: Vespasian - Septimius Severus (AD 193-211).,"Archaeological Museum, Krakow (132 coins); private collection, Gnojni (2 coins)",II century
"Russia, Ukraine",2010,18381,TIRITAKA 2010,2,179,180,45.2773,36.4073,"In 2010 archaeological excavation of the northern part of Tyritake city-site (site XXVIII) a boxlike altar made of limestone tiles was found in Room I. Altar clearing uncovered two golden staters of Bosporus kings Eupator and Sauromates II, which are most likely to have been offerings to Dionysus. Sauromates II’s stater suggests dating offerings to Dionysus to AD 179 or a little later.",NA,II century
Portugal,1950,12888,NORTH PORTUGAL 1960'S,55,154,157,41.31,-7.742,55 bronze coins with unknown findspot except for the mention north Portugal,Lost,II century
Greece,1936,6716,ATHENS 1936 AGORA,10,192,192,37.9754,23.7222,"A hoard of 9 provincial coins from Athens (periods VB and VC) and one sestertius of Commodus. The coins were excavated in 1936 in front of the north end of the Stoa of Attalos (grid P 7). When found, several of the coins were stuck together, suggesting that all ten were originally put away in a purse.",NA,II century
Bulgaria,1928,10081,MAKRESH,90,161,180,43.7644,22.6439,"(90) 27 denarii: 7 republican, 20 imperial: Republic - Marcus Aurelius (AD 161-180). Found in a ceramic vessel.",NA,II century
Ukraine,2010,18634,ZHULYCHY,90,195,197,49.8722,24.8866,"Unknown originally number of coins, around 160-200 denarii. Only 90 were documented: Otho - Clodius Albinus (AD 195-197).",NA,II century
Germany,1870,17155,BRAUNSCHWEIG DOWESEE,4,161,180,52.2922,10.5307,"Four bronze coins (Trajan - Marcus Aurelius), found on the Dowe-See estate on the Bullenteich in Braunschweig, next to other small Roman objects (bronze fibula, bronze ring, glass pearls, spindle whorl, etc.).",NA,II century
Romania,1958,16312,BĂLĂNEȘTI 1958,103,181,181,46.95159,26.635579,"103 denarii, among which one imitation: Vespasian – Commodus (AD 181).","History Museum, Piatra Neamț, Romania (Inv.no. 3234)",II century
Slovenia,1913,8972,PTUJ 1913,11,138,161,46.42,15.87,Leather purse with 10 bronze rings and 11 bronze coins: Trajan - Antoninus Pius. Only one bronze coin of Antoninus Pius is known.,NA,II century
Serbia,1936,2806,BELA REKA,322,181,182,44.6483,19.4886,"322 denarii: Mark Antony - Commodus (AD 181-182). The hoard also includes silver and gold jewelry. Gold: 1 bracelet, 1 ring. Silver: 1 patera, 1 chain, 2 brooches, 1 necklace, 1 bracelet, 2 cups. All items were placed in a silver casket.","National Museum Belgrade, Serbia",II century
Poland,2012,18539,WTÓREK 2012,67,180,192,51.638072540174,17.887858048589,67 denarii: Vespasian - Commodus (AD 180-192).,NA,II century
Romania,1974,6156,HERTIOANA DE JOS,76,179,179,46.639,27.026,76 denarii found with a ceramic vessel: Otho - Marcus Aurelius (AD 179).,County Museum Bacău,II century
Bulgaria,1961,2935,DEVENE,28,165,166,43.4125,23.6146,Unknown initial number of coins: 28 denarii: Vespasian - Marcus Aurelius (AD 166); silver weight: 54.2-84.4g.,"Regional History Museum, Vratsa, Bulgaria; inv.no. M I 233-250",II century
"England, United Kingdom",1878,2165,SOUTH SHIELDS 1878,132,191,192,54.996285,-1.4388217,"A hoard of 10 aurei and 120+ denarii, found in 1878 near the Roman fort. The closure date of this hoard is AD 192. However the penultimate coin is an issue of 185 and a seven year gap between the terminal issues is unusual. In the event the hoard is listed as closing with RIC 241, with the caveat that the last coin may be a site find rather than a hoard item (P.J. Casey).",NA,II century
Portugal,1994,12890,CASCAIS,4,138,161,38.698,-9.422,"Four bronze coins, three sestertii and 1 as, were found together in a wall: Domitian, Trajan, Hadrian, Antoninus Pius (AD 138-161)",NA,II century
Romania,1964,2590,DROBETA-TURNU SEVERIN 1964,7,132,134,44.63,22.674,"7 aurei: 6 Hadrian, 1 Sabina (AD 132-134)","Museum of Iron Gates Region Drobeta-Turnu Severin, Romania",II century
Romania,1987,16291,CĂLUGĂRENI,63,162,163,46.746675,27.020254,"Unknown originally number of denarii found with a ceramic vessel. 63 coins were recovered, 62 denarii, 1 drachm: Vitellius – Marcus Aurelius (AD 162-163).",NA,II century
Romania,2011,18541,OCHENI,53,163,164,46.284380619197,27.231187704232,53 denarii: Republic - Marcus Aurelius (AD 161-180). Circumstances of discovery are unknown.,"Museum complex ”Iulian Antonescu”, Bacău, Romania (inv.no. 36.172-36.224)",II century
France,1834,7398,AMIENS 1834,402,181,183,49.894,2.296,"The hoard comprised more than 400 worn coins including issues of Nero, Trajan, Hadrian, Antoninus Pius and Crispina.",NA,II century
Egypt,1972,7798,LUXOR A56,188,161,169,25.714492955795,32.656456837895,More than 188 billon provincial coins of Alexandria: Nero - Marcus Aurelius (Lucius Verus) (AD 161-169). 'Found at Avenue of the Sphinxes during clearance excavations.',"Museum, Luxor, Egypt",II century
Poland,1937,13496,PRZĘDZEL,167,161,169,50.487217,22.222621,"Around 700 denarii found with a ceramic vessel, of which 167 provided information on the issuers: Nero - Marcus Aurelius (Lucius Verus) (AD 161-169).","Museum of History, Lwow, Poland; private collection",II century
"England, United Kingdom",1863,2565,DEWSBURY 1863,2,140,161,53.666934,-1.6382439,"A 'valuable find of gold and silver coins', of which one coin was a denarius of Antoninus Pius (broken and much defaced), found on Dewsbury Moor, near remains of two Roman querns.",NA,II century
Hungary,1943,2984,MISKOLC - SURROUNDINGS,115,193,194,48.1328,20.8048,115 denarii: Vespasian - Septimius Severus (AD 193-194); silver weight: 354 g,"County Museum, Miskolc, Hungary; dispersed",II century
Romania,1935,16277,COSTIȘA,43,147,148,46.756907,26.646749,"Unknown originally number of coins. 43 denarii are kept at the town museum in Piatra Neamț, Romania: Republic – Antoninus Pius (AD 147-148).","Town museum, Piatra Neamț, Romania (43 coins)",II century
Netherlands,1985,10030,VECHTEN 1985,15,138,161,52.058,5.162,"15 sestertii, dupondii, asses: Augustus-Antoninus Pius (AD 138-161).",Private collection,II century
Tunisia,1960,5364,EL KSOUR,2000,138,161,35.898,8.881,"From information obtained by Khaled Ben Rhomdane, the hoard comprised 2000 Republican denarii, although there is some suggestion that there were also imperial denarii including issues of Antoninus Pius. The hoard was stolen.",Stolen,II century
Sweden,1847,15536,BUTTLEGÅRDA,2,145,161,57.407024,18.492704,"Grup of two denarii: Hadrian, Antoninus Pius (AD 145-161); silver weight: 5.52 g.","Swedish History Museum, Stockholm (inv.no. 1345)",II century
Romania,1948,16315,COSTEȘTI,171,180,192,47.235022,26.932095,"Hoard of 171 denarii, only 139 were recorded: Nero – Commodus (AD 180-192).","Museum Complex Iași, Romania (121 coins); National History Museum, Bucharest, Romania (50 coins)",II century
Egypt,1913,7785,EL-HÎBA A43,237,143,144,28.7887,30.9251,237 provincial coins of Alexandria: Claudius I - Antoninus Pius (AD 143-144). Two sacks found in a house during excavations.,"Aegyptologisches Institut, Heidelberg, Germany",II century
Romania,1985,16301,OARȚA DE SUS,307,161,180,47.468964,23.07889,307 denarii: Republic – Marcus Aurelius (AD 161-180).,"Muzeul Județean de Istorie și Arheologie Maramureș, Baia Mare, Romania",II century
Poland,1829,13433,GOSTYNIN,83,117,138,52.429167,19.461667,83 denarii: Nero - Hadrian (AD 117-138).,Lost,II century
Algeria,1948,4942,TIPASA 1948-1950,86,143,143,36.618,2.391,The hoard comprised 86 denarii from Mark Antony to Antoninus Pius (AD 143).,NA,II century
Romania,1935,5267,SASCUT,1000,186,191,46.207,27.101,"Over 1,000 denarii: Nero - Commodus (AD 186-191).","Museum of Bucharest, Romania",II century
Romania,1970,16269,STRUNGA 1970,12,125,128,47.164718,26.957566,12 denarii entered the collection of the Pedagogic High-School in Iași: Vitellius – Hadrian (AD 125-128). Part of the hoards Strunga I and II.,"Pedagogic High-School, Iași, Romania (12 coins).",II century
Poland,1901,13660,GOLUB-DOBRZYN,2,183,183,53.1087,19.054,"Two denarii: Antoninus Pius, Commodus (AD 183).",Lost,II century
Ukraine,2008,18595,CHUTOVE,135,194,195,49.7061,35.1849,135 denarii found by metal detecting: Vitellius - Septimius Severus (AD 194-195). Together were found: Flint pendant; an iron chain; a ceramic spindle.,NA,II century
Spain,2017,17568,REBOLLAR,46,117,138,40.1539433134,-5.8988712846984,Hoard of 17 denarii (Mark Antony - Augustus) and 29 sestertii (Nerva - Hadrian) (AD 117-138).,NA,II century
Ukraine,1883,18171,STARYIE VALKI 1883,10,180,192,49.862122952047,35.523089388633,"Unknown originally number of denaarii found with a ceramic vessel. Only 10 coins were recovered. Among issuers: Augustus, Tiberius, Nero, Antoninus Pius, Commodus and other emeperors.",Private collection Golyakhovski,II century
Poland,1909,13699,PRUSZCZ GDAŃSKI 1,85,184,184,54.259404,18.650407,85 sestertii found with a ceramic vessel within a burial ground of the Wielbark Culture: Hadrian - Commodus (AD 184).,"National Museum Gdańsk, Poland",II century
Italy,1903,13873,MONTE CUORE,272,119,122,45.683015,8.767807,272 coins found with a ceramic vessel: Claudius I - Hadrian (AD 119-122).,NA,II century
Denmark,2001,13421,HELLERNE,7,183,184,55.707992,12.29287,Seven denarii found through several rounds of detecting.,NA,II century
France,1775,7124,ALLÉRIOT 1775,2,161,180,46.8134,4.9383,"The hoard was found in a vessel containing coins of the Principate, including 2 coins of Antoninus Pius and Marcus Aurelius.",NA,II century
Romania,1959,16298,TĂCUTA,4,170,175,46.911161,27.685553,"Four denarii, pressumably belonging to a hoard, found at the same place at different dates. ”The scientific literature has falsely perpetuated the locality of Mircești (situated 5 km to the west) as the place of origin for the coins.”",NA,II century
Czech Republic,1862,15875,FOLMAVA,3,117,138,49.349112,12.856193,"Unknown number of Roman bronze coins, only 3 pieces are known: Augustus, Nero, Hadrian",NA,II century
Sweden,1901,15533,KÄRNA-KÄNNE 1901,2,186,186,57.245327,18.508032,Two denarii of Commodus (AD 186); silver weight: 4.66 g.,"Swedish History Museum, Stockholm (inv.no. 11470)",II century
Germany,1966,17475,GNOTZHEIM 1966-1968,47,194,195,49.05712,10.70444,A hoard of Roman denarii comprising at least 47 coins ranging from Nero to Septimius Severus.,NA,II century
France,1844,6338,SAINT-DIDIER-AU-MONT-D'OR,21,197,197,45.812,4.798,"In 1844, numerous skeletons were found, buried one on top of the other. One wearing an iron mail shirt, also possessed 'un coeur en bronze doré', 17 denarii and 4 bronze coins. Like TAF V. 33, the assemblage has been interpreted as representing the savings of a soldier killed in the battle between Septimius Severus and Clodius Albinus in AD 197.",NA,II century
France,1845,5882,FOUGEROLLES-DU-PLESSIS,150,180,192,48.475,-0.981,"The hoard comprised '100s of bronze coins (150 coins according to Angot). The majority were of Trajan, Hadrian and of Antoninus Pius. In the 1860s, the vicar of Fougerolles, Charles Pointeau, examined 72 coins and Chevallier acquired 'a good number, all large bronzes of Trajan to Commodus'. It has therefore been assumed that this hoard was made up of sestertii.",NA,II century
Spain,1856,17572,DEHESA DE ABAJO,125,103,117,37.692566667214,-6.3162086039794,Hoard of 125 denarii. The large majority belong to Trajan including the title DACICVS. The hoard was found with two silver vessels embedded each other.,NA,II century
Romania,1908,2599,VIȘEA,86,155,156,46.8563,23.8724,86 denarii: Nero - Antoninus Pius (AD 155-156).,NA,II century
Portugal,1744,17595,BRAGA 1744,300,161,180,41.550070509781,-8.4269290383417,300 aurei: Nero - Marcus Aurelius (AD 161-180).,Dispersed,II century
Bulgaria,1946,10113,POPITSA 1946,40,117,138,43.4277,23.9523,40 denarii found in a ceramic vessel. Majority belongs to Hadrian.,NA,II century
Belgium,1909,17417,MEUX-SAINT-DENIS,59,190,191,50.542388,4.791821,"Unknown originally number of coins. 59 bronze coins are known: 51 sestertii, 9 dupondii: Trajan - Commodus (AD 190-191).",Finder's collection,II century
Poland,1905,13469,ŁÓDŹ - SURROUNDINGS,300,161,162,51.776667,19.454722,Hoard of 300 denarii found with a vessel. 130 pieces are known: Antoninus Pius - Marcus Aurelius (AD 161-180).,"At the beginning of the 20th century, in the collection of the industrialist Hertig in Łódź.",II century
Poland,1874,13431,GORAJ,200,117,138,50.7209,22.6675,"Around 200 denarii. Among them issues of Nero, Vitellius, Vespasian, Titus, Domitian, Trajan and Hadrian.",Lost,II century
Russia,1876,18203,RYLSK,50,187,188,51.571124206995,34.679986082518,"Hoard of 50 denarii. Only 8 pieces are documented: Antoninus Pius 3, Marcus Aurelius (Antoninus Pius Divus), Commodus 4.","National Museum of History, Moscow, Russia (inv.nos. 14863, 14865-14869)",II century
Sweden,1964,15594,UGGÅRDA,2,189,189,57.174807,18.432183,"2 denarii: Commodus, 1 imitation of Marcus Aurelius; silver weight: 5.06 g.","Swedish History Museum, Stockholm (inv.no. 27518)",II century
Ukraine,1954,18247,KRYACHKOVKA 1957,31,187,188,50.298376682126,32.310455579327,31 denarii found in a silo at the site of the Cherniakyv Culture: Vespasian - Commodus (AD 180-192). Together were found two silver loops.,"Institute of Archaeology of the Academy of Sciences, Kyiv, Ukraine (11 coins, 1 loop); School museum, Davydovka, Ukraine",II century
France,1891,5815,VALLETOT,200,138,161,49.364116,0.624134,"The hoard comprised approximately 200 'small Roman bronzes' of the Antonine period, most of which were well preserved. Unfortunately, an acid bath rendered them indecipherable.",NA,II century
Netherlands,1932,9995,RASQUERT 1932,15,174,175,53.3682,6.517,15 sestertii: Trajan - Marcus Aurelius (AD 174-175).,"Groninger Museum (12 coins), private collection (3 coins)",II century
Russia,1854,18219,KALUGA REGION,50,180,192,54.401160454228,35.420555543248,"Unknown originally number of coins. 50 denarii were sent to the Sankt Petersburg. Among issuers: Vespasiaen, Hadrian, Antoninus Pius, Faustina I, Commodus (AD 180-192).",NA,II century
Italy,1892,6146,ROME 1892 - AVENTINE HILL,300,161,169,41.883656,12.478646,"A hoard of 3-400 aurei. 42 coins were recovered. They are all issues of Lucius Verus, 3 types (Coh. 157, 247, 248).","Royal Coin Room, Amsterdam, Netherlands (3 coins since 1894); 1 coin in Berlin",II century
Germany,1867,17178,BENTWISCH,7,186,186,53.76487,9.14947,In 1867 a hoard of denarii was discovered in a sand hill on the left bank of the Oste river two miles from the estuary. The six preserved coins run from Vespasian to Commodus. It is to be assumed that the hoard was composed of more specimens.,Berlin (1867/28789),II century
Romania,1977,16318,GHERĂIEȘTII NOI,271,184,185,47.051801,26.79431,271 denarii found with a ceramic vessel: Nero – Commodus (AD 184-185).,"History Museum, Piatra Neamț, Romania (Inv.no. 5978)",II century
Austria,1980,13261,HALBTURN,38,192,192,47.871,16.974,"38 bronze coins: 2 sestertii, 4 dupondii, 28 asse, 4 dupondii or asses: Titus - Commodus (AD 192).",NA,II century
Hungary,1900,5248,MOCSOLÁD,1243,163,176,46.05,18.27,"1243 silver coins: 1241 denarii, 2 drachmas: Republic - Marcus Aurelius (AD 164)",NA,II century
Netherlands,1989,9977,NUENEN 1989,100,178,183,51.472,5.5464,100 coins of which one bronze coin of Marcus Aurelius/Commodus for Crispina (Augusta) (AD 178-183).,"Private collection and museum Eindhoven, Netherlands",II century
France,1778,9717,SAINT-BARTHÉLEMY 1778,36,117,138,47.748,6.586,The hoard comprised Roman gold and silver coins: Galba - Hadrian (AD 117-138).,NA,II century
France,1983,7066,RAMPILLON 1983 2,65,180,192,48.55,3.067,The hoard comprised 65 sestertii from Domitian to Commodus (AD 180-192). All the coins were very worn. Fragments of a ceramic vessel were found in association with the coins suggesting it was originally placed inside a pot.,NA,II century
Slovenia,1965,2846,ŽUŽEMBERK,17,125,138,45.831066,14.930185,The hoard comprises 17 asses from Vespasian to Hadrian (AD 117-138).,"Dolenjski muzej Novo Mesto, Slovenia",II century
Sri Lanka,1904,18477,AKURESSA,5,180,192,6.1002093523584,80.47700059735,"A potful of Roman silver coins. Only five coins have been poorly documented: L. Scribonius Libo, Marcus Aurelius, Faustina I, Faustina II, Commodus.",NA,II century
Belgium,1896,8267,PEER,23,117,138,51.133,5.454,23 denarii: Republic (L. Thorius Balbus) - Hadrian (AD 117-138).,NA,II century
Netherlands,2005,9936,LEIDEN 2005 1,2,119,120,52.1462,4.5147,"2 silver coins: Titus for Divus Vespasianus, Hadrian.",Private collection,II century
"England, United Kingdom",1910,1662,OLLERTON,427,180,180,53.178264,-1.0438701,"A hoard of 427 silver coins (426 denarii and one Lycian drachm), of which the first lot was found in 1910 in a clay pot, while ploughing a field. It comprised 367 Roman denarii (Nero to Commodus), one Lycian drachm of Trajan and one contemporary cast forgery, also from Trajan. A further lot of 50 denarii (Mark Antony – Commodus) was found between April and December 1988 by members of the Chesterfield Metal Detector Club, in the vicinity of the first lot and can be regarded as a further portion of the same find. A further 8 denarii (Vitellius - Antoninus Pius) were found with the aid of metal detectors in November 2012.",Doncaster Museum (part); Newark Museum (part); British Museum (part),II century
Bulgaria,1980,10256,KOSHARNA 1,1000,138,161,43.8828,26.2975,1000 denarii found in a ceramic vessel - metal detecting - in an ancient building. The latest coins belong to Antoninus Pius.,NA,II century
Romania,1902,16292,CAPORAL ALEXA,100,161,175,46.33761,21.581668,"Around 100 denarii, 27 were studied: Nero – Marcus Aurelius (Faustina II) (AD 161-175).","Móra Ferenc Museum, Szeged, Hungary",II century
France,1860,5492,PARIS 1860 - (QUARTIER ODÉON),1600,184,184,48.847,2.341,"The hoard comprised approximately 1,600 aureii, from Julius Caesar to Commodus. Most of the hoard was immediately dispersed and sold.",NA,II century
Croatia,1946,16174,KOČINJE BRDO,229,158,161,43.586223,16.561332,"A hoard of around 270 copper coinage, only 229 were recovered and identified: Vespasian - Antoninus Pius (AD 158-161).","Archaeological Museum, Split, Croatia; partly dispersed",II century
Romania,1853,2604,TIBODU,763,167,167,46.349,25.311,826 coins found with a ceramic vessel. 763 denarii were: Republic - Marcus Aurelius (AD 167). The hoard was entirely recovered but not published accurate.,NA,II century
Ukraine,1907,18301,KIREYEVKA,6,161,180,51.603943197666,32.584704442084,"Hoard of few kilos of denarii. Only 6 coins are known: Hadrian, Antoninus Pius 4, Lucilla.","Local museum, Sosnitski, Ukraine (inv.no. 1447-1452).",II century
"England, United Kingdom",2006,14578,BEMBRIDGE 2006,8,164,169,50.697133,-1.0951936,Three coins found together by a detectorist and recorded by M. Lyne. Details from HER.,NA,II century
