country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
Ukraine,2017,20706,PYSARIVKA,20,161,180,49.5213831787,28.4543991777,"A hoard of about 20-25 Roman imperial denarii: Trajan - Marcus Aurelius (AD 161-180) was discovered by treasure hunter in the late 2010s between the villages of Pysarivka and Hrushkivtsi in the Vinnytsia region. The coins were found on an area of ca. 20x20 m and all had the same traces of bronze oxides. The finder did not provide a photo of the coins, but said that among the coins were denarii of Trajan, Hadrian, Antoninus Pius, Faustina (I or II?), Marcus Aurelius (including those with the rank of Caesar). The further fate of the coins is unknown.",NA
UK,1946,1424,CAISTER BY YARMOUTH 1946,846,266,267,52.647607,1.7091097,"A hoard of Roman denarii and antoniniani from Caister (Norfolk), consisting of at least 846 coins Republic - Gallienus, with some coins of Postumus. Of these, 628 are known to have been discovered on 28 November 1946 during the excavation of a trench for water-mains on a new housing site at Belstead Avenue, East Caister (Caister-by-Yarmouth). Later, another finder produced 200 more coins from the same hoard and the authorities reported a further 19 coins as coming from the same find. Moreover Jenkins suspected that even more coins from the hoard remained in private hands. The hoard was published by Jenkins (NC 1947), with the following summary: 847 coins (664 denarii and 183 antoniniani). There are several inconsis10cies between Jenkins' catalogue and his summary. The first is that the total number of the coins in the catalogue is 846, not 847. The summary lists 3 denarii for Nerva, but catalogue records only 1. For Septimius Severus, the summary lists 290 coins, but the catalogue includes only 286. The summary lists 78 denarii for Caracalla, the catalogue only has 75. Finally the summary lists no antoniniani for Severus Alexander, but 1 is recorded in the appendix listing coins not examined by the BM. According to the catalogue, the hoard contained therefore 846 (653 denarii and 193 antoniniani). The list given in the catalogue has been followed here.","Norwich Castle Museum (part); British Museum (part, 34 specimens )"
Italy,1974,10373,"POMPEII VI, 17, 42, 42B",214,79,79,40.75,14.483,"214 AV and AR Republican and Imperial issues found in regio VI, insula 17, building 42 (house).",NA
Germany,1953,17046,FULDA,80,351,353,50.5533,9.6701,"80 Roman coins were found in the soil of the basement of a house in Kronhofstraße during building works. Given the large chronological range of the coins (Republic to Late Empire!), this might be an assemblage of a modern collection rather than a hoard.",NA
UK,1839,15237,MARCH I,46,20,50,52.543602,0.077784335,"6 Iron Age silver units, dug up at March, in Cambridgeshire, with about '40 other 1s'.",NA
France,1957,6233,AMIENS 1957,51,248,249,49.893,2.296,"The hoard comprised 39 sestertii from Vespasian to Julia Domna, 4 denarii from Septimius Severus to Severus Alexander and 7 radiates from Gordian III to Otacilia Severa with a tpq of AD 248 to 249.",NA
Moldova,2007,18643,LĂRGUȚA,86,364,367,46.308712616772,28.320103842124,"86 siliquae, divided into 3 parts (70, 10, 6 coins): Constantius II - Valentinian I (AD 364-367). Unknown conditions of discovery.",NA
Italy,1911,9670,"POMPEII IX, 14, 2.4, 4F",109,78,79,40.753,14.489,"77 Republican denarii, 12 uncertain Republican denarii, 1 Imperial aureus (Titus under Vespasian), 12 Imperial denarii (Augustus and Vespasian) and 7 Imperial AE (Galba and Vespasian) found with a skeleton in regio IX, insula 14, second atrium north of west wing of building 2.4 (house).",NA
France,1950,6337,LYON 1950,13,194,194,45.773,4.836,The hoard comprised 13 denarii from Mark Antony to Septimius Severus. They were found concealed in the belt of male burial interpreted as being that of a Roman soldier. The burial was found in the courtyard of a building situated at No. 12 rue des Fantasques,NA
Spain,1973,5469,CLUNIA 1973,20,96,98,41.7865294,-3.3663273,The hoard was found during the excavation of a taberna in the forum and comprised 20 aurei from Nero to Nerva.,NA
Israel,1870,8081,YAFIAH,159,286,295,32.684322549709,35.274335761667,"The hoard comprised 159 coins: 55 Syrian tetradrachms (Caracalla to Trebonianus Gallus) and 104 antoniniani (Trebonianus Gallus to Maximian), found in a pot in an underground beneath a church in Iafa, near Nazareth.",NA
Portugal,1974,17796,CASTRO DE FIÃES 1974,45,393,395,40.9862,-8.5181,45 nummi found together in a layer of ashes from a domestic building: Constans - Theodosius I (AD 393-395).,"Museu Convento dos Lóios, Santa Maria da Feira, Portugal"
Lithuania,1685,15488,VILKAIČIAI,90,235,238,55.907398,22.114273,Unknown original number of coins. 90 coins found with a ceramic vessel: Hadrian - Maximianus I Thrax (AD 235-238)?,NA
Bulgaria,1937,10145,LOVECH 1937,550,98,117,43.137,24.714,(550) 67 denarii seen by T. Gerasimov: Nero - Trajan (AD 98-117).,NA
UK,2014,14837,PONTESBURY,3,-2,4,52.648174,-2.9178377,IARCH record for a small hoard of 3 denarii found in 2014. For further details and images see WMID-AABF6.,NA
Spain,1935,3734,JIMENA DE LA FRONTERA 1,29886,260,268,36.433,-5.45,"Gallwey described 29886 coins which he considered to represent 2/3rds or 3/4s of the total found. Originally, the latest coin in the hoard was stated to be an issue of Gallienus' Zoo dating to the period AD 267 to 268. However, a revision states that it is actually an issue of Gallienus from the mint of Siscia dating to AD 268 Silver: c.40000 (29858) coins.",NA
France,1843,12390,BOURGES 1843,137,253,268,47.081249,2.392403,It had been discovered in 2 earthen vessels. It comprised of 137 denarii and antoniniani (radiates). Only 97 are now recorded: Pertinax - Valerian I and Gallienus/Gallienus (sole) (AD 253-268).,"Brouges Museum, France."
UK,1956,14556,TEAN,3,194,195,49.963481,-6.3242033,"Penhallurick 2009, 269: ""The museum on St Mary's has 3 sestertii found in a midden layer on the southern shoreline of Tean in 1956. Accompanying pottery indicated an occupation from the first to the 4th centuries and included sherds of samian ware and a bronze brooch (Thomas 1985, p.183)"". He notes that the second sestertius of Marcus Aurelius listed here may have been turned into a brooch (bronze adhered to the bottom of the reverse), though this has not been verified.",NA
Ukraine,2017,20712,LOZOVATA,160,1,250,48.5744860528,29.7107502047,A hoard of about 160 Roman imperial denarii was discovered by a treasure hunter in the late 2010s. The finder reported to me that the coins were found within a settlement of the Chernyakhiv culture. No other additional information about the circumstances of the find or the composition of the hoard.,NA
Bulgaria,1975,10204,RUSE 1975,2819,195,197,43.839,25.952,(2820) 2819 denarii: Republic - Septimius Severus (AD 205).,"Regional History Museum, Ruse, Bulgaria; in.no. 1867"
France,1894,7297,GANNAT,100,222,235,46.1,3.199,The hoard was found scattered on the ground surface amongst the remains of a building and comprised 100 Roman bronze coins from Trajan to Severus Alexander. The coins were mostly worn sestertii.,NA
France,1872,5680,ELBEUF 1872,300,276,282,49.291,1.003,"The hoard comprised 'a bucketful of Roman coins, fused together with corrosion products. Cochet estimated that the total number of coins in the hoard was more than 300. The coins were antoniniani (radiates) of the third century depicting 10 emperors until Tacitus and Probus.","Musées d’Angers, France; Accession Register III, p. 37, no. 42 (3.11.1876)"
Germany,1872,16986,TRIER - PALLIEN,202,310,318,49.753950048859,6.6198618721711,200 poorly preserved Roman copper coins and 2 well-kept 1s were found in the surrounding sand; 1 was of silver. Near an inscribed relief dedicated to Jupiter.,NA
Austria,1893,13207,OGGAU,58,-27,14,47.832,16.666,"58 denarii found with jug, shell and iron wedge. Coins from Republic to Augustus (1st century BC).",Lost
Belgium,1899,8260,MANAGE,253,222,235,50.503,4.235,"253 bronze coins: 252 sestertii, 1 dupondius: Vespasian - Severus alexander (AD 222-235).",NA
France,1987,5240,AMIENS 1987,43,148,149,49.891,2.3,"The hoard was found in the foundation trench of a Gallo-Roman wall. It comprised 43 denarii from Vitellius to Marcus Aurelius as Caesar (AD 148/149). It may originally have been placed in a small box, as fragments of copper-alloy scrap were found in association with the coins.",NA
France,1912,8724,ANNECY 1912,4,238,244,45.909,6.119,"4 coins: 1 denarius, 2 plated coins, 1 bronze coin: Tiberius - Gordian III (AD 238-244); silver w8: 6.1-7.4 g. Found together with silver inscribed objects (patera, 2 rings), 2 statuettes, 3 hair-pins.","Musée d'Art et d'Histoire de Genève, Switzerland"
France,1834,5441,AMBENAY,61,-29,-10,48.84,0.73,"The hoard comprised a greyware vessel containing 196 aurei, of which 61 were recorded in detail. Mints represented include: Rome (11), Pergamum (4), Colonia Patricia (4), Caesaraugusta (1), Spain (2 or 3), Nîmes (2 or 3), Lyon (10), uncertain (RIC I No. 539). The latest coin in the hoard is an issue from Lyon dating to 10 BC. A navvy found the hoard at the foot of a hill close to the forest on the 'Sentier des Moines' path. The hoard is dispersed. 21 aurei were acquired by the Cabinet des Médailles (Archives Register B, p. 130-1; purchased: 19.01.1835), 3 others by the Dupré Collection, then into the Wigan Collection (now in the British Museum). 1 coin was retained by the Countess de Songeons in the Château de l'Ermite in Ambenay.","Cabinet des Médailles, Bibliothèque Nationale, Paris"
Bulgaria,1910,2761,MIKRE 1910,160,253,268,43.035,24.522,(700) 160 silver coins: Trajan - Valerian I/ Gallienus (AD 253-268). Found in a ceramic vessel together with a silver ring.,NA
France,1956,12653,BOURGES 1956,12,264,265,47.085,2.397,"Unknown initial number of coins. 12 bronze coins were examined: 3 double sestertii, 8 sestertii, 1 as: Titus - Postumus (AD 264-265).",NA
UK,1646,14953,"WARWICK, NEAR",508,98,117,52.285,-1.5834,"An entry in the diary of Sir Simonds D'Ewes, for 12 November 1646 reads: 12 Nov Postquam pranseram lustravi octo Numismata aurea, et ultra 500 argentea Romana nuper in agro Varnice'si Neronis, Vitellij, Vespasiani Traiani (BL Harleian MS 484, f. 130v). After I had dined I looked at 8 Roman gold coins and a further 500 silver recently found in a field near Warwick, of Nero, Vitellius, Vespasian, Trajan.",NA
Netherlands,1942,10011,SINT-OEDENRODE 1942,168,260,268,51.5679,5.4636,168 denarii and Antoniniani (radiates) from Septimius Severus to Gallienus (sole) (AD 260-268).,NA
Sweden,1854,15624,MELLBY STRAND,5,218,222,56.504437,12.946986,"5 denarii: Trajan, Antoninus Pius, Marcus Aurelius (Lucilla), Septimius Severus, Elagabalus (AD 218-222).","Swedish History Museum, Stockholm (inv.no. 2053)"
Netherlands,1993,9998,RIED 1993,16,192,192,53.2233,5.5908,16 denarii: Antoninus Pius - Commodus (AD 192).,Private collection
Belgium,1971,8637,WIJNEGEM 1971-1979,20,251,253,51.23,4.511,"20 coins: 2 antoniniani (radiates), 18 sestertii: Trajan - Trebonianus Gallus (AD 251-253).",NA
France,1826,7357,MONT-DORE,12,-27,14,45.575,2.809,"The hoard was found at a water source, next to a st1 which had been pierced by the water flow. It comprised 12 coins from Nemausus, all well preserved.",NA
Spain,1991,12939,CORTIJO DE ACEVEDO,790,271,274,36.597,-4.632,Over 1500 coins were discovered at the Roman villa. Only 790 antoniniani (radiates) were studied: Gallienus - Tetricus I (AD 271-274).,Private collections
France,1979,9721,SEVEUX 1979,992,276,282,47.556,5.749,The hoard comprised coins from Gallienus to Probus. There are some doubts on the real number of coins from this hoard!,"Cabinet des médailles, Paris, France"
France,1900,6379,PORTES-LÈS-VALENCE,415,-100,0,44.875,4.87,The hoard comprised 15 Continental Iron Age silver coins and between 360 and 400 obols from Marseille.,M. Buyat
UK,1760,1618,RUDCHESTER,485,148,168,54.997436,-1.813958,"15 aurei and 470 denarii, ranging from the Republican period to Marcus Aurelius, found by a labourer at work in Rudchester grounds, while digging up the foundation of an old fence in 1766.",NA
Italy,1980,5560,ANGERA,266,270,275,45.774,8.581,These coins were found during the excavation of an imperial building. They appear to represent the remains of 2 separate hoards. The first (A) may have been deposited in the middle of the third century AD (AD 249). The second (B) composed of radiates dates to AD 270 to 275.,NA
Netherlands,1990,12618,NIJMEGEN 1990,9,9,14,51.838,5.894,9 asses of Augustus (AD 9-14).,NA
France,1969,6926,MONTEREAU,339,293,293,48.3849,2.9559,The hoard was found in a cemetery and comprised 339 antoniniani (radiates) from Valerian I to Diocletian (AD 293).,NA
France,1983,7077,CHÂTEAUBLEAU SANCTUARY,6,153,153,48.5922,3.1091,The deposit was found under a second century occupation layer in the central part of the Gallo-Roman spring sanctuary and comprised 4 sestertii from Trajan to Antoninus Pius and 2 asses of Antoninus Pius with a tpq of AD 153 to 154.,NA
France,1748,5934,GUÉRANDE 1748,1000,271,274,47.328,-2.429,The hoard comprised 1000 antoniniani (radiates) dating to the reigns of Victorinus and the Tetrici. Only 3 coins were described.,NA
France,1956,3620,CHÉZY-SUR-MARNE,646,271,274,48.989,3.366,The hoard comprised approximately 1000 antoniniani (radiates) of which only 604 coins were catalogued. TAF outlines the numbers of coins by emperor and by mint but the 2 sets of figures do not tally. Hobbs estimates a silver w8 of between 116.4g and 1097.6g.,NA
Turkey,1977,20969,ERYTHRAI,13,193,194,38.382841626675,26.480602543243,"13 silver coins: 10 denari, 3 cistophori: Domitian - Septimius Severus (AD 193-194). Found with traces of a textile bag.",NA
Germany,1982,17264,HAUEN,17,337,340,53.49773,7.06667,"17 bronze coins (Constantine I - sons of Constantine) found in Hauen, on the Pilsum-Greetsiel road, during gardening works in a flower bed. The coins were strewn on a surface of 3 x 5m in 2 places.",NA
Poland,1880,13404,BŁOTNICA STRZELECKA,92,193,217,50.488889,18.410833,At least 100 denarii found with a ceramic vessel. 92 were studied: Nero - Septimius Severus/Caracalla (AD 193-217).,NA
UK,2011,15339,STOKE ORCHARD,2,-30,-10,51.950418,-2.1323589,2 iron age coins found together.,NA
Portugal,1997,17858,RIBEIRA DA PENA 1997,196,388,392,41.519864177947,-7.793852461191,Originally were 196 coins found with a ceramic vessel. Only 88 coins were recovered: Claudius II (Divus) - House of Theodosius I (AD 388-392).,"Câmara Municipal de Ribeira de Pena, Portugal"
France,1886,7301,LUSIGNY 18869,7,249,251,46.589,3.489,"The hoard comprised an unknown number of Roman coins, which was divided in 2 by the finder. 1 part was melted down and used to make buttons, chains and a watch. The other part included 3 sestertii and 5 radiates from Trajan to Trajan Decius. It is possible that this hoard is part of 1 known as Lusigny A.",NA
Israel,1941,8089,SEBASTIA 1941,50,268,270,32.276924478361,35.192180215963,The hoard comprised 50 antoniniani (radiates) dated between AD 253-270.,NA
Poland,2015,18538,WTÓREK 2015,39,180,192,51.638072540174,17.887858048589,"Hoard of 39 denarii, 26 glass and amber beads, several fragmentary specimens, and fragments of metal ornaments, including 2 silver brooches: Vespasian - Commodus. ""Denarii are dated to the second half of the 1st century – the end of 2nd century AD, dating of the brooches, however, indicates that the hoard was deposited in the second half of the 5th century AD.""","Regional Museum, Kalisz, Poland"
UK,1984,15253,NETTLETON 1954,232,30,50,53.45764,-0.29960235,"232 Iron Age coins, found in a field. It is not sure that all the coins belonged to the same deposit. The site si considered as the location of a Romano-British temple with an earlier, Iron Age phase.",NA
Netherlands,1989,12615,NIJMEGEN 1989 4,24,-15,-13,51.838,5.894,"24 silver coins: 23 denarii, 1 quinarius: Republic - Augustus",NA
Romania,1902,2665,ALBA IULIA 1902,286,259,268,46.063,23.58,"(318?) 286 silver coins: 38 denarii, 248 antoniniani (radiates): Septimius Severus - Gallienus (AD 259-268)","Union Museum, Alba Iulia, Romania (Inv.no. 1814-2877)"
Romania,1980,16280,HOMICENI 1980-1987,666,140,140,47.017521,26.65374,"666 coins: 665 denarii, 1 drachm: Nero – Antoninus Pius (AD 140).",NA
Italy,1880,4473,ROME - TEVERE [TIBER],69,410,410,41.8991,12.4642,69 solidi: Arcadius - Honorius (AD. c. 410); gold w8: 307.05 g.,NA
Greece,1992,6747,LARISSA,368,235,238,39.6342,22.4176,The hoard was found in a ceramic vessel and comprised 368 coins including denarii and sestertii from Trajan to Marcus Aurelius and Provincial bronzes of the Koinon of Thessaly from Marcus Aurelius to Maximinus I. It was accompanied by some pieces of gold jewellery.,Éphorie des antiquités préhistoriques et classiques de Larissa
Netherlands,1982,10044,VOORHOUT 1982,2,256,256,52.223,4.487,2 antoniniani (radiates) of unknown issuer. According to the NUMIS the tpq is around AD 256.,NA
Spain,1925,8412,CASTRO DE SAN JUAN,27,-25,-23,41.745851841316,-6.2945741590258,"27 denarii found with a jug covered by a st1: 24 republican, 3 imperial of Augustus (25-23 BC). With 3 bracelets and 1 jewelry fragmented, also of silver.","Ashmolean Museum, Oxford (23 coins); the British Museum (4 coins)"
France,1995,12802,LONGUEIL-SAINTE-MARIE,6,-9,-9,49.357,2.718,"6 coins, possible kept in a purse, found in a building with unknown use: 5 republican denarii, 1 aureus of Augustus (BC 9).","Cabinet des médailles, Paris, France"
UK,1849,308,LANYON,2,395,408,50.14082,-5.6122021,"2 solidi (Theodosius, Arcadius) found in a quarry.",NA
Portugal,1964,17509,CASTRO DE ALVARELHOS 1964,523,-32,-27,41.300908199429,-8.6184311021301,523 denarii belonging to a larger hoard found within the area of the hillfort. The earliest coins were issues of Octavian/Augustus (32-27 BC).,NA
UK,1997,2271,BOWERCHALKE 1997-2005,66,393,395,50.979408,-1.987129,"1 solidus of Valentinian II, 4 miliarenses and 61 siliquae, found over a period of several years, ranging from Constantius II to Arcadius, AD 395. Some of the siliquae were irregular 1s.",Salisbury Museum
France,1856,3715,HERBIGNAC,9,268,270,47.4428,-2.342,9 antoniniani (radiates): Gordian III - Claudius II (AD 268-270).,Kersauson Collection (in 1887)
Hungary,1972,7493,TÁC 1972,24,367,378,47.0908,18.4213,The hoard comprised 24 nummi dating to the period AD 351 to 378. They were found in the northern part of the area sacra at building XV.,"Istvan Kiraly Muzeum, Szekesfehervar"
Serbia,1955,16533,SUPSKA 1955,115,257,258,43.96684,21.393472,115 antoniniani (radiates) ranging from Gordian III to Valerian I and Gallienus.(AD 257-258). Part of a larger hoard.,NM Belgrade
Sweden,1852,15605,SUDERBYS,55,193,194,57.575285,18.214324,"Originally, 55 denarii, 12 preserved: Trajan - Clodius Albinus (AD 193); silver w8: 32.07 g. 2 silver rings were found together.","Swedish History Museum, Stockholm (inv.no. 1853)"
Switzerland,1843,6432,BAAR ZG 1843-1860,6,119,122,47.2,8.544,"6 (or more?) Roman gold coins found on a field. First, 3 were found by labourers in 1845: Domitian (1 coin) and Hadrian (2 coins). Then came a report that ""2 years ago"" 2 aurei of Vespasian had been found in the same field, and probably more, thrown out by the labourers as brass items. In 1860 another gold coin found in the same field was reported. - The 3 aurei found in 1845 were described in detail and documented in sealing wax (lost) and later copied in drawings (preserved).",NA
UK,1800,33,PODINGTON WOLD,15,253,268,52.248161,-0.6245473,"15 coins in a pot, found on Podington Wold in the early 19th century, including coins of Gallienus (AD 253-268) and Philippus Augustus (AD 244-249), a st1 described as of circular form with a hole for a winch, which sounds like a rotary quern, and fragments of pottery.",NA
Greece,1957,6717,ATHENS 1957 AGORA,133,267,267,37.984,23.729,"A hoard of 131 provincial coins of Athens (periods VB, VI) and 2 antoniniani of Gallienus, excavated in 1957 from a pit in the floor of a house at the northwest foot of the Areopagus (House B, Agora grid Q 19).",American School of Athens
UK,1781,1994,EYE,600,407,411,52.295424,1.1368146,"600+ late Roman gold coins, found by labourers in a Sand-Pit at Eye in 1781. It included coins of Valentinian, Gratian, Valentinian II, Theodosius I, Arcadius, Honorius and Constantine III.",NA
Austria,1854,6220,STARKENBACH,200,235,238,47.191638338319,10.641586114883,"The hoard comprised approximately 200 silver coins, only for 97 of them were known the issuers: Antoninus Pius to Maximinus Thrax (AD 235-238).",lost
Sweden,1887,15522,GYLE,2,141,161,57.426478,18.613831,"Grup of 2 denarii: Antoninus Pius, Antoninus Pius (Diva Faustina I); silver w8: 5.32 g.","Swedish History Museum, Stockholm (inv.no. 8217)"
Libya,1922,4963,MANGUB HOARD B,20313,310,312,32.895,12.174,"20313 nummi of the Tetrarchy before and after the reduction of Maxentius divided by mints. Before the reduction (3168 coins): Gaul 132, Rome 661, Carthage 2002, Ticinum/Aquileia 373; after reduction (171455 coins): Rome 8002, Ostia 5190; Carthage 1099, Ticinum/Aquileia 825, Balkans and East 196, uncertain 1833 (AD 310-311).",NA
Bulgaria,1980,10252,BABOVO 1980-1985 B,180,101,199,43.981,26.3009,160-180 denarii found in a ceramic vessel - metal detecting - within an ancient settlement. The coins are dated to the 1st-2nd centuries AD.,NA
Switzerland,1841,6574,MATZENDORF SO 1841,47,124,125,47.31,7.629,"47 denarii ranging from Nero to Hadrian (1 Nero, 3 Vespasian, 4 Titus, 6 Domitian, 3 Nerva, 20 Trajan, 10 Hadrian) were given to the Historisches Museum in Ol10 by the Schmid family in 1901/1902, next to 13 other Roman coins. Records say that all of these belonged to a find made in the vicinity of Matzendorf in 1841, but probably only the denarii are part of a hoard. No further details of the discovery are known.","Historisches Museum, Olten"
France,1879,7504,BOUHY 1879,3219,276,282,47.485,3.165,This hoard comprised 4000 coins from Gallienus to Probus (with many imitations). It was found at the Hameau des Boulins. 3219 coins are now at the Museum of Clamecy.,"Museum of Clamecy, France"
UK,2000,15309,SILCHESTER 2000,13,-60,-20,51.353367,-1.06797,"2 scattered groups of Durotrigan base silver staters found approximately 20 metres apart. It is unclear whether they should be considered as originating in 1 or 2 deposits. A single, widely-scattered hoard is perhaps more likely, and it now seems to be impossible to identify which coins were in which parcel.",Dispersed through trade
Hungary,1935,2839,KULCS,1094,292,292,47.05,18.91,"1094 antoniani: Valerian I - Diocletian-Maximian I (AD 292). It was found during dredging works in the River Danube. Apparently, the hoard was originally packed as rolls of coins.",Private collection
Sweden,1722,15614,GOTLAND 1722 1 - UNKNOWN FINDSPOT,2,138,161,57.506233,18.450164,"2 denarii: Hadrian, Antoninus Pius (AD 138-161). Found while ploughing.",NA
Israel,1910,8097,SEBASTIA 1910,23,-138,-74,32.2771,35.1884,"The hoard comprised 1 tetradrachm and 22 bronze coins of Tyre, deposited after 74 BC.",NA
India,1904,18362,ONGOLE,2,125,127,15.506,80.049,2 aurei were found on the banks of the Paleru river.,"Madras Museum, Chennai"
Sweden,1860,4681,ÖVEDE,11,491,518,57.5071,18.2112,11 solidi: Honorius - Anastasius (AD 491-518); gold w8: 48.95 g.,"The National Historical Museum, Stockholm (inv.nos. 2747)"
Germany,1933,3719,HOLZTHALEBEN 1933,147,270,270,51.345,10.59,"A hoard of originally more than 200 antoniniani of which 147 were split up between different museums and a private owner. 116 of these were published in detail by Laser in 1972 (114 of these could be documented de visu by M. Schlapke in 2015) and FMRD gives a full list of all 147 coins. Unfortunately, the FMRD list is faulty. The mistakes are difficult to correct, as the coins are not all accessible any more today. As a result, all coins ever documented have been listed here, with 3 FMRD entries having their quantity set to 'zero' (0), as no matching coin exists among the 1s seen by M. Schlapke. Surviving coins range from Valerian to Postumus. No trace of a container could be seen.","Weimar, Museum für Ur- und Frühgeschichte Thüringens (96 coins); Sondershausen, Schlossmuseum (8 coins); Gotha, Stiftung Schloss Friedenstein, Münzkabinett (31 coins, which cannot be identified any more within the collection) and 12 coins in private hands"
Romania,1969,2607,DRĂGHICENI,455,176,187,44.126,24.257,(460) 452 denarii found with a ceramic vessel: M. Antony - Marcus aurelius (AD 176-180).,"History Museum Caracal, Romania"
UK,2001,1518,WOOD NORTON,2,388,392,52.812065,0.98096506000000006,"2 solidi (Valentinian II and Theodosius I), found while metal detecting on arable land. Other metal-detected finds from site, Roman-post-medieval.",returned to the finder
Italy,1994,15047,AOSTA 1994,28,351,353,45.7367,7.3233,"28 bronze Roman imperial coins: 2 sestertii, 26 nummi: Antoninus Pius, Faustina II (Diva), Constantius II - Magnentius (Decentius) (AD 351-353).",NA
Germany,1838,17487,SCHEPPACH,4,249,251,48.40687,10.44491,4 antoniniani (Gordian III - Trajan Decius) found during field work.,NA
Slovenia,1793,8969,BETNAVA,5000,306,337,46.531,15.641,Circa 15 kg of silver/bronze coins from Valerian I to Constantine I. Dispersed,Dispersed
Sweden,1961,15631,LILLÖN,47,491,518,59.27816,17.788239,47 solidi: Valentinian III – Anastasius (AD 491-518). Found with a gold ring.,"Swedish History Museum, Stockholm (inv.no. 26683)"
Israel,1964,7685,TEL BAZUL,28,457,474,32.5063889,35.4775,The hoard comprised 28 nummi dated between AD 383-392 and AD 457-474.,Israel Antiquities Authority (IAA 24467-24494)
Poland,1887,13462,KUNDZIN,1000,193,211,53.439503,23.595034,"Over 1000 denarii found in a forest. From only 5 of them are know the issuers: Trajan - Septimius Severus (AD 193-211). Together with the hoard were found: 5 pearls, 1 amber piece, a silver plate and a spring from a crossbow brooch.",NA
